,index,MIN_Lookback_One_Year,MIN_Lookback_2_Months,MIN_Lookback_1_Months,risk_trend_factor,risk_per_share,volume_factor,Adj Close,21dBOLD,21dMA-TP,21dBOLU,90dSMA,90dSDev,adf,hurst,index,sector,sector_risk_trend_factor,Market Index,Sector
ACC,2022-06-27 00:00:00,49.209999084472656,65.0199966430664,65.0199966430664,10.58695982684605,1.3800010681152344,2.0376185600600234,64.62000274658203,64.01044496488872,64.617738330175,65.22503169546128,62.96571425786094,3.1965310123416795,0.9794876909193289,0.4242403337282937,VNQ,MDYG,-3.36404089456869,SP400,Real Estate
MTOR,2022-06-27 00:00:00,32.93000030517578,36.279998779296875,36.29999923706055,6.913057900585474,0.45999908447265625,1.6035550788000659,36.22999954223633,35.96282837089797,36.10702334509955,36.25121831930113,35.94365057869563,0.2186932417846861,0.3339097695261282,0.43746579636772176,VCR,SLY,-5.136676314289245,SP600,Consumer Cyclical
PSB,2022-06-27 00:00:00,165.85000610351562,189.8300018310547,189.8300018310547,4.45029513726225,3.4199981689453125,2.185396486179871,186.91000366210938,185.58553097434353,186.75702364482575,187.92851631530797,181.41349217248342,8.776321969454411,0.8149735931182998,0.47879136363873415,error,MDYG,error,SP400,error
TVTY,2022-06-27 00:00:00,27.8700008392334,32.88999938964844,32.88999938964844,3.208331611422468,1.2000007629394531,2.1638957850559675,32.5,31.86905441950215,32.240039734613326,32.6110250497245,32.13837287539528,0.3047352477035905,0.5274805192781968,0.44812995697010694,VHT,SLY,-2.4504248847891406,SP600,Healthcare
Y,2022-06-27 00:00:00,737.8900146484375,862.8699951171875,862.8699951171875,2.9602439500111792,12.83001708984375,1.6769552504464695,833.8699951171875,829.6500582731016,832.8445604112414,836.0390625493812,837.044165717231,6.775220663799306,0.40248738373903115,0.46165710721269204,VFH,MDYG,-4.6920183197406,SP400,Financial Services
CEIX,2022-06-27 00:00:00,19.270000457763672,50.38999938964844,55.2599983215332,2.4759820464146016,16.03000259399414,1.6771979433121524,54.869998931884766,46.45408823962828,51.9969126988971,57.53973715816592,48.02515863993811,5.690764763055845,0.9354907123765773,0.524027356086396,VDE,SLY,-0.27491856896737377,SP600,Energy
MCK,2022-06-27 00:00:00,204.66000366210938,335.6000061035156,339.94000244140625,2.3883626302083334,41.25,1.2085227388981894,326.239990234375,297.9880298331072,314.6863478403243,331.3846658475414,318.55403573172435,9.175555820898143,0.9988278802404057,0.46040517044117096,VHT,SPY,-2.4504248847891406,SP500,Healthcare
BANF,2022-06-27 00:00:00,77.37999725341797,86.81999969482422,90.05000305175781,2.256696260363222,17.920005798339844,1.5374382532213084,98.2300033569336,88.62169887824794,93.21182544647702,97.8019520147061,86.82091301206559,5.017882328592575,0.9780740168360607,0.5382517548507908,error,SLY,error,SP600,error
LLY,2022-06-27 00:00:00,239.3699951171875,314.0,324.0799865722656,2.1809816518266856,47.850006103515625,1.0425981546663892,327.2699890136719,282.6974641876535,304.5241262042333,326.3507882208131,298.00711422874815,10.882629976727877,0.9964428017095532,0.40588962907671444,VHT,SPY,-2.4504248847891406,SP500,Healthcare
LNTH,2022-06-27 00:00:00,27.809999465942383,64.13999938964844,71.23999786376953,1.799266030577161,19.079998016357422,1.9911717792679355,65.83999633789062,57.163597060425985,65.600297125559,74.036997190692,62.60051568349203,4.416948593652935,0.9943346204855039,0.535479874965926,VHT,SLY,-2.4504248847891406,SP600,Healthcare
BMY,2022-06-27 00:00:00,67.95999908447266,78.16999816894531,78.61000061035156,1.7117136158100348,8.879997253417969,1.236255093336828,79.9800033569336,71.89551917104787,75.47551566835435,79.05551216566083,75.916168000963,1.5248642956118688,0.8515055458872304,0.4783102139244996,VHT,SPY,-2.4504248847891406,SP500,Healthcare
GCP,2022-06-27 00:00:00,27.780000686645508,32.279998779296875,32.279998779296875,1.5678403422879774,0.9949989318847656,2.1073843874165106,31.299999237060547,30.843312350490443,31.09800402323405,31.35269569597766,31.166269779205322,0.22795186922496505,0.16343872833347411,0.45022831945298275,error,SLY,error,SP600,error
SAFM,2022-06-27 00:00:00,195.25,200.0,201.5,1.5363946883012252,35.720001220703125,1.784511834923468,217.2100067138672,194.98729365687115,205.59198543003626,216.19667720320138,194.43896877954876,9.109276825109742,0.7556423021383447,0.47593400339460906,VDC,MDYG,-1.7551658940955956,SP400,Consumer Defensive
EXLS,2022-06-27 00:00:00,108.66000366210938,154.97999572753906,154.97999572753906,1.4924680266032673,27.8800048828125,1.2757339804018633,153.41000366210938,132.77041786454927,143.04321349613252,153.31600912771577,141.02964377024816,6.465142225446718,0.9901989973430487,0.37610698014564353,error,SLY,error,SP600,error
CYTK,2022-06-27 00:00:00,30.139999389648438,47.900001525878906,47.900001525878906,1.441827842484689,14.439998626708984,0.7488438745207895,48.91999816894531,36.68557829902064,41.62853209177653,46.571485884532414,39.92000021253313,2.832368757811107,0.9949301710432575,0.3510192017078426,VHT,SLY,-2.4504248847891406,SP600,Healthcare
RGP,2022-06-27 00:00:00,15.449999809265137,20.15999984741211,20.15999984741211,1.432076246452511,5.299999237060547,1.4139142075362556,21.1200008392334,17.173291566316447,18.611388811989436,20.049486057662424,17.730992006877113,0.9180234410555915,0.5727771011269044,0.37675931331817486,VIS,SLY,-4.370251589594269,SP600,Industrials
FCN,2022-06-27 00:00:00,147.3800048828125,170.30999755859375,170.64999389648438,1.430102790753866,24.25,0.8326528459426247,174.33999633789062,159.78308681612612,167.74813515799386,175.7131834998616,164.09297573755657,4.786862005225416,0.9517853074195058,0.40328083279259025,VIS,MDYG,-4.370251589594269,SP400,Industrials
HRB,2022-06-27 00:00:00,26.229999542236328,28.510000228881836,35.5099983215332,1.3421849441912488,13.180002212524414,0.7784319163481265,35.97999954223633,32.825515316679365,34.81515866234189,36.80480200800441,30.500595289563375,4.065314280653502,0.9123737034205668,0.43862396878054094,VCR,MDYG,-5.136676314289245,SP400,Consumer Cyclical
WRB,2022-06-27 00:00:00,54.95333480834961,71.52999877929688,71.52999877929688,1.3236389669674746,7.220001220703125,1.1721102119242799,69.19000244140625,64.68128132447686,68.55248996189663,72.4236985993164,67.51932613433354,1.5929263853134679,0.97101848233512,0.45093913694166926,VFH,SPY,-4.6920183197406,SP500,Financial Services
