,Date,Symbol,Adj Close
0,2017-04-26,SNV,37.00220489501953
1,2017-04-27,SNV,36.55609130859375
2,2017-04-28,SNV,35.861167907714844
3,2017-05-01,SNV,36.54751205444336
4,2017-05-02,SNV,36.16144943237305
1993591,2022-08-19,DXPE,28.579999923706055
1993592,2022-08-22,DXPE,28.020000457763672
1993593,2022-08-23,DXPE,27.799999237060547
1993594,2022-08-24,DXPE,27.790000915527344
1993595,2022-08-25,DXPE,28.329999923706055
