,Date,MIN_Lookback_One_Year,MIN_Lookback_2_Months,MIN_Lookback_1_Months,risk_trend_factor,risk_per_share,volume_factor,Adj Close,21dBOLD,21dMA-TP,21dBOLU,90dSMA,90dSDev,adf,hurst,sector_risk_trend_factor,Sector,Sector Symbol,Market Index,Index Symbol
ACC,2022-06-30 00:00:00,49.209999084472656,65.0199966430664,65.12999725341797,10.181159280073198,1.3800010681152344,1.9598808852094949,64.47000122070312,64.01259289389937,64.56789707002186,65.12320124614435,63.341745982094416,2.8771038217819114,0.9780597852909846,0.42607190233701586,-3.7959636779385253,Real Estate,VNQ,SP400,MDYG
MTOR,2022-06-30 00:00:00,32.93000030517578,36.279998779296875,36.29999923706055,6.960014343261719,0.5,1.563578384428007,36.33000183105469,35.9503981946013,36.118134528871565,36.28587086314183,35.976507777259464,0.2093165403912512,0.35748562267959216,0.4379833651117265,-6.2459721118030025,Consumer Cyclical,VCR,SP600,SLY
PSB,2022-06-30 00:00:00,165.85000610351562,189.8300018310547,189.8300018310547,5.65248821769267,2.8199920654296875,2.0638461922142666,187.14999389648438,185.66653563695277,186.57076929485987,187.47500295276697,181.46153071570018,8.467313949027647,0.8498227292510752,0.4796617846658789,-3.7959636779385253,Real Estate,VNQ,SP400,MDYG
Y,2022-06-30 00:00:00,737.8900146484375,862.8699951171875,862.8699951171875,3.7547286184210527,9.5,1.6085171209605493,833.0999755859375,829.6438526479872,832.7847178625683,835.9255830771494,836.3582923525855,6.4230305542766,0.46067288498900943,0.4626406980215967,error,error,error,SP400,MDYG
TVTY,2022-06-30 00:00:00,27.8700008392334,32.88999938964844,32.88999938964844,3.1950212657514556,1.2049999237060547,1.8811933542679444,32.5,31.852152478234604,32.26242056347075,32.672688648706895,32.18186496552967,0.23220853348176404,0.5275860601852783,0.44804458956866283,error,error,error,SP600,SLY
FCN,2022-06-30 00:00:00,147.3800048828125,170.30999755859375,170.80999755859375,2.3937118657010426,22.580001831054688,0.8881893572622384,180.85000610351562,159.04335779490103,168.98734162345764,178.93132545201425,165.0123412722633,5.295496432685953,0.9648674300619624,0.4028155659742064,-4.944886892528317,Industrials,VIS,SP400,MDYG
MCK,2022-06-30 00:00:00,204.66000366210938,335.6000061035156,339.94000244140625,2.3861809008049244,41.25,1.1465201282797641,326.2099914550781,299.29634215423425,314.2112695603144,329.12619696639456,319.4581795344277,8.866643028684635,0.9988021094200916,0.46019163666440266,-2.9172883662152946,Healthcare,VHT,SP500,SPY
LLY,2022-06-30 00:00:00,239.3699951171875,314.0,324.0799865722656,1.990387442448702,47.850006103515625,0.9790074022304213,324.2300109863281,281.42193525173826,305.63158731611946,329.84123938050067,300.09888833666605,11.494456566787896,0.9958897189593201,0.40571845936790624,-2.9172883662152946,Healthcare,VHT,SP500,SPY
BANF,2022-06-30 00:00:00,77.37999725341797,86.81999969482422,92.87000274658203,1.5128330852276588,19.87000274658203,1.581506135686116,95.70999908447266,89.98774713171036,94.09484127589634,98.20193542008232,87.41234149630108,5.323815767472772,0.9600556721384174,0.5371060701652315,-5.390992495956302,Financial Services,VFH,SP600,SLY
GCP,2022-06-30 00:00:00,27.780000686645508,32.279998779296875,32.279998779296875,1.5075431406302118,0.9949989318847656,2.064580382198003,31.280000686645508,30.836021585533054,31.142448516119096,31.448875446705138,31.163253927987718,0.2253226119831759,0.17019510735467952,0.45351969499941736,-3.294759681570599,Basic Materials,VAW,SP600,SLY
MGPI,2022-06-30 00:00:00,76.68000030517578,97.61000061035156,104.0,1.4663102888940125,14.989997863769531,1.3986652744629198,100.08999633789062,89.54141640889834,94.60027815803649,99.65913990717463,93.97493410867358,2.7797283006364126,0.7571657690176975,0.4721557523441563,error,error,error,SP600,SLY
ROG,2022-06-30 00:00:00,206.1300048828125,274.510009765625,274.510009765625,1.4610299458850735,21.300018310546875,1.0110353022325895,262.0899963378906,254.8896930993508,259.78559463743176,264.68149617551273,265.81130848233664,6.461644661521601,0.7206979648856581,0.47937435699201003,error,error,error,SP600,SLY
LNTH,2022-06-30 00:00:00,28.736000061035156,69.73899841308594,72.9000015258789,1.4001571863365847,19.079998016357422,1.8898589335073404,66.02999877929688,56.94188414085839,64.98050352126833,73.01912290167827,63.01591241927374,4.175351560220577,0.9926655784075765,0.5370059788031449,-2.9172883662152946,Healthcare,VHT,SP600,SLY
CEIX,2022-06-30 00:00:00,19.270000457763672,50.38999938964844,57.38800048828125,1.377661722842709,15.310001373291016,1.656468206142717,49.380001068115234,46.171797764289465,51.945706322079616,57.719614879869766,48.7173808112977,5.229143663500726,0.8770684606403818,0.5246441759625778,-0.6324604734216288,Energy,VDE,SP600,SLY
NOC,2022-06-30 00:00:00,379.0299987792969,490.82000732421875,490.82000732421875,1.3345195555709932,56.22998046875,0.9676456020508453,478.57000732421875,443.4234411885502,463.4175000871931,483.411558985836,459.23682500445653,10.774346126495306,0.8879619240419806,0.4245170963945482,-4.944886892528317,Industrials,VIS,SP500,SPY
SAFM,2022-06-30 00:00:00,195.25,200.0,201.5,1.2945453594257306,38.5,1.7214590108294663,215.52999877929688,195.5301195014135,208.2311916048565,220.93226370829947,196.00531786964052,10.157942360218996,0.7705104178260465,0.47599769068197645,-2.034497446179797,Consumer Defensive,VDC,SP400,MDYG
