,Date,MIN_Lookback_One_Year,MIN_Lookback_2_Months,MIN_Lookback_1_Months,risk_trend_factor,risk_per_share,volume_factor,Adj Close,21dBOLD,21dMA-TP,21dBOLU,90dSMA,90dSDev,adf,hurst,sector_risk_trend_factor,Sector,Sector Symbol,Market Index,Index Symbol
ACC,2022-06-28 00:00:00,49.209999084472656,65.0199966430664,65.0199966430664,10.695645443513499,1.3800010681152344,1.9931693834303887,64.66999816894531,64.00781982737092,64.60456369793604,65.20130756850116,63.08174596514021,3.1215603481759198,0.9797222160566615,0.42480230741043873,-3.6469904123238517,Real Estate,VNQ,SP400,MDYG
MTOR,2022-06-28 00:00:00,32.93000030517578,36.279998779296875,36.29999923706055,6.717413298392848,0.45999908447265625,1.5694098178211309,36.20000076293945,35.96041548952727,36.1087693865337,36.25712328354013,35.95333312806629,0.21627334631359532,0.33355986803110094,0.4376585231609764,error,error,error,SP600,SLY
PSB,2022-06-28 00:00:00,165.85000610351562,189.8300018310547,189.8300018310547,4.67836061624125,3.4199981689453125,2.1690184625081868,187.1699981689453,185.60586003444408,186.73686484685018,187.86786965925629,181.6801588875907,8.690164839154638,0.815695896306381,0.4790727030826709,error,error,error,SP400,MDYG
TVTY,2022-06-28 00:00:00,27.8700008392334,32.88999938964844,32.88999938964844,3.1950212657514556,1.2049999237060547,2.090687635798505,32.5,31.86196069426902,32.24813494606624,32.63430919786346,32.17011890714131,0.22506478812138297,0.5275138220498993,0.44820356340288775,error,error,error,SP600,SLY
Y,2022-06-28 00:00:00,737.8900146484375,862.8699951171875,862.8699951171875,2.6899135333933253,12.47998046875,1.6817756631405816,832.4000244140625,829.6570830728767,832.8170994349888,835.9771157971009,836.7694038512215,6.6020672950118975,0.3996779533161324,0.462015304716665,-4.861446046157841,Financial Services,VFH,SP400,MDYG
CEIX,2022-06-28 00:00:00,19.270000457763672,50.38999938964844,55.2599983215332,2.594382852551125,15.310001373291016,1.6791577086776206,54.880001068115234,46.4130059563395,52.0956428770035,57.7782797976675,48.3116665643359,5.571157989615654,0.9353931832741417,0.5242689212480802,-0.11026143175047558,Energy,VDE,SP600,SLY
MCK,2022-06-28 00:00:00,204.66000366210938,335.6000061035156,339.94000244140625,2.047271543560606,41.25,1.1986426646541368,321.54998779296875,299.25718229078274,314.19539606003536,329.133609829288,318.7918253096323,9.053255845509302,0.9986780911443468,0.46037706584925886,-2.9082857261728705,Healthcare,VHT,SP500,SPY
GCP,2022-06-28 00:00:00,27.780000686645508,32.279998779296875,32.279998779296875,1.7487491996794884,0.9949989318847656,2.1280613677540012,31.360000610351562,30.830977174982557,31.112289731464692,31.393602287946827,31.16547614052182,0.2271753265586387,0.16412175827138376,0.450212777062281,error,error,error,SP600,SLY
BANF,2022-06-28 00:00:00,77.37999725341797,86.81999969482422,91.0,1.718670819125012,19.87000274658203,1.5508981860067066,96.44999694824219,88.96788877030478,93.59563485402909,98.22338093775339,87.01329388694158,5.151401052168876,0.9635171000517938,0.5367574614525585,error,error,error,SP600,SLY
SAFM,2022-06-28 00:00:00,195.25,200.0,201.5,1.6350644594663148,38.5,1.6403085359088665,219.89999389648438,194.6202320638036,206.5400806003147,218.4599291368258,195.0216670566135,9.541950680309506,0.7809859646412467,0.4758885559520024,-2.0420825037023285,Consumer Defensive,VDC,SP400,MDYG
LLY,2022-06-28 00:00:00,239.3699951171875,314.0,324.0799865722656,1.5759664376838787,47.850006103515625,1.0299403331103163,317.6199951171875,282.5589512048018,304.59761834523033,326.63628548565885,298.4864562503875,11.07226607362922,0.995075795661527,0.40605050392437414,-2.9082857261728705,Healthcare,VHT,SP500,SPY
WRB,2022-06-28 00:00:00,54.95333480834961,71.52999877929688,71.52999877929688,1.2856473014184322,7.1999969482421875,1.1745229190247357,69.08999633789062,64.69814277573091,68.51033319745746,72.322523619184,67.56610824948265,1.595122537168118,0.9688311468230348,0.4507643751622289,-4.861446046157841,Financial Services,VFH,SP500,SPY
BMY,2022-06-28 00:00:00,67.95999908447266,78.16999816894531,78.61000061035156,1.2792788845271879,8.879997253417969,1.2068279339888544,78.69999694824219,71.70786401060198,75.61091247437491,79.51396093814785,76.01150770036001,1.507803216940849,0.8206353448694998,0.4782543548126798,-2.9082857261728705,Healthcare,VHT,SP500,SPY
LNTH,2022-06-28 00:00:00,27.809999465942383,68.80000305175781,71.23999786376953,1.231131991538089,19.079998016357422,1.926076361647646,63.779998779296875,57.094054582019396,65.39124959612649,73.68844461023357,62.713849007137235,4.352676574615424,0.9908008235372233,0.5360060320299148,-2.9082857261728705,Healthcare,VHT,SP600,SLY
