,Date,MIN_Lookback_One_Year,MIN_Lookback_2_Months,MIN_Lookback_1_Months,risk_trend_factor,risk_per_share,volume_factor,Adj Close,21dBOLD,21dMA-TP,21dBOLU,90dSMA,90dSDev,adf,hurst,sector_risk_trend_factor,Sector,Sector Symbol,Market Index,Index Symbol
ACC,2022-07-06 00:00:00,49.209999084472656,65.0199966430664,65.22000122070312,10.855060966002227,1.3800010681152344,1.8516355916602432,64.80999755859375,64.08257466936723,64.52980192880781,64.9770291882484,63.73047610691616,2.458778994366536,0.9794280816134283,0.42823808722667644,error,error,error,SP400,MDYG
MTOR,2022-07-06 00:00:00,32.93000030517578,36.279998779296875,36.29999923706055,5.745760191381373,0.5900001525878906,1.5842214209649292,36.29999923706055,35.92973306804483,36.135118711562384,36.340504355079936,36.007936341421946,0.20424652913469732,0.34259905800478335,0.4383404843829386,error,error,error,SP600,SLY
PSB,2022-07-06 00:00:00,165.85000610351562,189.8300018310547,189.8300018310547,5.705683103278485,2.8199920654296875,1.9286059414600396,187.1999969482422,185.6626983767936,186.58506266276044,187.50742694872727,182.36432641650003,7.979275305335582,0.8657657890557039,0.4808269240083804,-4.545652639134719,Real Estate,VNQ,SP400,MDYG
Y,2022-07-06 00:00:00,737.8900146484375,862.8699951171875,862.8699951171875,3.565262643914474,9.5,1.7110713568495324,832.5,829.6438358221611,832.6194811624194,835.5951265026778,835.3841654459635,5.188555038234444,0.45636945040687493,0.46342329404364024,-5.246442630103437,Financial Services,VFH,SP400,MDYG
TVTY,2022-06-30 00:00:00,27.8700008392334,32.88999938964844,32.88999938964844,3.1950212657514556,1.2049999237060547,1.8811933542679444,32.5,31.852152478234604,32.26242056347075,32.672688648706895,32.18186496552967,0.23220853348179563,0.528090544978085,0.4466191909061625,error,error,error,SP600,SLY
GCP,2022-07-06 00:00:00,27.780000686645508,32.279998779296875,32.279998779296875,2.6133355034722223,1.125,2.149638308729607,31.760000228881836,30.82148955920121,31.1937500484406,31.566010537679986,31.162142821720668,0.22849561780487704,0.15807522467950502,0.4577997456440045,error,error,error,SP600,SLY
FCN,2022-07-06 00:00:00,147.3800048828125,170.30999755859375,172.69000244140625,2.465524105258967,26.829986572265625,0.9669603211445077,185.50999450683594,157.0982537046657,170.9986110868908,184.8989684691159,166.2164680238754,6.442468714856948,0.9753291032575824,0.4011608904418641,-5.189072098561948,Industrials,VIS,SP400,MDYG
LLY,2022-07-06 00:00:00,239.3699951171875,314.0,324.0799865722656,2.271813875868162,49.739990234375,0.9287312291925082,330.1499938964844,280.68631614356946,308.6480944194491,336.6098726953287,301.3643820626395,12.972695365564359,0.9965060265649031,0.4070597655183399,-2.49982314536909,Healthcare,VHT,SP500,SPY
MCK,2022-07-06 00:00:00,204.66000366210938,335.6000061035156,339.94000244140625,2.046545780066288,41.25,1.1602535397854878,321.5400085449219,298.78648561357994,315.1373012482174,331.48811688285485,320.3308863564143,8.432636568159143,0.9986019393065845,0.4603896470937815,-2.49982314536909,Healthcare,VHT,SP500,SPY
BANF,2022-07-06 00:00:00,77.37999725341797,86.81999969482422,96.98999786376953,1.7297428468196718,19.87000274658203,1.5255098952219224,98.5199966430664,89.8973874272746,94.61935473245288,99.34132203763116,87.83572163657537,5.770010811200896,0.9636459741093157,0.5394723765987917,-5.246442630103437,Financial Services,VFH,SP600,SLY
ROG,2022-07-06 00:00:00,206.1300048828125,274.510009765625,274.510009765625,1.6424041495582284,20.610015869140625,1.0355818760860758,263.0,255.43510422502467,259.4203568715898,263.4056095181549,265.30178506033764,6.338430231659711,0.7355484879575418,0.4794608143549601,-6.045371855907778,Technology,VGT,SP600,SLY
SJI,2022-07-06 00:00:00,29.239999771118164,35.31999969482422,35.31999969482422,1.523809134555125,2.1000022888183594,0.956855191601433,34.36000061035156,33.5409606907657,34.08317444816468,34.62538820556365,34.22273819030277,0.362536513110541,0.19228886879544282,0.42022130053129947,error,error,error,SP600,SLY
MUSA,2022-07-06 00:00:00,159.0,251.27999877929688,262.5799865722656,1.5005539289789103,45.18998718261719,1.4290858092610885,246.88999938964844,220.4937649003728,233.85273785061304,247.21171080085327,237.35884845067585,9.969318813841285,0.9967709951777927,0.4126167380647304,error,error,error,SP400,MDYG
NOC,2022-07-06 00:00:00,379.0299987792969,490.82000732421875,492.29998779296875,1.484261434190988,56.22998046875,0.9765525841997302,481.8699951171875,443.26770050260234,464.0409916469029,484.8142827912035,459.4074497525654,11.941532577300647,0.9320476937756228,0.4244685755836732,-5.189072098561948,Industrials,VIS,SP500,SPY
VIVO,2022-07-06 00:00:00,27.450000762939453,28.719999313354492,28.719999313354492,1.4405847853910352,10.940000534057617,1.2690440488744124,33.54999923706055,25.646721424617244,29.16607139980982,32.68542137500239,27.33738090878441,2.026874145098273,0.833948033484529,0.4289047116137363,-2.49982314536909,Healthcare,VHT,SP600,SLY
HRB,2022-07-06 00:00:00,26.229999542236328,28.510000228881836,36.83000183105469,1.4119422789944713,13.230001449584961,0.7768293972612647,36.75,32.713031816731096,34.820079440162296,36.927127063593495,31.41996043069022,4.064747391729258,0.9175119547881068,0.4440025616480438,-7.948365233441673,Consumer Cyclical,VCR,SP400,MDYG
GIS,2022-07-06 00:00:00,64.6500015258789,73.80000305175781,73.98999786376953,1.3757421510749421,11.790000915527344,1.198696387997806,76.22000122070312,63.326776976510956,69.8027780623663,76.27877914822164,70.32611120314826,2.46204842748307,0.9659553811710103,0.4241324441465183,-1.9066345116832566,Consumer Defensive,VDC,SP500,SPY
EXLS,2022-07-06 00:00:00,108.66000366210938,154.97999572753906,154.97999572753906,1.1927962014872995,29.979995727539062,1.3134035485686304,151.4600067138672,132.91631847003345,144.04178474062965,155.16725101122586,141.3651993161156,6.718720974484828,0.9889767436015069,0.3762635647118241,error,error,error,SP600,SLY
RGP,2022-07-06 00:00:00,15.449999809265137,20.15999984741211,20.15999984741211,1.1847828490672305,5.520000457763672,1.698360537080115,20.770000457763672,17.166915280735076,19.174246031140523,21.18157678154597,17.980552499256437,1.2039741630852272,0.7994723967815158,0.3762662630442636,-5.189072098561948,Industrials,VIS,SP600,SLY
