,SYMBOL,exp_return,discounted_return,qtr_return,sell_date,stop_loss_price,days_delta,disc_rtn,qtr_rtn,outer_cv_avg_rmse_n11,outer_cv_std_n11,mean_revert_flag,yhat_upper,yhat_lower,Adj Close,21dBOLD,21dMA-TP,21dBOLU,90dSMA,90dSDev,90d_lower,90d_upper,volume_factor,Adj Close,adf,hurst
GO,GO,0.08129536,0.002795319,1.292800172,8/5/2022,41.30730239,28,0.002795319,1.292800172,41.08248897,35.74310726,FALSE,54.92338445,42.91219026,44.83000183,36.5975111,40.9963256,45.3951401,37.21511932,3.554379562,30.10636019,44.32387844,1.409535254,44.83000183,0.268310378,0.417724471
GIS,GIS,-0.018857601,-0.000388448,0.964887078,8/26/2022,68.14687962,49,-0.000388448,0.964887078,20.88727999,18.89806217,FALSE,79.97566041,67.90437242,75.51000214,63.04495337,69.97031932,76.89568528,69.93549492,2.542758687,64.84997755,75.0210123,1.222308333,75.51000214,0.965574046,0.423314673
SAFM,SAFM,-0.001034582,-1.48E-05,0.998640485,9/16/2022,187.2971537,70,-1.48E-05,0.998640485,769.536131,1117.005196,FALSE,239.341152,190.377209,213.9499969,199.4359515,210.9694455,222.5029394,197.6694082,10.97247162,175.724465,219.6143515,1.820030631,213.9499969,0.754409267,0.476400623
POST,POST,-0.073088114,-0.000985187,0.913308229,9/23/2022,71.07244107,77,-0.000985187,0.913308229,84.27290313,61.42368496,FALSE,84.57238158,70.53338666,83.48000336,73.49082678,79.49230131,85.49377583,78.3164285,3.292083318,71.73226187,84.90059514,0.672294307,83.48000336,0.446201503,0.368556004
DLTR,DLTR,-0.011567087,-0.000138496,0.987338289,9/30/2022,142.2400825,84,-0.000138496,0.987338289,401.5008782,274.2156937,FALSE,192.2041843,143.0833658,168.7899933,148.3287923,156.9173016,165.5058109,158.8301195,10.49183399,137.8464516,179.8137875,0.846188388,168.7899933,0.748695234,0.434874781
HSY,HSY,0.088614814,0.00151733,1.149685644,9/2/2022,211.7430224,56,0.00151733,1.149685644,180.5050296,92.72971969,FALSE,257.4240799,223.4530589,219.9299927,203.4162749,214.1013888,224.7865028,217.4725658,7.008273986,203.4560178,231.4891138,1.264616687,219.9299927,0.989193411,0.447098077
CHEF,CHEF,0.17934454,0.001965725,1.198018776,9/30/2022,28.57706785,84,0.001965725,1.198018776,127.3549528,105.9311404,FALSE,70.0833034,31.2028622,39.22000122,29.94980763,36.05511892,42.16043022,35.49714297,2.340860405,30.81542216,40.17886378,0.962866969,39.22000122,0.298235555,0.48202786
PEP,PEP,0.083771723,0.001277757,1.124657547,9/9/2022,172.6329155,63,0.001277757,1.124657547,57.55852399,57.51700175,FALSE,196.1572502,174.4128201,170.3600006,154.9471402,163.5003176,172.0534951,167.4720445,4.834308058,157.8034284,177.1406606,1.10552221,170.3600006,0.907304331,0.331130538
PPC,PPC,0.06617264,0.001017585,1.098087716,9/9/2022,25.58434142,63,0.001017585,1.098087716,30.75494299,30.27983509,FALSE,38.33522443,28.38887809,30.70999908,29.02740127,30.62484118,32.22228108,29.75591251,2.06782599,25.62026053,33.89156449,1.075071972,30.70999908,0.33782956,0.55731837
DG,DG,-0.031098366,-0.000451215,0.959329038,9/16/2022,223.7718428,70,-0.000451215,0.959329038,296.4714827,255.8648885,FALSE,267.8067561,228.1690456,254.8600006,224.9990007,240.2149666,255.4309325,234.3225131,15.62857216,203.0653688,265.5796574,0.912310028,254.8600006,0.890554616,0.286115014
BJ,BJ,0.288294254,0.004533801,1.516139083,9/2/2022,67.71135956,56,0.004533801,1.516139083,72.4476935,80.54969733,FALSE,99.54375563,74.80136988,66.95999908,56.83215812,61.76414272,66.69612732,62.6340078,4.404640184,53.82472743,71.44328817,1.472743159,66.95999908,0.958748812,0.380754848
LLY,LLY,0.017118486,0.000202087,1.018764023,9/30/2022,292.4440184,84,0.000202087,1.018764023,875.5422078,960.9535424,FALSE,377.857947,297.4179491,327.9500122,280.3783763,309.5595232,338.7406701,301.7316388,13.39260615,274.9464265,328.5168511,0.911781014,327.9500122,0.996198152,0.407426597
MCK,MCK,0.10531948,0.001192787,1.115910905,9/30/2022,312.4208083,84,0.001192787,1.115910905,440.392215,614.2125918,FALSE,389.4322442,321.6358125,321.25,298.7302428,315.2330155,331.7357883,320.4914766,8.350580213,303.7903162,337.1926371,1.153828973,321.25,0.998613801,0.460438073
