Date,Open,High,Low,Close*,VOLUME
25-May-22,"3,929.59","3,999.33","3,925.03","3,978.73","100,000.00"
24-May-22,"3,942.94","3,955.68","3,875.13","3,941.48","200,000.00"
23-May-22,"3,919.42","3,981.88","3,909.04","3,973.75","300,000.00"
20-May-22,"3,927.76","3,943.42","3,810.32","3,901.36","400,000.00"
19-May-22,"3,899.00","3,945.96","3,876.58","3,900.79","500,000.00"
18-May-22,"4,051.98","4,051.98","3,911.91","3,923.68","600,000.00"
17-May-22,"4,052.00","4,090.72","4,033.93","4,088.85","700,000.00"
16-May-22,"4,013.02","4,046.46","3,983.99","4,008.01","600,000.00"
13-May-22,"3,963.90","4,038.88","3,963.90","4,023.89","500,000.00"
12-May-22,"3,903.95","3,964.80","3,858.87","3,930.08","400,000.00"
11-May-22,"3,990.08","4,049.09","3,928.82","3,935.18","300,000.00"
10-May-22,"4,035.18","4,068.82","3,958.17","4,001.05","400,000.00"
9-May-22,"4,081.27","4,081.27","3,975.48","3,991.24","500,000.00"
6-May-22,"4,128.17","4,157.69","4,067.91","4,123.34","600,000.00"
5-May-22,"4,270.43","4,270.43","4,106.01","4,146.87","700,000.00"
4-May-22,"4,181.18","4,307.66","4,148.91","4,300.17","800,000.00"
3-May-22,"4,159.78","4,200.10","4,147.08","4,175.48","900,000.00"
2-May-22,"4,130.61","4,169.81","4,062.51","4,155.38","1,000,000.00"
29-Apr-22,"4,253.75","4,269.68","4,124.28","4,131.93","1,100,000.00"
28-Apr-22,"4,222.58","4,308.45","4,188.63","4,287.50","1,000,000.00"
27-Apr-22,"4,186.52","4,240.71","4,162.90","4,183.96","900,000.00"
26-Apr-22,"4,278.14","4,278.14","4,175.04","4,175.20","800,000.00"
25-Apr-22,"4,255.34","4,299.02","4,200.82","4,296.12","700,000.00"
22-Apr-22,"4,385.83","4,385.83","4,267.62","4,271.78","600,000.00"
21-Apr-22,"4,489.17","4,512.94","4,384.47","4,393.66","500,000.00"
20-Apr-22,"4,472.26","4,488.29","4,448.76","4,459.45","600,000.00"
19-Apr-22,"4,390.63","4,471.03","4,390.63","4,462.21","700,000.00"
18-Apr-22,"4,385.63","4,410.31","4,370.30","4,391.69","800,000.00"
14-Apr-22,"4,449.12","4,460.46","4,390.77","4,392.59","900,000.00"
13-Apr-22,"4,394.30","4,453.92","4,392.70","4,446.59","1,000,000.00"
12-Apr-22,"4,437.59","4,471.00","4,381.34","4,397.45","1,100,000.00"
11-Apr-22,"4,462.64","4,464.35","4,408.38","4,412.53","1,200,000.00"
8-Apr-22,"4,494.15","4,520.41","4,474.60","4,488.28","1,300,000.00"
7-Apr-22,"4,474.65","4,521.16","4,450.30","4,500.21","1,400,000.00"
6-Apr-22,"4,494.17","4,503.94","4,450.04","4,481.15","1,500,000.00"
5-Apr-22,"4,572.45","4,593.45","4,514.17","4,525.12","1,600,000.00"
4-Apr-22,"4,547.97","4,583.50","4,539.21","4,582.64","1,700,000.00"
1-Apr-22,"4,540.32","4,548.70","4,507.57","4,545.86","1,800,000.00"
31-Mar-22,"4,599.02","4,603.07","4,530.41","4,530.41","1,900,000.00"
30-Mar-22,"4,624.20","4,627.77","4,581.32","4,602.45","100,000.00"
29-Mar-22,"4,602.86","4,637.30","4,589.66","4,631.60","200,000.00"
28-Mar-22,"4,541.09","4,575.65","4,517.69","4,575.52","300,000.00"
25-Mar-22,"4,522.91","4,546.03","4,501.07","4,543.06","400,000.00"
24-Mar-22,"4,469.98","4,520.58","4,465.17","4,520.16","500,000.00"
23-Mar-22,"4,493.10","4,501.07","4,455.81","4,456.24","600,000.00"
22-Mar-22,"4,469.10","4,522.00","4,469.10","4,511.61","700,000.00"
21-Mar-22,"4,462.40","4,481.75","4,424.30","4,461.18","600,000.00"
18-Mar-22,"4,407.34","4,465.40","4,390.57","4,463.12","500,000.00"
17-Mar-22,"4,345.11","4,412.67","4,335.65","4,411.67","400,000.00"
16-Mar-22,"4,288.14","4,358.90","4,251.99","4,357.86","300,000.00"
15-Mar-22,"4,188.82","4,271.05","4,187.90","4,262.45","400,000.00"
14-Mar-22,"4,202.75","4,247.57","4,161.72","4,173.11","500,000.00"
11-Mar-22,"4,279.50","4,291.01","4,200.49","4,204.31","600,000.00"
10-Mar-22,"4,252.55","4,268.28","4,209.80","4,259.52","700,000.00"
9-Mar-22,"4,223.10","4,299.40","4,223.10","4,277.88","800,000.00"
8-Mar-22,"4,202.66","4,276.94","4,157.87","4,170.70","900,000.00"
7-Mar-22,"4,327.01","4,327.01","4,199.85","4,201.09","1,000,000.00"
4-Mar-22,"4,342.12","4,342.12","4,284.98","4,328.87","1,100,000.00"
3-Mar-22,"4,401.31","4,416.78","4,345.56","4,363.49","1,000,000.00"
2-Mar-22,"4,322.56","4,401.48","4,322.56","4,386.54","900,000.00"
1-Mar-22,"4,363.14","4,378.45","4,279.54","4,306.26","800,000.00"
28-Feb-22,"4,354.17","4,388.84","4,315.12","4,373.94","700,000.00"
25-Feb-22,"4,298.38","4,385.34","4,286.83","4,384.65","600,000.00"
24-Feb-22,"4,155.77","4,294.73","4,114.65","4,288.70","500,000.00"
23-Feb-22,"4,324.93","4,341.51","4,221.51","4,225.50","600,000.00"
22-Feb-22,"4,332.74","4,362.12","4,267.11","4,304.76","700,000.00"
18-Feb-22,"4,384.57","4,394.60","4,327.22","4,348.87","800,000.00"
17-Feb-22,"4,456.06","4,456.06","4,373.81","4,380.26","900,000.00"
16-Feb-22,"4,455.75","4,489.55","4,429.68","4,475.01","1,000,000.00"
15-Feb-22,"4,429.28","4,472.77","4,429.28","4,471.07","1,100,000.00"
14-Feb-22,"4,412.61","4,426.22","4,364.84","4,401.67","1,200,000.00"
11-Feb-22,"4,506.27","4,526.33","4,401.41","4,418.64","1,300,000.00"
10-Feb-22,"4,553.24","4,588.92","4,484.31","4,504.08","1,400,000.00"
9-Feb-22,"4,547.00","4,590.03","4,547.00","4,587.18","1,500,000.00"
8-Feb-22,"4,480.02","4,531.32","4,465.40","4,521.54","1,600,000.00"
7-Feb-22,"4,505.75","4,521.86","4,471.47","4,483.87","1,700,000.00"
4-Feb-22,"4,482.79","4,539.66","4,451.50","4,500.53","1,800,000.00"
3-Feb-22,"4,535.41","4,542.88","4,470.39","4,477.44","1,900,000.00"
2-Feb-22,"4,566.39","4,595.31","4,544.32","4,589.38","100,000.00"
1-Feb-22,"4,519.57","4,550.49","4,483.53","4,546.54","200,000.00"
31-Jan-22,"4,431.79","4,516.89","4,414.02","4,515.55","300,000.00"
28-Jan-22,"4,336.19","4,432.72","4,292.46","4,431.85","400,000.00"
27-Jan-22,"4,380.58","4,428.74","4,309.50","4,326.51","500,000.00"
26-Jan-22,"4,408.43","4,453.23","4,304.80","4,349.93","600,000.00"
25-Jan-22,"4,366.64","4,411.01","4,287.11","4,356.45","700,000.00"
24-Jan-22,"4,356.32","4,417.35","4,222.62","4,410.13","600,000.00"
21-Jan-22,"4,471.38","4,494.52","4,395.34","4,397.94","500,000.00"
20-Jan-22,"4,547.35","4,602.11","4,477.95","4,482.73","400,000.00"
19-Jan-22,"4,588.03","4,611.55","4,530.20","4,532.76","300,000.00"
18-Jan-22,"4,632.24","4,632.24","4,568.70","4,577.11","400,000.00"
