stock,returns_vector
ATH,-0.005301677278131519;-0.0014895139771735656;0.0014895139771736047;0.010996102945288551;-0.010358360465484936;-0.0019142864530214809;0.0006384756821596522;0.004458113455479353;0.013465370844628247;-0.005658542651650491;0.00586755187456465;-0.008603554098335511;-0.015076176113319262;0.005547236688632833;-0.0021298937230939353;-0.027014067520381917;-0.008359068906860629;-0.007984087857712655;-0.0062541811281572645;-0.020829414644118676;0.022843968213691265;0.002233605420436408;-0.0038001200671340823;-0.02471501190554414;0.0043522832124405185;0.013395594825856639;0.03523129735258922;-0.003489640315127379;0.008268129345383735;-0.0006503217709479448;0.02632011516517783;0.005686031222189609;0.003772804907588597;0.009991747409170682;0.035005634482641636;-0.01409893985494701;0.009086398031402874;-0.000804361915388342;-0.034172085419825915;-0.04143800622632002;-0.00915442293932236;-0.057222751678975635;-0.04456772264407962;0.0239532410224928;-0.04156194328147397;0.03681695775362255;-0.04126801137545621;-0.07005556141920907;-0.12921166154843575;0.02891831870920152;-0.08810723653579994;-0.23760904199321098;0.09431069189190805;-0.21300989958546215;-0.0941192770691337;-0.18474141755447213;0.10293474636143288;-0.09029545156745417;-0.037165331513854455;0.26412934607371547;0.19432423158925452;0.08426033681258545;-0.0760523176406078;0.02384724284321297;-0.058299307272644145;-0.12744882848073408;0.019488506877833746;-0.03703286596893825;0.08394042054287626;0.022862935337366504;0.10745129433931465;0.1318852999459058;-0.07099534217646737;-0.03491451365364535;-0.1184700568609213;-0.025476450664189056;0.07416839045051658;-0.05448183966145367;-0.0802847088961169;0.025733448587626443;-0.0026315570204211874;0.037496266539848735;0.06786419885846139;0.03762325554502339;0.08357949764909905;-0.05617025276755803;-0.07696104113612832;-0.0012007480753381224;-0.02761029608724891;-0.0541358667112799;0.0773311966397822;0.09362656361029752;-0.010679497965922819;-0.07573259348399998;-0.06902139833301019;0.04681167715666542;0.007323072015699313;0.11259011441439523;-0.04822897329469439;0.014339908672538747;0.0007490094192082616;-0.026941454823810867;0.10401346815514735;0.042747356587739;-0.025224138229512787;-0.01613773118345345;0.02966972430441083;-0.007758498647509625;0.08282612106777332;0.04867135835908787;0.05459837894561592;0.046149367444788175;-0.04614936744478807;-0.05459837894561579;-0.12004953811094977;0.03713254416093136;0.03362198553128822;0.03524181780439912;-0.033372151996172154;0.07061056011760562;-0.03393160780256211;-0.0012012288664790974;-0.012091976599990659;-0.05855486217997351;0.02798272138942684;-0.05909709532424794;0.02008961405529533;0.016812567128695298;-0.030601363265580644;0.0036297881543848097;0.03272607632408929;-0.04465466729316925;0.03343479084328675;-0.049902975794516934;0.04732066569506839;0.01730254660179606;0.011056829889292269;0.0496425704855095;0.01777820080648446;-0.01628457135805538;-0.020202651543695667;0.030005249630466007;0.00265672002434468;-0.0032480996044473623;-0.012500221661597187;-0.011142983320884842;-0.016181051013170862;0.031806382349608364;-0.033963323863285405;-0.005257416586577046;0.019954660908841647;-0.00885369563269633;0.0769951292095058;-0.03495958806048505;0.04033971214768945;0.026199900187478795;0.0074003480767103015;-0.004927475373431135;-0.003298489374719671;0.016655691797424058;-0.0029830696114836663;-0.01587764002652969;0.007696540771283421;-0.01712273026354686;-0.014873364978772723;0.04775295546552691;0.0075189021173505816;-0.012111593473827937;0.007822046882971771;0.004289546590856309;-0.022181046453314632;-0.008239625111671882;-0.0033148907613912994;-0.017867571794179735;0.04919252226091021;-0.035484050014309695;0.011327647834473507;-0.019418106405998052;0.0016791932118752082;0.018562716029196964;-0.015491357630724602;0.013017805400127687;-0.015809501098576213;-0.021761504578931466;-0.03696042598726532;0.0032559037449725356;-0.025135977780640664;0.0;0.00904981260882297;0.04606945598090448;-0.025266305440046183;0.002350231073082586;0.044757829787899585;0.01614290068058374;0.021306426486497086;-0.019375666191156948;0.015584722347252035;0.01427630386477751;-0.01021517161874371;0.0002702184643052396;-0.030164127052571033;-0.0061434823016413625;0.0005600800260711407;-0.012111126552370868;-0.02380045909819096;0.0005802279873282902;-0.013724882852336006;-0.0070817017141362425;0.013821752341370999;-0.027536906861005423;-0.04105975183923495;-0.03728327638517525;0.02785519775081021;0.012862977116499365;0.010542619752281832;0.07628689452113685;-0.03401001990259112;0.03942541353720307;-0.007704431238056151;0.1505020627737132;0.008099148691699365;0.019366358047561445;-0.03240624692274337;0.036234915184494246;0.025699874368674866;0.006033950433229281;-0.00046286641198046996;-0.0041753784303984595;-0.001162908285133728;0.039918629948257026;0.04631668584373244;-0.014190731452410888;-0.005646098398320574;-0.03478803778622476;0.015660292768752776;0.016511107343118704;-0.0010922827405421527;0.002837523820267824;-0.04776626191945058;-0.0018307059954624665;-0.008741741293445047;0.0013853932954904368;-0.02145609365728616;-0.015920454674779656;0.015213019669201338;0.0002359272595556281;0.0025909046610305664;-0.01135568291324172;-0.009562533109182451;-0.013299657230972449;0.0290292434999319;0.002125904910250736;-0.0023624459132825385;-0.009983400531519358;0.01540857128801582;0.014711323926199725;-0.02701909214373796;0.02074072102555757;0.07068647199222733;0.004337477382955603;-0.022984469167221206;-0.015846756778727256;0.0060558770195192945;0.001340727767176247;0.016390215963793954;-0.025588258556492192;0.006514701677452162;0.00022385137796879839;-0.022182882842596275;-0.00919752892813579;-0.013488619185118171;-0.00046839481651924324;-0.02803034697124746;0.023334471999643537;-0.03838327417947038;0.006581387808779972;0.028973632170573704;0.012431322073009706;0.03908620131987464;-0.0035930836982125958;0.018279592435816453;-0.011776577981717858;-0.009883333749024002;0.009659747381846877;0.00978870191872038;0.015378176193828978;-0.012504269676318866;-0.0033167019882962157;0.005301489362783914;0.02716672593425147;-0.02277013138348712;0.046918718776941364;-0.036879370215567434;-0.010039348561374086;0.024911967449115988;0.0010691594234299852;0.0317620204178233;-0.010824428513427863;0.022761220365873226;0.058021797821752076;-0.036768103912285965;-0.002607061914052594;0.01988137085540517;-0.013077259008742657;0.017986449108529028;-0.015993974096813704;0.009114370076337362;-0.010110149340256174;-0.011018828264149554;0.04740783236231217;0.00019214554226506647;-0.036581149640427656;-0.005995206665996676;-0.006636485168393328;-0.001817634555365626;0.016439818473590377;0.0021849369638661663;0.01438022462939655;-0.0013699912731237776;0.0007830286400440152;-0.012405342810136144;-0.011959526398838688;0.011563163782263356;0.006913577643640269;0.001573600458754368;0.04740400912177312;0.014699323766105814;0.0239084546428522;0.0014416657153189013;-0.00324676168392302;0.02268562923230124;0.005635796912553333;0.014817708440322083;0.018176041606010898;0.01165656318629535;0.005861165120853913;0.0011681218802673417;-0.00484830711779146;-0.005040320555877368;-0.001685746768650765;0.02991745871478737;0.013499462103363273;0.018407845969122535;-0.01212713634650582;0.0022450199980638902;-0.03173320965950635;0.006592006795596239;0.021932460127099894;-0.0004821792140885696;-0.007584983020815531;0.010795270838343397;-0.003371106794955503;0.0103976227820034;-0.002230356008649031;-0.016077516530319108;0.012722627524107084;0.00717529901645415;-0.004937456225518481;-0.005283000044503726;0.0024048352412031596;0.006384661969759706;0.0;0.0038113700431419532;-0.0044479624707940615;-0.0044678962731720335;0.00047969613131130666;0.007167299127223749;-0.003179098985363035;0.008402725189023687
CRUS,0.006378248610582457;0.0;-0.011461752113959283;0.030944423277343307;-0.01589024670254554;-0.010936995530598672;0.00938181989669386;0.009057410717161115;0.012379989976833903;-0.007999956498418219;0.0143076626795109;-0.011359025888376737;-0.01746407518863762;0.012150198714083646;-0.0041525654350898665;-0.01630145897376098;0.005303163385976058;0.03368513739709839;-0.03368513739709848;-0.030512495526118812;0.032073930613046246;-0.02073680177004233;0.02528713007472874;-0.08590413280917734;0.004935138364707467;0.030115846556266007;0.0021347175104179657;-0.015549309734848351;-0.0043411245296404305;0.0028111597186298697;0.022832874909377073;0.019269340981180168;-0.012804914541853975;0.010968123096595379;-0.03238542542440396;0.021789059857143408;-0.024578123890828127;-0.019873664454115748;-0.03787485426096495;-0.02368099058520272;-0.027930875625806442;-0.05367393741545979;0.025377597530860937;0.035914899694166516;-0.0357691915408929;0.044027287885826834;-0.013895905803391973;-0.03071423092459127;-0.08975791009386236;0.06899280661114685;-0.0683553009954215;-0.16169445004046917;0.14789675326111001;-0.18841440961716047;0.09127697922179624;-0.10541984357218354;0.14879513057436763;-0.04819365349044482;-0.022981205498201197;0.10634844814360245;-0.011254612170214806;0.08835582870331944;-0.058189666925965805;0.033664702714518845;0.024524964211447106;-0.08138950159934469;0.024168379937138797;-0.03664255416231457;0.10507599772909691;-0.025484034201681063;0.034782168292343305;-0.03663852894797262;0.0161280729527337;0.053112480989379186;-0.021616084835241856;0.02493384272031649;0.012024140439162556;-0.018670589775745705;-0.04174055010625849;0.036653610832652526;-0.002480097171537721;0.03980480870620256;0.020424485635404162;0.01243785118795324;0.06137536167538694;-0.034835863931910294;-0.06517359738497244;0.017355199084982776;0.009253545488899053;-0.005652404014337253;-0.014763571764333494;0.068197543875094;-0.03902159678967365;-0.0606757248876756;-0.02255185603980516;-0.014169779541753734;-0.014983221690894959;0.07460889442075637;0.006910652223615305;0.04210855366325641;-0.012474713215457286;0.002589119602316921;0.0029894517555290397;0.007569719728389945;-0.03522117559601364;0.010959406130205507;-0.010262265723292809;-0.012765776709807736;0.017216405822828733;-0.03905412120699406;0.03265010242267594;-0.04411530145934036;0.05149025724125884;-0.027691608176892195;-0.038947092835612304;-0.01899981231573051;0.015734242963783913;-0.021186333055660395;-0.0016718692763153333;-0.014556251148378512;-0.03534491792379123;-0.030192207159167494;-0.01997404561373584;-0.04329086286530273;0.01290793570601702;0.014111397237694705;0.029797683712437878;0.024413400044856103;-0.025741231460776497;0.007281224278033911;0.02217597474528612;0.009789063547058453;0.0017550959701220557;0.02160454531067363;0.004513991949150522;-0.010145996748899816;0.020958535999840194;0.008566752669386937;-0.002287481350232437;0.018904154639152654;-0.004053096237776465;-0.026830909431049724;0.004470845464872809;0.0010761734098748478;-0.0043116600330246075;0.02318585577221872;-0.03467140015570665;0.02375556661992601;0.023651019329071713;0.02004489576628421;0.08339327172505083;-0.08485353008601602;-0.031319823198609945;-0.019335254352929043;-0.00647759509475672;-0.011985459933502498;-0.00565329094564045;0.003615496244696757;-0.040671647111956595;-0.012994624827721278;0.004789787016136815;-0.023169624081879933;0.0016849589188742881;-0.01663598644014382;0.01326328916079852;0.005726816186856547;0.015168218717494554;0.008401306678095855;-0.009228766156232833;0.01266771311694064;-0.009526977845340063;0.008709261907292213;0.028548031467789024;-0.07509919179527764;-0.00017139489822042377;-0.04308902780365828;0.014746679836238409;0.011747275806340933;0.01195548225367671;0.033534039764438035;0.021095027012954886;-0.008680732205715762;0.0026285516236213254;-0.016876648882447033;0.009631393333264073;0.009048396902015051;-0.0183461155977909;0.02568884173278458;0.024252407660342028;0.030165552537431375;0.016037045896081615;0.021731795382596758;0.013693806635679501;-0.022479453923949393;0.042459920102541085;0.0017186357382965635;0.0069876290474481986;-0.00014214646498577631;0.02220754366012538;0.0157222843611105;-0.0104540447011653;-0.03075008847945765;-0.014506459152436323;-0.009740657081524119;0.0059719596233317445;0.004347246992314985;-0.007547267478713164;-0.001166207607891006;-0.013214021202011117;-0.0014791616749976178;0.010307918971316374;-0.022669297552328254;0.04239724461261416;-0.01083121239706079;-0.03306582408423761;0.0385682597144053;0.022700616151681403;0.015130603484631683;0.02756433899314962;0.025507105962547454;-0.015145758374205462;0.02001262437955553;-0.003417486804169961;0.013860122430170497;-0.0005195598851163672;-0.014130836032453083;-0.012463731541882322;0.01745844833097534;0.013543649590614071;0.005031936344492519;0.00012871934237959948;-0.017655925760493463;0.012753990620070961;0.035193832725243374;0.015853673798817913;-0.0077715467206909685;-0.0134648816934799;0.03793093384788637;0.00410029934570807;-0.0014452022141022197;-0.030718956245800528;0.011860765442851154;-0.04304033463450424;0.005115774463216745;0.03890665983227576;-0.006277356362390908;-0.004206840393445215;-0.002731578780700476;-0.004485996437100386;0.005355936151337593;0.011609398355669029;-0.0059113885494225015;0.012642068322553322;-0.015734790560455594;0.015246795957710552;0.0030459969855535472;0.023207923979715453;0.026161423798291374;0.04549836087973247;0.010784778994565604;-0.0026304033070327615;0.004380141670307686;0.016042002201550158;0.009950334102138376;0.037815271097762504;0.012327587754345044;0.025887171734968028;-0.009019299245974522;-0.009805014514883059;-0.009090069067164213;0.004959328940387433;0.010844510334714756;-0.04598276464902374;-0.01761739959361302;-0.0028776640254725427;0.043546406076524116;-0.08472868137044899;-0.04005307499146534;0.008415559101426336;-0.020294080693655982;0.04646673618499839;-0.011924964869347913;-0.009666288500459324;0.016546151018054123;0.0047095642947326466;0.0008945749314200964;-0.01248400174374745;-0.01608617975702724;0.014046977688174906;-0.02806074713600267;-0.00925662406084105;0.022004490645548158;-0.05576397852910836;-0.004270624300389712;0.018775950357824943;-0.02947117928638571;-0.036628644391672925;-0.05142830568887694;0.0464157717296744;-0.04966030441486791;0.03224364384681108;-0.006577240523308729;0.022575544720277712;-0.003748965896203548;0.004264973586847252;0.030357311406020684;0.015271304623744063;-0.03984197412838524;0.013120356549843969;0.01507193305768065;-0.03772595978099427;-0.0001294858745906248;0.009150126450323972;0.06289355184797144;0.0037275045285160577;-0.006864598472903513;0.024353607856325524;0.03271753153146293;0.00034235411800153363;-0.010552955995252574;-0.008918855445051124;0.001976008066002487;-0.013678892194885587;-0.0014135367891424117;-0.009475411991498064;0.00035693712022056683;0.00935417316362799;0.009384268888427298;-0.012807929895309982;-0.004147644520155272;0.02370451572428327;-0.0127212306630217;0.02138129253260046;0.0050458227258713415;0.0028556762250539045;-0.0181865265830209;0.0017408642582134111;-0.1475436917654713;-0.01913094947606279;0.028627430314209328;0.013880788883042694;0.002360351333681739;0.003269045147130434;-0.022843743899181534;0.008511813178756222;-0.04371767727053477;0.014831387432664534;0.0160912458783053;-0.003897604630625032;-0.0074340147353093855;0.008914208865994235;0.015874338675954287;-0.006506002802784318;0.017692618066874926;0.009767609912198763;0.0038804267684813087;0.0016768434403937004;0.006167350515554292;-0.01940050508374449;0.013104334474516312;-0.011668763456664193;0.012441828282201264;0.001287147505402819;-0.008655802114729617;0.011481767065627809;0.016411549861582355;0.0032754140234456707;0.0032646250595441016;-0.005531061444977284
LUB,0.0;0.013129279112159121;-0.044451720164367166;0.0045351507520485805;-0.022884271358232223;0.0;0.009216645991064322;0.004576662532905499;0.01360563881520608;-0.004514675980943847;0.009009061234425433;0.008928622191168457;0.026317283546611638;0.02141407482365579;0.0;-0.008510681896768226;0.02531788440050099;0.0;-0.02105348951614806;0.021053489516148095;-0.004175367253950448;0.012474161858639712;-0.01247416185863973;0.012474161858639712;-0.004140788578061706;0.008264501707599735;-0.050643785061615994;0.01716778781124057;0.01268524819362047;0.016667035927216762;0.008230491061099875;0.0;0.012220099466856656;0.03578907391675443;-0.003913895668890834;-0.00787404903980047;0.0;-0.011928559556882604;-0.00803216400634236;-0.012170523848436116;-0.020619266929047586;-0.008368241322527534;-0.008438961181205271;-0.008510681896768226;0.02947589042712855;-0.004158006026627518;-0.04691697618224751;-0.049226893484514554;-0.25459634463032577;0.07958742751109582;-0.13431234615744045;-0.27115276195072385;0.04800917338361099;-0.2876820724517809;-0.11000085622873221;0.06744128230222217;0.05292241280888016;-0.5493593130058404;-0.09352608096779468;0.19530877871118424;0.20359893500197124;0.0;-0.11122561204341141;0.0;-0.01481507139420387;-0.015037862537514927;-0.06252038902684118;-0.016260505111694693;0.06351334559153633;-0.03125251439316616;0.07637299687188454;0.014598785447344208;-0.029413856841548097;0.014815071394203828;0.02898750932488704;0.06899288851685016;0.013245214201674292;0.025975462271824908;-0.012903392926887598;0.01290339292688759;0.01273908961882172;0.0;0.025001277987246547;-0.07696104407956754;0.11332865408552202;0.0;-0.036367610005954516;-0.09038405152421752;0.013423007444649979;-0.013423007444650008;-0.05556988107220008;0.15822401352216173;-0.08923112500531169;0.013245214201674292;-0.054067168985500305;-0.028170933733023984;0.028170933733023967;0.054067168985500444;0.0;0.08810725995102205;-0.036813938113964;0.0;0.024692588966579433;0.024097529080210435;-0.04879011804678987;0.024692588966579433;-0.024692588966579474;0.0;0.060624634964517955;0.7884573348649574;-0.010752781438702409;-0.05556986404230139;-0.02898750882400805;-0.035932045997938575;-0.06942851640862858;-0.0537041273870438;0.09217044790716696;-0.01904825264330718;-0.012903392926887598;0.019293261114412995;-0.045610544661024634;-0.03390151879036064;0.027212537040062754;-0.048119284966771;0.054808266717068836;-0.05480826671706892;0.020906747926708276;0.0;-0.013889181725769854;0.0069687457323044065;-0.04255965761056675;-0.11506931082254619;0.047628003911058245;-0.03149863748807392;-0.01612936642298425;-0.13935548739676948;0.08934501463542671;0.03361667900519021;-0.01666703592721668;-0.060624665643378345;-0.008968661352744359;0.08626036292333948;-0.03361667900519022;0.008510681896768206;-0.02575247238354272;0.01724179048677462;-0.034786083625431376;0.01754429313865675;0.008658054700508674;-0.017391726485559075;-0.0176995602935799;0.04367502256540495;0.0;0.0;0.008510681896768206;0.01680720250373278;-0.04255967488727559;0.0;0.0;0.0;-0.044451720164367166;0.009049826732992556;0.0;-0.009049826732992521;0.009049826732992556;-0.027398947339176118;0.01834912060618362;0.0;-0.009132474615119266;0.053584194779486484;0.0;0.0;-0.044451720164367166;-0.06575142701411876;0.019231344291746166;0.7487170900153104;0.03104459213640266;0.07970676695973111;-0.04115803210001123;0.03306082968336935;0.012121348855462866;-0.04518217853883205;-0.004210628908069958;-0.029980804656678007;0.07534946566475934;-0.032789790777483716;0.05669528892162299;-0.003944774580914181;0.019570077931191202;0.07466154804886728;0.045702193267386455;-0.017331522526503503;0.0069687457323044065;0.11159103455719763;-0.11855978028950225;-0.01054490345582453;-0.007092221713653067;-0.021583551304021554;-0.010969020852107306;-0.018553389839703473;-0.0075188250008288715;0.04067100028787655;-0.01459878544734433;-0.03364800112304336;-0.01532604713114537;0.022901833413656317;0.04428763732767163;-0.018215422487139386;0.007326033054169503;-0.02214110444837323;0.0037243954531247596;0.0037105757856250618;0.011049825512574631;-0.014760401298199801;-0.018762257990639786;0.029852933931718787;-0.007380100155453859;0.06800474775244389;0.023932742800097162;-0.048452419946204466;0.017575128619389327;-0.03186107248554842;0.031861072485548474;-0.017575128619389428;0.03141624940122735;0.0034305317297707626;-0.006872872530504391;0.0;0.0068728725305045495;0.05981843831915894;-0.00647250851269115;-0.006514674949928501;0.006514674949928488;-0.009787997229406386;-0.023218268067503114;-0.048119284966771;0.017452516472321718;-0.0034662045390789404;-0.035339416473187425;0.0;-0.01085000573261631;0.02867577301767469;-0.025046008422437746;-0.01459878544734433;-0.011090675941079016;0.05426280706574721;-0.014184621799781234;-0.007168482740163348;0.01428594386615902;0.014084726874723943;0.0069687457323044065;0.017212111928720186;-0.03826558453574851;-0.043485070606336544;0.03278979148960535;0.017762439790516744;-0.003527337254886139;0.051646622221657196;-0.030666768494449246;0.020548648092337266;-0.030983598363720624;-0.01054490345582453;-0.0035398234188993853;0.0;0.02451967714610724;-0.006944548526717969;0.04096140069549652;-0.023689748183887794;-0.02426468158995163;-0.007042276122147227;-0.0035398234188993853;0.007067160673785595;0.05146936864110035;-0.034016852168778734;-0.0034662045390789404;0.03413297303352818;0.07434764210790466;-0.02843798388410763;0.01273908961882172;0.025001277987246547;0.0153142204347786;-0.0030441395090345987;0.006079040349402274;-0.006079040349402174;-0.009188417331775252;-0.012384047315929621;0.006211194113952857;0.0;0.0;-0.006211194113952757;0.0031104194157648593;0.0;-0.0031104194157647582;-0.006250014291515528;0.018634061607445105;0.015267457681177408;-0.0030349008403676337;-0.006097574106164341;0.0;0.009132474946532125;0.0;0.0;0.0;0.0;-0.0030349008403676337;0.003034900840367581;0.0;-0.0030349008403676337;-0.0030441395090345987;0.006079040349402274;-0.006079040349402174;0.00304413950903459;0.0180727641866287;0.020680256013600053;-0.02068025601360003;-0.00899555454827866;-0.006042308797982368;0.006042308797982336;0.03840948204382916;0.0057803573391555264;-0.017442285738075762;0.01455628362905448;0.0028860021090212572;0.014306381987610884;0.0;-0.008559245244474722;-0.0057471367431362165;0.005747136743136235;0.011396123893397454;-0.008534894344956492;0.002853066265385662;0.011331555294538047;0.002812938735484649;-0.002812938735484573;0.01676015323016922;0.008275967183016243;0.013642763090858028;0.0027063589783342767;0.0026990543638770567;-0.002699054363877119;0.0026990543638770567;-0.002699054363877119;0.005390843438307659;-0.002691789074430514;0.008053727074825314;-0.01345914041703677;0.0027063589783342767;-0.002706358978334304;0.005405413342211417;0.005376351867712715;-0.005376351867712832;0.0026917890744305533;-0.002691789074430514;-0.002699054363877119;0.0;0.0;0.0;-0.002706358978334304;0.005405413342211417;-0.005405413342211486;0.0027063589783342767;0.005390843438307659;0.008032164006342388;0.0;-0.00803216400634236;0.0;0.0;0.008032164006342388;-0.00803216400634236
