,date,name,cik,variable,value
249,1957-03-04,IBM,51143.0,added_ticker,IBM
379,1957-03-04,Procter & Gamble,80424.0,added_ticker,PG
276,1957-03-04,Kroger,56873.0,added_ticker,KR
209,1957-03-04,General Dynamics,40533.0,added_ticker,GD
271,1957-03-04,Kimberly-Clark,55785.0,added_ticker,KMB
184,1957-03-04,ExxonMobil,34088.0,added_ticker,XOM
419,1957-03-04,Southern Company,92122.0,added_ticker,SO
164,1957-03-04,Edison International,827052.0,added_ticker,EIX
384,1957-03-04,Public Service Enterprise Group,788784.0,added_ticker,PEG
180,1957-03-04,Exelon,1109357.0,added_ticker,EXC
250,1957-03-04,International Paper,51434.0,added_ticker,IP
226,1957-03-04,The Hershey Company,47111.0,added_ticker,HSY
219,1957-03-04,Halliburton,45012.0,added_ticker,HAL
22,1957-03-04,Altria Group,764180.0,added_ticker,MO
122,1957-03-04,ConocoPhillips,1163165.0,added_ticker,COP
197,1957-03-04,Ford,37996.0,added_ticker,F
369,1957-03-04,Pfizer,78003.0,added_ticker,PFE
27,1957-03-04,American Electric Power,4904.0,added_ticker,AEP
308,1957-03-04,Merck & Co.,310158.0,added_ticker,MRK
70,1957-03-04,Boeing Company,12927.0,added_ticker,BA
155,1957-03-04,DTE Energy,936340.0,added_ticker,DTE
83,1957-03-04,Campbell Soup,16732.0,added_ticker,CPB
90,1957-03-04,Caterpillar,18230.0,added_ticker,CAT
138,1957-03-04,Deere & Co.,315189.0,added_ticker,DE
116,1957-03-04,Coca-Cola Company,21344.0,added_ticker,KO
412,1957-03-04,Sealed Air,1012100.0,added_ticker,SEE
118,1957-03-04,Colgate-Palmolive,21665.0,added_ticker,CL
133,1957-03-04,CVS Health,64803.0,added_ticker,CVS
169,1957-03-04,Entergy,65984.0,added_ticker,ETR
75,1957-03-04,Bristol-Myers Squibb,14272.0,added_ticker,BMY
366,1957-03-04,PepsiCo,77476.0,added_ticker,PEP
338,1957-03-04,Norfolk Southern,702165.0,added_ticker,NSC
458,1957-03-04,Union Pacific,100885.0,added_ticker,UNP
235,1964-03-31,Howmet Aerospace,4281.0,added_ticker,HWM
0,1964-03-31,Abbott Laboratories,1800.0,added_ticker,ABT
232,1964-03-31,Honeywell,773840.0,added_ticker,HON
415,1964-06-30,Sherwin-Williams,89800.0,added_ticker,SHW
167,1965-03-31,Emerson Electric Company,32604.0,added_ticker,EMR
132,1965-03-31,Cummins,26172.0,added_ticker,CMI
410,1965-03-31,Schlumberger,87347.0,added_ticker,SLB
131,1967-09-30,CSX,277948.0,added_ticker,CSX
113,1969-03-31,Clorox,21076.0,added_ticker,CLX
211,1969-03-31,General Mills,40704.0,added_ticker,GIS
331,1969-06-30,Newmont,1164727.0,added_ticker,NEM
305,1970-06-30,McDonald's,63908.0,added_ticker,MCD
285,1970-12-31,Eli Lilly & Co,59478.0,added_ticker,LLY
62,1972-09-30,Becton Dickinson,10795.0,added_ticker,BDX
61,1972-09-30,Baxter International,10456.0,added_ticker,BAX
263,1973-06-30,Johnson & Johnson,200406.0,added_ticker,JNJ
213,1973-12-31,Genuine Parts,40987.0,added_ticker,GPC
236,1974-12-31,HP,47217.0,added_ticker,HPQ
493,1975-03-31,Williams Companies,107263.0,added_ticker,WMB
265,1975-06-30,JPMorgan Chase,19617.0,added_ticker,JPM
252,1976-03-31,International Flavors & Fragrances,51253.0,added_ticker,IFF
28,1976-06-30,American Express,4962.0,added_ticker,AXP
106,1976-06-30,Cigna,1739940.0,added_ticker,CI
59,1976-06-30,Bank of America,70858.0,added_ticker,BAC
485,1976-06-30,Wells Fargo,72971.0,added_ticker,WFC
156,1976-06-30,Duke Energy,1326160.0,added_ticker,DUK
334,1976-06-30,NextEra Energy,753308.0,added_ticker,NEE
286,1976-06-30,Lincoln National,59558.0,added_ticker,LNC
481,1976-06-30,The Walt Disney Company,1744489.0,added_ticker,DIS
318,1976-06-30,Molson Coors Beverage Company,24545.0,added_ticker,TAP
434,1976-12-31,Target Corporation,27419.0,added_ticker,TGT
247,1976-12-31,Intel,50863.0,added_ticker,INTC
441,1978-12-31,Textron,217346.0,added_ticker,TXT
471,1979-06-30,VF Corporation,103379.0,added_ticker,VFC
480,1979-12-31,Walgreens Boots Alliance,1618921.0,added_ticker,WBA
29,1980-03-31,American International Group,5272.0,added_ticker,AIG
357,1980-12-31,Paccar,75362.0,added_ticker,PCAR
189,1980-12-31,FedEx,1048911.0,added_ticker,FDX
53,1981-03-31,Automatic Data Processing,8670.0,added_ticker,ADP
302,1981-06-30,Masco,62996.0,added_ticker,MAS
218,1981-06-30,W. W. Grainger,277135.0,added_ticker,GWW
46,1981-07-29,ADM,7084.0,added_ticker,ADM
479,1982-08-31,Walmart,104169.0,added_ticker,WMT
421,1982-09-30,Stanley Black & Decker,93556.0,added_ticker,SWK
418,1982-09-30,Snap-on,91440.0,added_ticker,SNA
78,1982-10-31,Brown–Forman,14693.0,added_ticker,BF.B
43,1982-11-30,Apple,320193.0,added_ticker,AAPL
350,1982-12-31,Occidental Petroleum,797468.0,added_ticker,OXY
121,1983-08-31,Conagra Brands,23217.0,added_ticker,CAG
60,1983-09-30,"Bath & Body Works, Inc.",701985.0,added_ticker,BBWI
469,1983-11-30,Verizon Communications,732712.0,added_ticker,VZ
50,1983-11-30 (1957-03-04),AT&T,732717.0,added_ticker,T
292,1984-02-29,Lowe's,60667.0,added_ticker,LOW
386,1984-04-30,PulteGroup,822416.0,added_ticker,PHM
227,1984-05-31,Hess Corporation,4447.0,added_ticker,HES
290,1984-07-31,Lockheed Martin,936468.0,added_ticker,LMT
222,1984-09-30,Hasbro,46080.0,added_ticker,HAS
58,1984-10-31,Ball Corp,9389.0,added_ticker,BLL
11,1985-04-30,Air Products & Chemicals,2969.0,added_ticker,APD
345,1985-04-30,Nucor,73309.0,added_ticker,NUE
367,1985-05-31,PerkinElmer,31791.0,added_ticker,PKI
340,1985-06-30,Northrop Grumman,1133421.0,added_ticker,NOC
96,1985-07-31,CenterPoint Energy,1130310.0,added_ticker,CNP
443,1985-09-30,TJX Companies,109198.0,added_ticker,TJX
153,1985-10-31,Dover Corporation,29905.0,added_ticker,DOV
359,1985-11-30,Parker-Hannifin,76334.0,added_ticker,PH
243,1986-02-28,Illinois Tool Works,49826.0,added_ticker,ITW
205,1986-08-31,Gap,39911.0,added_ticker,GPS
307,1986-10-31,Medtronic,1613103.0,added_ticker,MDT
429,1986-12-31,Sysco,96021.0,added_ticker,SYY
300,1987-08-31,Marsh & McLennan,62709.0,added_ticker,MMC
56,1987-12-31,Avery Dennison,8818.0,added_ticker,AVY
231,1988-03-31,Home Depot,354950.0,added_ticker,HD
374,1988-04-30,PNC Financial Services,713676.0,added_ticker,PNC
110,1988-05-31,Citigroup,831001.0,added_ticker,C
336,1988-11-30,Nike,320187.0,added_ticker,NKE
163,1989-01-31,Ecolab,31462.0,added_ticker,ECL
