,name,cik,ticker
10,Agilent Technologies,1090872.0,A
26,American Airlines Group,6201.0,AAL
7,Advance Auto Parts,1158449.0,AAP
43,Apple,320193.0,AAPL
1,AbbVie,1551152.0,ABBV
33,AmerisourceBergen,1140859.0,ABC
2,Abiomed,815094.0,ABMD
0,Abbott Laboratories,1800.0,ABT
3,Accenture,1467373.0,ACN
5,Adobe,796343.0,ADBE
37,Analog Devices,6281.0,ADI
46,ADM,7084.0,ADM
53,Automatic Data Processing,8670.0,ADP
52,Autodesk,769397.0,ADSK
25,Ameren Corp,1002910.0,AEE
27,American Electric Power,4904.0,AEP
8,AES Corp,874761.0,AES
9,Aflac,4977.0,AFL
29,American International Group,5272.0,AIG
49,Assurant,1267238.0,AIZ
48,Arthur J. Gallagher & Co.,354190.0,AJG
12,Akamai Technologies,1086222.0,AKAM
14,Albemarle Corporation,915913.0,ALB
16,Align Technology,1097149.0,ALGN
13,Alaska Air Group,766421.0,ALK
19,Allstate Corp,899051.0,ALL
17,Allegion,1579241.0,ALLE
44,Applied Materials,6951.0,AMAT
24,Amcor,1748790.0,AMCR
6,Advanced Micro Devices,2488.0,AMD
34,Ametek,1037868.0,AME
35,Amgen,318154.0,AMGN
32,Ameriprise Financial,820027.0,AMP
30,American Tower,1053507.0,AMT
23,Amazon,1018724.0,AMZN
47,Arista Networks,1596532.0,ANET
38,Ansys,1013462.0,ANSS
39,Anthem,1156039.0,ANTM
40,Aon,315293.0,AON
41,A. O. Smith,91142.0,AOS
42,APA Corporation,6769.0,APA
11,Air Products & Chemicals,2969.0,APD
36,Amphenol Corp,820313.0,APH
45,Aptiv,1521332.0,APTV
15,Alexandria Real Estate Equities,1035443.0,ARE
51,Atmos Energy,731802.0,ATO
4,Activision Blizzard,718877.0,ATVI
55,AvalonBay Communities,915912.0,AVB
76,Broadcom,1730168.0,AVGO
56,Avery Dennison,8818.0,AVY
31,American Water Works,1410636.0,AWK
28,American Express,4962.0,AXP
54,AutoZone,866787.0,AZO
70,Boeing Company,12927.0,BA
59,Bank of America,70858.0,BAC
61,Baxter International,10456.0,BAX
60,"Bath & Body Works, Inc.",701985.0,BBWI
64,Best Buy,764478.0,BBY
62,Becton Dickinson,10795.0,BDX
203,Franklin Resources,38777.0,BEN
78,Brown–Forman,14693.0,BF.B
67,Biogen,875045.0,BIIB
65,Bio-Rad Laboratories,12208.0,BIO
69,BNY Mellon,1390777.0,BK
71,Booking Holdings,1075531.0,BKNG
57,Baker Hughes,1701605.0,BKR
68,BlackRock,1364742.0,BLK
58,Ball Corp,9389.0,BLL
75,Bristol-Myers Squibb,14272.0,BMY
77,Broadridge Financial Solutions,1383312.0,BR
63,Berkshire Hathaway,1067983.0,BRK.B
74,Boston Scientific,885725.0,BSX
72,BorgWarner,908255.0,BWA
73,Boston Properties,1037540.0,BXP
110,Citigroup,831001.0,C
121,Conagra Brands,23217.0,CAG
85,Cardinal Health,721371.0,CAH
88,Carrier Global,1783180.0,CARR
90,Caterpillar,18230.0,CAT
104,Chubb,896159.0,CB
91,Cboe Global Markets,1374310.0,CBOE
92,CBRE,1138118.0,CBRE
130,Crown Castle,1051470.0,CCI
87,Carnival Corporation,815097.0,CCL
81,Cadence Design Systems,813672.0,CDNS
93,CDW,1402057.0,CDW
94,Celanese,1306830.0,CE
97,Cerner,804753.0,CERN
98,CF Industries,1324404.0,CF
111,Citizens Financial Group,759944.0,CFG
105,Church & Dwight,313927.0,CHD
79,C. H. Robinson,1043277.0,CHRW
101,Charter Communications,1091667.0,CHTR
106,Cigna,1739940.0,CI
107,Cincinnati Financial,20286.0,CINF
118,Colgate-Palmolive,21665.0,CL
113,Clorox,21076.0,CLX
120,Comerica,28412.0,CMA
119,Comcast,1166691.0,CMCSA
114,CME Group,1156375.0,CME
103,Chipotle Mexican Grill,1058090.0,CMG
132,Cummins,26172.0,CMI
115,CMS Energy,811156.0,CMS
95,Centene Corporation,1071739.0,CNC
96,CenterPoint Energy,1130310.0,CNP
84,Capital One Financial,927628.0,COF
80,Cabot Oil & Gas,858470.0,COG
125,The Cooper Companies,711404.0,COO
122,ConocoPhillips,1163165.0,COP
129,Costco,909832.0,COST
83,Campbell Soup,16732.0,CPB
126,Copart,900075.0,CPRT
99,Charles River Laboratories,1100682.0,CRL
408,Salesforce,1108524.0,CRM
109,Cisco Systems,858877.0,CSCO
131,CSX,277948.0,CSX
108,Cintas Corporation,723254.0,CTAS
89,Catalent,1596783.0,CTLT
117,Cognizant Technology Solutions,1058290.0,CTSH
128,Corteva,1755672.0,CTVA
112,Citrix Systems,877890.0,CTXS
133,CVS Health,64803.0,CVS
102,Chevron Corporation,93410.0,CVX
82,Caesars Entertainment,1590895.0,CZR
151,Dominion Energy,715957.0,D
139,Delta Air Lines,27904.0,DAL
158,DuPont,1666700.0,DD
138,Deere & Co.,315189.0,DE
145,Discover Financial Services,1393612.0,DFS
149,Dollar General,29534.0,DG
391,Quest Diagnostics,1022079.0,DGX
134,D. R. Horton,882184.0,DHI
135,Danaher Corporation,313616.0,DHR
481,The Walt Disney Company,1744489.0,DIS
147,Discovery (Series C),1437107.0,DISCK
148,Dish Network,1001082.0,DISH
144,Digital Realty Trust,1297996.0,DLR
150,Dollar Tree,935703.0,DLTR
153,Dover Corporation,29905.0,DOV
154,Dow,1751788.0,DOW
152,Domino's Pizza,1286681.0,DPZ
157,Duke Realty Corp,783280.0,DRE
136,Darden Restaurants,940944.0,DRI
155,DTE Energy,936340.0,DTE
156,Duke Energy,1326160.0,DUK
137,DaVita,927066.0,DVA
141,Devon Energy,1090012.0,DVN
159,DXC Technology,1688568.0,DXC
142,DexCom,1093557.0,DXCM
166,Electronic Arts,712515.0,EA
162,eBay,1065088.0,EBAY
163,Ecolab,31462.0,ECL
123,Consolidated Edison,1047862.0,ED
171,Equifax,33185.0,EFX
164,Edison International,827052.0,EIX
175,Estée Lauder Companies,1001250.0,EL
160,Eastman Chemical,915389.0,EMN
167,Emerson Electric Company,32604.0,EMR
168,Enphase Energy,1463101.0,ENPH
170,EOG Resources,821189.0,EOG
172,Equinix,1101239.0,EQIX
173,Equity Residential,906107.0,EQR
178,Eversource Energy,72741.0,ES
174,Essex Property Trust,920522.0,ESS
161,Eaton Corporation,1551182.0,ETN
169,Entergy,65984.0,ETR
176,Etsy,1370637.0,ETSY
177,Evergy,1711269.0,EVRG
165,Edwards Lifesciences,1099800.0,EW
180,Exelon,1109357.0,EXC
182,Expeditors,746515.0,EXPD
181,Expedia Group,1324424.0,EXPE
183,Extra Space Storage,1289490.0,EXR
197,Ford,37996.0,F
143,Diamondback Energy,1539838.0,FANG
187,Fastenal,815556.0,FAST
186,Facebook,1326801.0,FB
200,Fortune Brands Home & Security,1519751.0,FBHS
204,Freeport-McMoRan,831259.0,FCX
189,FedEx,1048911.0,FDX
192,FirstEnergy,1031296.0,FE
185,F5 Networks,1048695.0,FFIV
