,VOX,VCR,VDC,VDE,VFH,VHT,VIS,VGT,VAW,VNQ,VPU,SPTM,SPY,SLY,MDYG,CONSUMER,WPUSI019011,WPU101,GVZCLS,UNRATE,VIXCLS,BUSLOANS,AWHAETP,UMCSENT,TDSP,DCOILWTICO,CPIAUCSL,CSUSHPINSA,FEDFUNDS,T10Y3M,USREC,USALOLITONOSTSAM,USPHCI,INDPRO,NEWORDER,PCE,AUDUSD=X,BRLUSD=X,BZ=F,CC=F,CL=F,CNYUSD=X,CT=F,EURUSD=X,GBPUSD=X,GC=F,GE=F,GF=F,HE=F,HG=F,HO=F,JPY=X,KC=F,KE=F,LBS=F,LE=F,MXNUSD=X,NG=F,NQ=F,PA=F,PL=F,RB=F,SB=F,SI=F,USD,UUP,YM=F,ZAR=X,ZB=F,ZC=F,ZF=F,ZL=F,ZM=F,ZN=F,ZO=F,ZR=F,ZS=F,ZT=F,ZW=F,^GSPC,^IRX,^RUT
2017-04-21,89.71212005615234,131.39334106445312,126.80447387695312,79.84127807617188,53.96269607543945,128.10122680664062,115.93447875976562,129.2578125,109.41726684570312,71.83982849121094,99.38047790527344,27.137035369873047,217.08987426757812,56.39791488647461,44.02802658081055,,,,,,,,,,,,,,,,,,,,,,0.751908004283905,0.317752867937088,51.959999084472656,1859.0,49.619998931884766,0.14531293511390686,78.98999786376953,1.0714898109436035,1.2801966667175293,1287.4000244140625,98.80500030517578,138.5500030517578,63.025001525878906,2.5364999771118164,1.5533000230789185,109.375,129.85000610351562,404.5,398.5,129.8000030517578,0.053199976682662964,3.1010000705718994,5442.0,790.5999755859375,974.5,1.6445000171661377,16.40999984741211,17.829999923706055,6.151144504547119,25.01063346862793,20503.0,13.131400108337402,154.15625,357.0,118.671875,31.940000534057617,309.6000061035156,126.0625,217.5,977.0,951.0,108.4375,405.0,2348.68994140625,0.7630000114440918,1379.8499755859375
2017-04-28,89.94403839111328,133.93263244628906,127.31494903564453,79.90122985839844,54.72811508178711,131.4982147216797,117.57644653320312,132.4937744140625,111.09892272949219,69.88977813720703,99.32791900634766,27.50943374633789,220.31956481933594,56.89076614379883,44.57582092285156,,,,,,,,,,,,,,,,,,,,,,0.746720016002655,0.3143566846847534,51.72999954223633,1844.0,49.33000183105469,0.1449926793575287,80.2300033569336,1.0864251852035522,1.2893576622009277,1266.0999755859375,98.79750061035156,149.5500030517578,66.9749984741211,2.5964999198913574,1.503999948501587,111.22599792480469,131.0500030517578,424.75,379.79998779296875,138.0,0.05316564440727234,3.2760000228881836,5580.5,826.5499877929688,946.2999877929688,1.5479999780654907,16.040000915527344,17.19099998474121,6.268387317657471,24.778066635131836,20874.0,13.33899974822998,152.96875,358.0,118.40625,31.450000762939453,311.70001220703125,125.71875,237.5,913.0,945.25,108.3046875,418.5,2384.199951171875,0.7799999713897705,1400.4300537109375
2017-05-05,87.09589385986328,133.99871826171875,127.11795806884766,79.25911712646484,55.32041549682617,132.1551055908203,118.41607666015625,134.51748657226562,111.28372955322266,69.5605697631836,99.41553497314453,27.70412826538086,221.81871032714844,56.895408630371094,44.8465690612793,,,,,,,,,,,,,,,,,,,,,,0.7412348985671997,0.3139815926551819,49.099998474121094,1866.0,46.220001220703125,0.14502422511577606,79.76000213623047,1.098152995109558,1.2924906015396118,1224.800048828125,98.79499816894531,143.77499389648438,69.4000015258789,2.5195000171661377,1.4365999698638916,112.53700256347656,133.10000610351562,438.0,383.0,128.3000030517578,0.05277972295880318,3.2660000324249268,5648.25,812.9000244140625,907.7000122070312,1.5046000480651855,15.3100004196167,16.21500015258789,6.391329288482666,24.661787033081055,20954.0,13.632499694824219,151.8125,361.75,118.109375,32.709999084472656,312.29998779296875,125.21875,254.0,962.0,963.0,108.2109375,427.5,2399.2900390625,0.8679999709129333,1397.0
2017-05-12,86.33514404296875,133.43234252929688,126.52685546875,79.77278900146484,54.545875549316406,131.05714416503906,116.84877014160156,135.96839904785156,109.76837921142578,68.61506652832031,99.35420989990234,27.54033851623535,221.15240478515625,56.18868637084961,44.40582275390625,,,,,,,,,,,,,,,,,,,,,,0.7378984093666077,0.3185727894306183,50.84000015258789,2045.0,47.84000015258789,0.14484986662864685,82.18000030517578,1.0864958763122559,1.2891582250595093,1226.199951171875,98.82250213623047,144.5500030517578,71.9000015258789,2.5179998874664307,1.493299961090088,113.80899810791016,132.60000610351562,429.0,374.79998779296875,125.17500305175781,0.05324244126677513,3.4240000247955322,5689.0,803.3499755859375,915.0,1.5760999917984009,15.510000228881836,16.34600067138672,6.749568462371826,24.816829681396484,20848.0,13.355799674987793,151.4375,361.75,118.296875,32.630001068115234,309.70001220703125,125.46875,247.0,1023.0,954.0,108.2890625,425.0,2390.89990234375,0.8550000190734863,1382.77001953125
2017-05-19,86.07539367675781,132.19570922851562,127.18063354492188,80.20941162109375,53.98092269897461,130.49412536621094,116.55956268310547,135.09976196289062,109.43576049804688,69.38327026367188,99.93240356445312,27.495525360107422,220.53237915039062,55.53776931762695,44.3082160949707,,,,,,,,,,,,,,,,,,,,,,0.742225170135498,0.29682397842407227,53.61000061035156,2028.0,50.33000183105469,0.1451568454504013,79.44999694824219,1.1113580465316772,1.2958402633666992,1252.699951171875,98.75,143.35000610351562,79.5,2.5739998817443848,1.5827000141143799,111.4010009765625,132.10000610351562,438.0,363.0,123.44999694824219,0.053452521562576294,3.25600004196167,5653.25,760.5499877929688,937.7000122070312,1.6523000001907349,16.3799991607666,16.75,6.926246643066406,24.31293487548828,20787.0,13.409250259399414,153.84375,372.5,118.6484375,33.040000915527344,307.0,126.1875,241.75,1083.0,953.0,108.34375,435.25,2381.72998046875,0.8880000114440918,1367.3299560546875
2017-05-26,86.52997589111328,134.50845336914062,129.94796752929688,78.17184448242188,54.646114349365234,131.98617553710938,118.36943817138672,138.37391662597656,110.49834442138672,69.78004455566406,102.56060028076172,27.82311248779297,223.67877197265625,56.025962829589844,44.86860656738281,,,,,,,,,,,,,,,,,,,,,,0.7456009387969971,0.3054834306240082,52.150001525878906,1911.0,49.79999923706055,0.14560915529727936,77.08999633789062,1.121076226234436,1.293326497077942,1267.5999755859375,98.74500274658203,146.9499969482422,81.82499694824219,2.559499979019165,1.5633000135421753,111.7300033569336,131.1999969482422,437.5,354.20001220703125,122.69999694824219,0.05410230904817581,3.2360000610351562,5792.25,786.9500122070312,959.7999877929688,1.6426000595092773,15.050000190734863,17.283000946044922,7.289371490478516,24.390457153320312,21066.0,12.916099548339844,153.90625,374.25,118.625,31.600000381469727,301.79998779296875,126.1875,244.25,1097.5,926.5,108.3125,438.25,2415.820068359375,0.9100000262260437,1382.239990234375
2017-06-02,88.77511596679688,136.92506408691406,131.63160705566406,76.27982330322266,54.38186264038086,134.83897399902344,120.03935241699219,140.28305053710938,112.09681701660156,70.46382141113281,104.32147216796875,28.198596954345703,225.95523071289062,57.01164627075195,45.536033630371094,,,,,,,,,,,,,,,,,,,,,,0.7379528880119324,0.3077870011329651,49.95000076293945,2001.0,47.65999984741211,0.14687307178974152,76.69000244140625,1.1215791702270508,1.2888258695602417,1276.800048828125,98.73500061035156,158.72500610351562,81.2249984741211,2.571500062942505,1.4847999811172485,111.43699645996094,125.55000305175781,433.25,353.5,130.8249969482422,0.0535733699798584,2.999000072479248,5886.0,837.9500122070312,951.7000122070312,1.5771000385284424,13.739999771118164,17.48699951171875,7.509200096130371,24.216032028198242,21203.0,12.88739013671875,156.15625,372.75,118.953125,31.010000228881836,301.8999938964844,126.890625,246.0,1112.0,921.25,108.3359375,429.5,2439.070068359375,0.953000009059906,1405.3900146484375
2017-06-09,88.32978820800781,134.583984375,130.3330535888672,77.70098114013672,56.35920333862305,134.9609832763672,119.6568603515625,137.1615753173828,113.65834045410156,70.63265228271484,103.27021026611328,28.050260543823242,225.251953125,57.83460235595703,45.54862976074219,,,,,,,,,,,,,,,,,,,,,,0.7528306245803833,0.30678611993789673,48.150001525878906,2020.0,45.83000183105469,0.14707612991333008,75.69000244140625,1.1184805631637573,1.2722970247268677,1268.5,98.7300033569336,154.1750030517578,82.4749984741211,2.6459999084472656,1.4312000274658203,109.85900115966797,126.55000305175781,451.5,364.3999938964844,131.25,0.05506152659654617,3.0390000343322754,5740.5,864.5999755859375,939.0999755859375,1.5017000436782837,14.270000457763672,17.19300079345703,7.218536376953125,24.371074676513672,21251.0,12.917169570922852,155.53125,387.75,118.7421875,32.290000915527344,305.8999938964844,126.65625,252.25,1132.0,941.5,108.28125,445.75,2431.77001953125,0.9800000190734863,1421.7099609375
2017-06-16,88.64522552490234,134.6028594970703,129.49119567871094,77.65817260742188,56.523231506347656,135.72103881835938,121.18685913085938,135.65342712402344,112.43869018554688,71.70478057861328,104.93473052978516,28.075716018676758,225.63436889648438,57.170352935791016,45.507728576660156,,,,,,,,,,,,,,,,,,,,,,0.7585526704788208,0.30547407269477844,47.369998931884766,1975.0,44.7400016784668,0.14687523245811462,71.87999725341797,1.1146905422210693,1.275835633277893,1254.0,98.72250366210938,147.875,82.32499694824219,2.5625,1.4270000457763672,110.9520034790039,123.55000305175781,473.5,363.3999938964844,121.69999694824219,0.05586910620331764,3.0369999408721924,5702.0,888.6500244140625,925.9000244140625,1.454800009727478,13.4399995803833,16.63599967956543,7.0044074058532715,24.342004776000977,21360.109375,12.868599891662598,156.875,384.0,118.859375,33.11000061035156,300.8999938964844,126.921875,269.25,1140.0,939.0,108.3046875,465.25,2433.14990234375,0.9850000143051147,1406.72998046875
2017-06-23,86.39080810546875,134.15914916992188,128.38967895507812,75.51109313964844,55.484432220458984,141.14501953125,119.84346771240234,138.7366485595703,112.39248657226562,71.7164077758789,103.0599365234375,28.204547882080078,226.09007263183594,57.25429916381836,45.30569076538086,,,,,,,,,,,,,,,,,,,,,,0.7541478276252747,0.2994281053543091,45.540000915527344,1843.0,43.0099983215332,0.146314337849617,72.6500015258789,1.1149640083312988,1.267812728881836,1256.199951171875,98.69249725341797,144.9499969482422,85.30000305175781,2.622999906539917,1.3717000484466553,111.29000091552734,119.94999694824219,464.25,363.70001220703125,119.19999694824219,0.05557633191347122,2.928999900817871,5812.25,874.5499877929688,928.5,1.4341000318527222,12.970000267028809,16.628000259399414,7.152931213378906,24.371074676513672,21339.0,12.962300300598145,156.625,357.75,118.8203125,31.610000610351562,293.6000061035156,126.734375,254.5,1125.5,904.5,108.296875,459.75,2438.300048828125,0.9330000281333923,1414.780029296875
