,SYMBOL,exp_return,discounted_return,qtr_return,sell_date,stop_loss_price,days_delta,disc_rtn,qtr_rtn,outer_cv_avg_abs_err_n11,outer_cv_std_n11,mean_revert_flag,yhat_upper,yhat_lower,90dSMA,90d_lower,90d_upper,21dBOLU,90dSDev,21dBOLD,21dMA-TP,Adj Close,Date,Index Symbol,MIN_Lookback_1_Months,MIN_Lookback_2_Months,MIN_Lookback_One_Year,Market Index,Sector,Sector Symbol,adf,hurst,risk_per_share,risk_trend_factor,sector_risk_trend_factor,volume_factor,outer_cv_avg_abs_err_n11_ratio,outer_cv_std_n11_ratio
CEIX,CEIX,0.3314635949763004,0.003413894878655954,1.3682648861488274,2022-10-07,55.167007940364684,84,0.003413894878655954,1.3682648861488274,45.338959127413105,59.961880045332414,False,101.49729392939047,55.54976516019002,50.24547605665903,42.99046530301078,57.50048681030728,56.25885248478616,3.627505376824125,43.98744871208419,50.123150598435174,55.88999938964844,2022-07-14,SLY,59.380001068115234,55.2599983215332,19.979999542236328,SP600,Energy,VDE,0.9260280606418289,0.520059799698375,19.18000030517578,1.7231490464649213,-1.114741987155641,1.8940005028832188,0.8112177423965132,1.0728552639139615
CYTK,CYTK,0.3255823820832559,0.004034572727846353,1.448362953632182,2022-09-23,45.249125697889404,70,0.004034572727846353,1.448362953632182,45.610840641592006,51.451196558878394,False,73.44982467772684,44.48420804260433,40.76492084018768,33.915280777807105,47.61456090256825,49.20800344666027,3.424820031190287,38.88556814055411,44.04678579360719,43.16999816894531,2022-07-14,SLY,47.900001525878906,47.900001525878906,30.139999389648438,SP600,Healthcare,VHT,0.9938512407079146,0.34714979327969886,12.599998474121094,0.2833327379175505,-3.0195249679197076,1.7310178405626484,1.0565402496218435,1.1918276289362975
VG,VG,0.28497751028159335,0.007189757843553357,1.9330347891826527,2022-08-19,21.270111476445013,35,0.007189757843553357,1.9330347891826527,8.6954565586123,7.27280036757633,False,31.72800530170076,19.86064315263504,18.961626938411168,16.784015322663663,21.139238554158673,20.622709865719276,1.0888058078737521,15.678877451005715,18.150793658362495,19.649999618530273,2022-07-14,SLY,20.920000076293945,20.920000076293945,15.720000267028809,SP600,Communication Services,VOX,0.7561895353882783,0.4979670251039339,4.399999618530273,0.31590876283721603,-11.953640805625074,1.27367959858701,0.4425168818024984,0.3701170742373939
OPCH,OPCH,0.2841224375627218,0.0029815258985206317,1.3150731307232444,2022-10-07,28.075254811585566,84,0.0029815258985206317,1.3150731307232444,17.385790359726403,16.420423134184162,False,49.52291102230134,28.88305830472958,28.52603166065519,26.01266219531132,31.039401125999056,30.464827099149886,1.2566847326719328,25.57176028296992,28.018293691059903,29.329999923706055,2022-07-14,MDYG,31.079999923706055,30.700000762939453,22.690000534057617,SP400,Healthcare,VHT,0.7962025243366371,0.3783589055906619,5.539999008178711,0.6353789134652296,-3.0195249679197076,1.1921089787300596,0.5927647598005716,0.5598507731639067
BJ,BJ,0.21963913680389321,0.003551918620575467,1.3856890734480172,2022-09-09,68.52745977875918,56,0.003551918620575467,1.3856890734480172,78.59839721854053,81.61558104456185,False,98.25722704620361,73.83848212430206,62.62035724094936,53.8633613552078,71.37735312669092,70.56410650548436,4.378497942870778,56.57344941918856,63.56877796233646,70.16000366210938,2022-07-14,MDYG,74.08999633789062,74.08999633789062,50.18000030517578,SP400,Consumer Defensive,VDC,0.9731906261726838,0.3768209226127055,18.869998931884766,0.6422903387075352,-2.4882150010950523,1.4734513138146415,1.12027356208632,1.1632778903151508
EXLS,EXLS,0.1910362555375287,0.002083402167465165,1.2110328739555414,2022-10-07,143.69251723037502,84,0.002083402167465165,1.2110328739555414,177.34381666881575,198.00248884784398,False,190.2393759763268,151.62129596450384,141.57948503040132,127.42373038038646,155.73523968041619,156.64271411735382,7.07787732500743,132.5859364147177,144.61432526603576,142.25,2022-07-14,SLY,154.97999572753906,154.97999572753906,109.8499984741211,SP600,error,error,0.9751300819477199,0.3739561247759913,29.979995727539062,0.23148802734570834,error,1.3424732225862432,1.2467052138405326,1.3919331377704323
ROG,ROG,0.18057270819021456,0.002638389784180628,1.2743193738313292,2022-09-16,280.0619958422246,63,0.002638389784180628,1.2743193738313292,1050.8752311725382,806.3445312283837,False,375.25042005394823,260.57957264951585,264.30813465421164,252.2851789437277,276.3310903646956,263.77751609780853,6.0114778552419805,256.36637234542684,260.0719442216177,263.2900085449219,2022-07-14,SLY,274.510009765625,274.510009765625,206.1300048828125,SP600,Technology,VGT,0.7340771230207649,0.4794830548747617,15.17999267578125,2.287221210330145,-6.166308229659177,1.0274636568397881,3.9913221051578205,3.062571708226472
SCI,SCI,0.15171904000235367,0.0040440306455771236,1.4496186893681846,2022-08-19,67.00411321927768,35,0.0040440306455771236,1.4496186893681846,24.544953315778844,28.468975471480764,False,86.82102629056304,71.71759966270382,68.48293701050774,64.35224414959015,72.61362987142533,72.16867068462562,2.065346430458795,63.737281920364545,67.95297630249509,68.69000244140625,2022-07-14,MDYG,72.06999969482422,72.06999969482422,56.86000061035156,SP400,Consumer Cyclical,VCR,0.8726619068998855,0.3626461332874696,8.630001068115234,0.5874862916240663,-8.056900017144713,1.0414928100403869,0.35732934114707754,0.41445588090880164
CSL,CSL,0.13083594270285898,0.001953606307567135,1.1966864503786607,2022-09-16,249.12120762209406,63,0.001953606307567135,1.1966864503786607,390.5899974879161,305.7870972423957,False,315.01076807135485,253.67234836470624,249.69969334678044,230.65239063406932,268.74699605949155,255.4028969258226,9.523651356355554,229.60122972890835,242.50206332736548,250.35000610351562,2022-07-14,MDYG,275.1300048828125,275.1300048828125,197.2100067138672,SP400,Industrials,VIS,0.9720806882521285,0.4426667092148564,43.02998352050781,0.08319784341419703,-5.554050640692836,1.1317976506893397,1.5601757058732146,1.2214383454656588
AZO,AZO,0.1232905816232724,0.0013850344310528673,1.1357974533726904,2022-10-07,2139.3978989965976,84,0.0013850344310528673,1.1357974533726904,29412.284392097943,23231.903560062947,False,2808.5173140578313,2115.9155504338687,2064.6145712231832,1854.1607062506018,2275.0684361957647,2246.688097381345,105.22693248629076,1981.1255128772125,2113.906805129279,2175.340087890625,2022-07-14,SPY,2267.39990234375,2267.39990234375,1612.3299560546875,SP500,Consumer Cyclical,VCR,0.9879832233825439,0.3937671740863575,506.8399658203125,0.7475545112478634,-8.056900017144713,0.9221551627253396,13.520775236858862,10.679665073699057
RGP,RGP,0.11854704549931133,0.0013345869398930787,1.1305453644069765,2022-10-07,18.39147293922489,84,0.0013345869398930787,1.1305453644069765,4.186008777972466,4.705484134829527,False,24.864758932028924,18.776328579264256,18.25144172093225,15.481020309079735,21.021863132784762,21.81643166191639,1.385210705926257,17.503806390936177,19.660119026426283,19.43000030517578,2022-07-14,SLY,20.15999984741211,20.15999984741211,15.449999809265137,SP600,Industrials,VIS,0.6583623468961042,0.37487287033931616,5.490001678466797,0.4590165101992744,-5.554050640692836,1.8854551373982598,0.21544048956383152,0.24217622547211573
NOC,NOC,0.11049425532123262,0.0012484595261692544,1.1216340980259203,2022-10-07,451.10032571829294,84,0.0012484595261692544,1.1216340980259203,1386.9097003262968,2096.249091531697,False,557.6364378937765,466.3106402942281,461.0474595569429,436.6736135164409,485.42130559744487,486.0882839644396,12.186923020250989,444.7530638661966,465.4206739153181,458.989990234375,2022-07-14,SPY,492.29998779296875,490.82000732421875,379.0299987792969,SP500,Industrials,VIS,0.806051417243451,0.4239725415983114,56.22998046875,0.26356005609635375,-5.554050640692836,0.8497068678473412,3.0216556566257498,4.567091082882407
PWR,PWR,0.10705186865993947,0.0014539203157402092,1.1430081607144698,2022-09-23,112.89556181753741,70,0.0014539203157402092,1.1430081607144698,223.9642493647342,202.31431364591657,False,162.13337023189615,124.27369064722343,122.08741917685857,107.11225542584732,137.06258292786984,133.6906910966581,7.4875818755056285,114.26602934634089,123.97836022149949,128.0399932861328,2022-07-14,SPY,140.0399932861328,140.0399932861328,101.95999908447266,SP500,Industrials,VIS,0.985965461544223,0.42626650718749476,29.210006713867188,0.07120827537066939,-5.554050640692836,1.068314599269026,1.7491741729807662,1.5800868810872386
HSY,HSY,0.10561015679612273,0.001195921218806184,1.1162323197002624,2022-10-07,212.77220256195227,84,0.001195921218806184,1.1162323197002624,184.6283465130697,97.22142013428332,False,260.6598675209382,221.86887420554496,217.5407934037466,203.2329021862867,231.84868462120647,226.92805573717362,7.1539456087299405,205.79504035347622,216.36154804532492,217.8699951171875,2022-07-14,SPY,231.60000610351562,231.60000610351562,180.5800018310547,SP500,Consumer Defensive,VDC,0.9864502271984033,0.44507685862902935,23.669998168945312,0.4152924408069173,-2.4882150010950523,1.1672561154138816,0.847424384499399,0.44623593112025384
LRN,LRN,0.09885662850854705,0.006756308035040126,1.8579801472794728,2022-07-29,35.28079456608003,14,0.006756308035040126,1.8579801472794728,66.33795042849117,79.81413239518147,False,56.6022233207881,34.6042059475759,37.80960314614432,33.38872366366729,42.230482628621345,43.99426238682902,2.210439741238514,32.622007375724834,38.30813488127693,40.29999923706055,2022-07-14,SLY,41.84000015258789,41.20000076293945,35.86000061035156,SP600,Consumer Defensive,VDC,0.24561887870281968,0.495662762558423,9.010002136230469,0.22197510667178116,-2.4882150010950523,1.656586003635764,1.6461030194632285,1.9804996006496962
MCK,MCK,0.09800669571872948,0.0011136725443452455,1.107827471039075,2022-10-07,317.5623614946619,84,0.0011136725443452455,1.107827471039075,443.59426354990643,663.4422813724516,False,397.3284895686387,323.6200196435782,320.91172935849147,303.773926865626,338.04953185135696,337.24222350809464,8.56890124643273,300.6733333844214,318.95777844625803,326.489990234375,2022-07-14,SPY,339.94000244140625,339.94000244140625,204.66000366210938,SP500,Healthcare,VHT,0.9987789709869666,0.46077178035767963,40.139984130859375,2.3649725881486225,-3.0195249679197076,1.167083127988134,1.3586764581403143,2.032044783045848
GO,GO,0.08501691913412794,0.0038930621915713726,1.4297024602319015,2022-08-05,42.9608795779793,21,0.0038930621915713726,1.4297024602319015,38.64252718268583,35.87194005446881,False,55.08189673386859,43.037850139173294,37.92115099467929,30.001263631201468,45.84103835815711,45.671151829473054,3.959943681738909,39.33572140728911,42.50343661838108,44.88999938964844,2022-07-14,MDYG,39.5,37.81999969482422,36.77000045776367,SP400,Consumer Defensive,VDC,0.270744014542481,0.42332301914696135,10.830001831054688,1.9002765038640095,-2.4882150010950523,1.3560996574967072,0.8608270819356869,0.7991076084251589
PEP,PEP,0.0742380038469133,0.0012795961391254274,1.1248476341139513,2022-09-09,173.01277847150945,56,0.0012795961391254274,1.1248476341139513,71.6661279379275,79.66882254847759,False,194.6263585456603,173.30791404822187,167.38191665165007,157.84596954535365,176.9178637579465,175.24803608857084,4.767973553148208,155.90656862644343,165.57730235750714,170.97999572753906,2022-07-14,SPY,177.6199951171875,177.6199951171875,156.83999633789062,SP500,Consumer Defensive,VDC,0.9091878030937579,0.33030483343380956,19.009994506835938,0.045239392891055746,-2.4882150010950523,1.0914381519270482,0.41914919715011156,0.4659540562594929
ACC,ACC,0.06901669726784085,0.001192482790039806,1.115879692735973,2022-09-09,60.928235158293276,56,0.001192482790039806,1.115879692735973,35.81711907522092,38.35408407090996,False,78.01492650593251,61.9746249955214,64.45777781047518,61.970109426532346,66.94544619441801,65.1186885111364,1.243834191971416,64.06536045940398,64.59202448527019,64.86000061035156,2022-07-14,MDYG,65.22000122070312,65.0199966430664,50.95000076293945,SP400,error,error,0.9781537053802183,0.43105303227403624,1.3800010681152344,9.702893362708322,error,1.5538678819501817,0.5522219971965983,0.5913364740978542
MUSA,MUSA,0.06133675147965287,0.0007089321251532166,1.067371033951697,2022-10-07,232.40177798550715,84,0.0007089321251532166,1.067371033951697,404.45714360903963,459.1598779063808,False,326.1059653460807,253.69473355348015,241.3805944049169,220.47428240984246,262.2869063999913,268.46852140864377,10.45315599753722,211.60964948882497,240.03908544873437,269.3399963378906,2022-07-14,MDYG,262.5799865722656,259.8599853515625,159.0,SP400,Consumer Cyclical,VCR,0.9985180449209489,0.4136097882627499,52.46998596191406,2.4124271194149602,-8.056900017144713,1.421214909001477,1.501660165991993,1.7047593530459495
CNC,CNC,0.04601791122225707,0.0064479115725861735,1.8063415743250715,2022-07-22,85.23242642818487,7,0.0064479115725861735,1.8063415743250715,107.7257767713275,115.21273976191652,False,99.8603076004194,79.88139748635774,82.96658739967951,76.85836499604596,89.07480980331306,89.94297837782221,3.054111201816772,76.7679749259236,83.3554766518729,85.76000213623047,2022-07-14,SPY,89.91999816894531,89.91999816894531,75.58999633789062,SP500,Healthcare,VHT,0.46744730592229555,0.3919246070315376,13.909996032714844,0.13299886847984133,-3.0195249679197076,0.940040172243104,1.2561307612866452,1.3434320999537772
PSB,PSB,0.04291542199425443,0.0005003642075904757,1.0470974407521634,2022-10-07,177.07941684811942,84,0.0005003642075904757,1.0470974407521634,335.2208183319997,228.0901563829469,False,215.24648986962515,176.883374270986,185.07793711102198,173.4347314023078,196.72114281973617,187.79834689406817,5.821602854357094,185.78935142174907,186.79384915790862,187.07000732421875,2022-07-14,MDYG,189.8300018310547,189.8300018310547,165.85000610351562,SP400,error,error,0.8339804581811023,0.48176110652520165,2.8199920654296875,5.567395880115361,error,2.2764598693472906,1.7919538419165968,1.2192769949895519
SJI,SJI,0.0346386601483156,0.0004054660497514462,1.0379995135435327,2022-10-07,31.66395320221273,84,0.0004054660497514462,1.0379995135435327,18.882605894510437,13.40716386064665,False,40.40738999378383,30.26201988259964,33.980238793388246,33.30247961608276,34.65799797069373,34.38963383130721,0.33887958865274015,33.64750908880842,34.018571460057814,33.790000915527344,2022-07-14,SLY,35.31999969482422,35.31999969482422,29.239999771118164,SP600,Utilities,VPU,0.20297799615091527,0.42667927080044277,1.6199989318847656,0.9197559063090895,-1.26726223190621,0.8266153949311107,0.5588222960311733,0.3967790321806628
DLTR,DLTR,0.027101274182080092,0.0003183904106096591,1.0297203449643857,2022-10-07,147.79666157178093,84,0.0003183904106096591,1.0297203449643857,423.4010972933951,340.4744171182836,False,200.98354688221508,151.22976057878296,158.94265916612414,137.9245662873832,179.9607520448651,170.5142532687617,10.509046439370476,147.23209697421635,158.87317512148903,168.75999450683594,2022-07-14,SPY,177.19000244140625,177.19000244140625,120.37000274658203,SP500,Consumer Defensive,VDC,0.7453587932983488,0.433759354889378,45.43000030517578,0.694034243436294,-2.4882150010950523,0.8479220236826441,2.5088949459301175,2.0175066852380827
LLY,LLY,0.02063329757075592,0.0002431642572704451,1.022620440463395,2022-10-07,291.0024008606845,84,0.0002431642572704451,1.022620440463395,803.2778802089761,773.5430374466725,False,379.43106242264054,297.36278475440236,303.31610712929375,273.25031108176125,333.38190317682626,344.4988819124289,15.032898023766244,287.46936890718604,315.98412540980746,326.8900146484375,2022-07-14,SPY,324.0799865722656,314.0,239.3699951171875,SP500,Healthcare,VHT,0.9949149749594108,0.408870177467509,51.410003662109375,2.0077816553811196,-3.0195249679197076,0.8879145170881578,2.4573337948939264,2.3663709589863116
MRK,MRK,0.019411611660025637,0.00022890249822427045,1.0212798748385643,2022-10-07,86.98068680831065,84,0.00022890249822427045,1.0212798748385643,38.12120526502001,37.26120158303494,False,103.12586463521227,88.69849145510386,89.28399600679913,82.72786255927218,95.84012945432607,97.54105113188263,3.2780667237634717,84.34490098506848,90.94297605847555,93.87999725341797,2022-07-14,SPY,94.91999816894531,92.87000274658203,81.67938995361328,SP500,Healthcare,VHT,0.8314700058215956,0.3427617003749171,12.669998168945312,0.9605842659822892,-3.0195249679197076,1.0921945748185402,0.40606312718689497,0.39690245710652
BANF,BANF,0.01595328572413674,0.0001884388176169871,1.0174858565111753,2022-10-07,72.92903642173047,84,0.0001884388176169871,1.0174858565111753,299.45588911236206,220.22955038911925,False,107.25424437926088,74.40777913710777,89.26472215803842,77.65205717452818,100.87738714154867,100.42695595753345,5.806332491755121,90.09447252912408,95.26071424332876,88.25,2022-07-14,SLY,96.98999786376953,86.81999969482422,77.37999725341797,SP600,error,error,0.8322230002170474,0.5355864479090029,20.230003356933594,0.17597650011106555,error,1.588770760193912,3.393267865295887,2.495518984579255
