,Date,buy_volume_pct,sell_volume_pct,daily_buy_vol,daily_sell_vol,net_daily_vol,20td_trend_vol,20td_tot_daily_vol,20td_trend_vol_factor,20td_tvf_rng_div_2,20td_tvf_vel,50td_trend_vol,50td_tot_daily_vol,50td_trend_vol_factor,50td_tvf_rng_div_4,50td_tvf_vel,MIN_Lookback_One_Year,MIN_Lookback_2_Months,MIN_Lookback_1_Months,risk_trend_factor,risk_per_share,volume_factor,Adj Close,50tdBOLD,50tdMA-TP,50tdBOLU,200tdSMA,200tdSDev,adf_50td,tau_50td,tau_50td_p,hurst_50td,sector_50td_tvf_vel,sector_20td_tvf_vel,sector_risk_trend_factor,Sector,Sector Symbol,Market Index,Index Symbol,shortName,beta,currentRatio,debtToEquity,dividendRate,dividendYield,earningsGrowth,earningsQuarterlyGrowth,ebitda,ebitdaMargins,exDividendDate,forwardEPS,forwardPE,freeCashflow,grossMargins,grossProfits,heldPercentInstitutions,industry,lastDividendDate,lastDividendValue,lastSplitDate,lastSplitFactor,marketCap,operatingCashflow,operatingMargins,payoutRatio,pegRatio,priceToBook,priceToSalesTrailing12Months,profitMargins,quickRatio,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,sharesOutstanding,shortRatio,totalAssets,totalCash,totalCashPerShare,totalDebt,totalRevenue,trailingEPS,trailingAnnualDividendRate,trailingAnnualDividendYield,trailingPE
MEDP,2022-08-02 00:00:00,0.3304949428621369,-0.6695050571378631,120961.1490875421,-245038.8509124579,-124077.70182491581,1968277.8242150643,6754600.0,0.2913981322676493,0.05581697442857936,5.220600637186237,1968277.8242150643,6754600.0,0.2913981322676493,0.02790848721428968,10.441201274372474,196.1199951171875,231.0,231.0,-4.3590071167332445,39.08000183105469,1.2778869189728057,162.58999633789062,128.86038598705667,148.44275278727216,168.02511958748764,170.8321996307373,29.949573330987217,0.43778275872247013,0.6244897959183674,1.5627888713802975e-10,,1.7333898399192451,0.8666949199596226,-6.595012920816061,Healthcare,VHT,SP400,MDYG,"Medpace Holdings, Inc.",1.430395,0.374,142.434,,,0.377,0.236,254459008,0.19783,,error,25.405817,226388624,0.61981,701287000,0.91322,Diagnostics & Research,,,,,5142667776,286121984,0.18115,0,1.85,18.101473,3.9981153,0.1627,0.305,0.10457,0.36873,0.262,36.965,30998600,7.86,,42551000,1.373,403447008,1286273024,error,0,0,31.965317
LIN,2022-08-02 00:00:00,0.37916915682260344,-0.6208308431773966,541491.4728583599,-886608.5271416401,-345117.05428328016,12948883.098815503,40703700.0,0.3181254553963277,0.0857113949474623,3.711588821898489,12948883.098815503,40703700.0,0.3181254553963277,0.04285569747373115,7.423177643796978,310.19000244140625,352.17999267578125,352.17999267578125,-1.6691361602543593,72.8699951171875,1.1270381002015362,297.6400146484375,259.9365123602536,298.1531052652995,336.3696981703454,310.8606591796875,18.23462340698296,0.6694093476468155,-0.4595918367346939,2.484288818976037e-06,,1.5232661892660646,0.7616330946330323,-3.4296415406415335,Basic Materials,VAW,SP500,SPY,Linde plc,0.896551,0.737,39.091,4.68,0.0156,-0.538,-0.558,10552000512,0.32334,1661990400,error,23.966454,6205624832,0.41676998,13250000000,0.82228994,Specialty Chemicals,1654128000,1.17,1071532800,2:1,149539700736,9921999872,0.18541999,0.6464,,3.7692192,4.5823283,0.10880999,0.558,0.04662,0.083450004,0.115,64.165,498366016,1.22,,3655000064,7.334,16042999808,32633999360,error,4.46,0.014984544,43.486954
AMEH,2022-08-02 00:00:00,0.9591075589186675,-0.040892441081332505,211195.4844738906,-9004.515526109417,202190.9689477812,1488324.4211648654,4238900.0,0.35111100077021523,0.10101214488705025,3.4759285743592563,1488324.4211648654,4238900.0,0.35111100077021523,0.050506072443525125,6.951857148718513,114.55000305175781,133.22999572753906,133.22999572753906,-8.592819715153688,24.509998321533203,0.7086717047463555,56.79999923706055,28.311835570998483,41.394933217366535,54.47803086373459,55.3709498500824,19.81875606014626,0.9959835412651539,0.7485714285714286,1.7122758127166902e-14,,1.7333898399192451,0.8666949199596226,-6.595012920816061,Healthcare,VHT,SP600,SLY,"Apollo Medical Holdings, Inc.",0.525828,2.77,37.9,,,0.033,0.085,123003000,0.14284,,error,40.333332,31754124,0.21466999,177773000,0.32626,Medical Care Facilities,error,,1430092800,1:10,3159077376,84421000,0.12229,0,4.09,5.7924223,3.6685894,0.087060004,2.654,0.07498,0.09418,0.495,19.388,55549100,19.76,,280835008,6.224,201502000,861115008,error,,,35.257282
AGYS,2022-08-02 00:00:00,0.7339476511617327,-0.26605234883826734,61578.20793246937,-22321.79206753063,39256.41586493874,1012171.8533516786,2732900.0,0.37036549209692216,0.11461156594365368,3.2314844409246133,1012171.8533516786,2732900.0,0.37036549209692216,0.05730578297182684,6.462968881849227,59.34000015258789,59.34000015258789,59.34000015258789,-1.8283709239472339,17.130001068115234,1.0723422154478275,48.900001525878906,35.422017674690814,44.66033332824707,53.898648981803326,42.53710000991821,4.806380105094079,0.7797665988346036,0.6059616675035312,5.402565614282466e-10,,2.6037306181455055,1.3018653090727528,-5.136263740667709,Technology,VGT,SP600,SLY,"Agilysys, Inc.",1.176245,2.105,7.121,,,0.667,0.541,12305000,0.071779996,1247702400,error,46.33654,21710750,0.61347,101532000,1.01165,Software—Application,1247702400,0.03,810432000,3:2,1289631872,20581000,0.05737,0,1174.2,11.837386,7.5233607,0.04402,1.919,0.030869998,0.059,0.227,6.996,26761400,3.91,,94897000,3.815,9704000,171416992,error,0,0,283.47058
ALG,2022-08-02 00:00:00,0.20000035485593737,-0.7999996451440626,8120.014407151057,-32479.98559284894,-24359.971185697883,92656.85602619257,636600.0,0.14554956962958307,0.04523933648761067,3.2173232617910643,92656.85602619257,636600.0,0.14554956962958307,0.022619668243805336,6.434646523582129,160.7100067138672,160.7100067138672,160.7100067138672,-4.608319806963741,21.87999725341797,0.880250156660152,127.0999984741211,108.69348643818542,117.35279261271158,126.01209878723775,135.99614906311035,14.40607014146048,0.5839277926613642,0.33387755102040817,0.0006233931587187486,,1.9579258719145367,0.9789629359572684,-3.7568944127771404,Industrials,VIS,SP600,SLY,"Alamo Group, Inc.",0.975308,3.774,53.736,0.72,0.0056,0.054,0.058,164999008,0.11913,1657843200,error,15.544676,-39671500,0.24889,334514000,0.95997,Farm & Heavy Construction Machinery,error,,,,1514309888,3283000,0.08708999,0.087799996,2.43,2.1644285,1.0933337,0.05866,1.921,0.05926,0.1187,0.163,116.911,11923700,2.99,,84277000,7.047,390759008,1385038976,error,0.55,0.0043273014,21.847582
IT,2022-08-02 00:00:00,0.9975284641062158,-0.002471535893784238,917526.6812848973,-2273.3187151027423,915253.3625697945,3053420.668100724,8056400.0,0.37900559407436624,0.12824558996635763,2.955310932514638,3053420.668100724,8056400.0,0.37900559407436624,0.06412279498317881,5.910621865029276,294.5199890136719,369.0,369.0,-2.3927675453145296,68.31001281738281,0.7726763056917232,289.69000244140625,223.88098615617986,249.0628677368164,274.24474931745294,287.42190032958985,30.5656740701366,0.9419356542928043,0.04653061224489796,0.6335067585553413,,2.6037306181455055,1.3018653090727528,-5.136263740667709,Technology,VGT,SP500,SPY,"Gartner, Inc.",1.476372,0.697,2747.542,,,0.13,0.051,1157395968,0.23656,932342400,error,40.429173,1109792000,0.69615,3289869000,0.93617,Information Technology Services,error,,828316800,2:1,23706214400,1322957056,0.20183,0,3.46,71.475334,4.8452573,0.16391,0.553,0.08866,1.58847,0.144,58.635,82239000,3.25,,456175008,5.664,3246302976,4892663808,error,,,35.920254
QURE,2022-08-02 00:00:00,0.6962007590755889,-0.30379924092441113,264695.5286005389,-115504.47139946111,149191.0572010778,3127074.7951528705,11163400.0,0.28011849393131755,0.09536905443104084,2.937205318879037,3127074.7951528705,11163400.0,0.28011849393131755,0.04768452721552042,5.874410637758074,38.79999923706055,38.79999923706055,38.79999923706055,-3.4302416594379195,12.829999923706055,1.083340240123296,24.1299991607666,10.215252432703034,18.77771998723348,27.340187541763925,20.53940001010895,5.81604591224491,0.8464212857064948,0.7655231313020832,4.56249995182502e-15,,1.7333898399192451,0.8666949199596226,-6.595012920816061,Healthcare,VHT,SP600,SLY,uniQure N.V.,0.879948,12.935,24.8,,,,,311841984,0.59360003,,error,-10.72,182076128,0.67262,362161000,0.95113,Biotechnology,,,,,1125140096,303520992,0.57921004,0,,2.0604818,2.141737,0.61763,12.607,0.3393,0.83766997,2.947,11.354,46647600,3.75,,524886016,11.252,135407008,525340000,error,0,0,3.4067798
FICO,2022-08-02 00:00:00,0.8823951647528981,-0.11760483524710183,90357.26487069677,-12042.735129303228,78314.52974139355,1321721.9653811082,3249400.0,0.40675877558352563,0.13874902671315834,2.9316153433237053,1321721.9653811082,3249400.0,0.40675877558352563,0.06937451335657917,5.863230686647411,531.030029296875,531.030029296875,531.030029296875,-2.0443143012305187,100.42001342773438,0.6827237912551679,462.6000061035156,367.77377325778804,415.2733341471354,462.7728950364828,423.6566502380371,43.230019098987,0.7266217198871683,0.5395918367346939,3.21747629815449e-08,,2.6037306181455055,1.3018653090727528,-5.136263740667709,Technology,VGT,SP400,MDYG,Fair Isaac Corproation,1.20051,1.26,,,,0.695,0.52,514279008,0.38029,1488326400,error,25.278116,432562240,0.78141,984074000,0.89457,Software—Application,1488326400,0.02,1078963200,3:2,11831993344,439831008,0.36409,0,2.13,,8.749422,0.31520998,1.169,0.20073,,0.078,49.155,25932000,5.02,,174219008,6.718,1842035968,1352317056,error,0,0,29.342121
DGII,2022-08-02 00:00:00,0.705881362968282,-0.2941186370317181,177740.9271954134,-74059.07280458661,103681.85439082677,1883861.4913035778,4049000.0,0.465265865967789,0.16126824170165466,2.8850433356155034,1883861.4913035778,4049000.0,0.465265865967789,0.08063412085082733,5.770086671231007,25.610000610351562,25.6299991607666,26.030000686645508,1.3569516487091993,7.479999542236328,1.1825797465650183,29.139999389648438,20.633876753096644,24.363799985249837,28.09372321740303,22.45810004234314,2.2005363248693515,0.9131111210988186,0.6266341960605099,1.3963086790497788e-10,,2.6037306181455055,1.3018653090727528,-5.136263740667709,Technology,VGT,SP600,SLY,Digi International Inc.,1.386973,1.865,61.653,,,-0.111,-0.028,57101000,0.16936001,,error,17.281609,43410876,0.56356996,171155000,0.90246004,Communication Equipment,error,,702086400,3:2,1043555264,32422000,0.08788,0,1.03,2.1804075,3.0951796,0.03494,1.209,0.02507,0.02507,0.225,9.79,34704200,7.72,,41386000,1.18,296246016,337155008,error,,,97
ECPG,2022-08-02 00:00:00,0.11453519441540938,-0.8854648055845906,37178.124107241885,-287421.87589275814,-250243.75178551624,1551337.270668575,8889100.0,0.17452129806938554,0.060728534527302064,2.8737939986173227,1551337.270668575,8889100.0,0.17452129806938554,0.030364267263651032,5.747587997234645,49.7400016784668,72.66999816894531,72.66999816894531,0.672130804635773,17.69000244140625,1.2673780290896068,68.98999786376953,52.66651173470575,61.629600067138675,70.5926883995716,61.26940006256103,4.533073348564261,0.9036089513943635,0.516734693877551,1.1904574366259768e-07,,0.5315318742488331,0.26576593712441654,-4.861755873603537,Financial Services,VFH,SP600,SLY,Encore Capital Group Inc,1.249467,13.365,237.148,,,1.155,0.857,780368000,0.45976,,error,7.9680367,544964608,1,1614499000,1.22846,Mortgage Finance,error,,,,2043164800,288464000,0.43007,0,0.4,1.4769049,1.2037423,0.25445998,13.251,0.097229995,0.3423,0.199,59.677,29271700,8.07,,173336992,7.145,2955751936,1697344000,error,,,7.0719357
