,Date,buy_volume_pct,sell_volume_pct,daily_buy_vol,daily_sell_vol,net_daily_vol,20td_trend_vol,20td_tot_daily_vol,20td_trend_vol_factor,20td_tvf_rng_div_2,20td_tvf_vel,50td_trend_vol,50td_tot_daily_vol,50td_trend_vol_factor,50td_tvf_rng_div_4,50td_tvf_vel,MIN_Lookback_One_Year,MIN_Lookback_2_Months,MIN_Lookback_1_Months,risk_trend_factor,risk_per_share,volume_factor,Adj Close,50tdBOLD,50tdMA-TP,50tdBOLU,200tdSMA,200tdSDev,adf_50td,tau_50td,tau_50td_p,hurst_50td,sector_50td_tvf_vel,sector_20td_tvf_vel,sector_risk_trend_factor,Sector,Sector Symbol,Market Index,Index Symbol,shortName,beta,currentRatio,debtToEquity,dividendRate,dividendYield,earningsGrowth,earningsQuarterlyGrowth,ebitda,ebitdaMargins,exDividendDate,forwardEPS,forwardPE,freeCashflow,grossMargins,grossProfits,heldPercentInstitutions,industry,lastDividendDate,lastDividendValue,lastSplitDate,lastSplitFactor,marketCap,operatingCashflow,operatingMargins,payoutRatio,pegRatio,priceToBook,priceToSalesTrailing12Months,profitMargins,quickRatio,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,sharesOutstanding,shortRatio,totalAssets,totalCash,totalCashPerShare,totalDebt,totalRevenue,trailingEPS,trailingAnnualDividendRate,trailingAnnualDividendYield,trailingPE
MEDP,2022-08-04 00:00:00,0.6941941784274194,-0.3058058215725806,261988.88293850806,-115411.11706149192,146577.76587701612,2201084.4385536495,7032000.0,0.31300973244505825,0.05581697442857936,5.607787517139075,2201084.4385536495,7032000.0,0.31300973244505825,0.02790848721428968,11.21557503427815,196.1199951171875,231.0,231.0,-4.158648839758124,39.08000183105469,1.344230787299762,165.1999969482422,130.1652520931014,149.6221859741211,169.0791198551408,170.60819953918457,29.91565971409674,0.4094479012394535,0.6212244897959184,1.9445585256878612e-10,,1.4500674738819292,0.7250337369409646,-5.819288273875482,Healthcare,VHT,SP400,MDYG,"Medpace Holdings, Inc.",1.430395,0.374,142.434,,,0.377,0.236,254459008,0.19783,,error,25.405817,226388624,0.61981,701287000,0.91322,Diagnostics & Research,,,,,5142667776,286121984,0.18115,0,1.85,18.101473,3.9981153,0.1627,0.305,0.10457,0.36873,0.262,36.965,30998600,7.86,,42551000,1.373,403447008,1286273024,error,0,0,31.965317
ALG,2022-08-04 00:00:00,0.9727129891902682,-0.02728701080973182,34434.03981733549,-965.9601826645064,33468.07963467098,173574.22370176623,644400.0,0.2693578890468129,0.048703998524765396,5.530508730404295,173574.22370176623,644400.0,0.2693578890468129,0.024351999262382698,11.06101746080859,160.7100067138672,160.7100067138672,160.7100067138672,-3.6689542854656434,23.31999969482422,0.8266124801589403,132.19000244140625,108.66354078865508,118.05166661580402,127.43979244295296,136.1516933441162,14.506732238819794,0.8506650121124296,0.3289795918367347,0.000748856143492369,,error,error,error,error,error,SP600,SLY,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
POR,2022-08-04 00:00:00,0.8219162333760092,-0.1780837666239908,654327.5133906408,-141772.48660935907,512555.0267812818,5740640.898732995,19219600.0,0.2986868040298963,0.07195390725734217,4.151085262981578,5740640.898732995,19219600.0,0.2986868040298963,0.035976953628671086,8.302170525963156,51.599998474121094,57.029998779296875,57.029998779296875,-0.9781764084262197,7.790000915527344,1.3206580225961781,52.68000030517578,45.66522670196447,48.97946667989095,52.293706657817424,50.70503671646118,2.536441802792204,0.40089518800753215,0.4213965234930217,1.5858182366230213e-05,,error,error,error,error,error,SP400,MDYG,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
LIN,2022-08-04 00:00:00,0.3036971731488703,-0.6963028268511298,440694.9679563257,-1010405.0320436744,-569710.0640873488,12825921.68544719,37629800.0,0.34084480080806145,0.0857113949474623,3.976656791281788,12825921.68544719,37629800.0,0.34084480080806145,0.04285569747373115,7.953313582563576,310.19000244140625,352.17999267578125,352.17999267578125,-1.571178922017655,68.6300048828125,1.0005240701846572,302.239990234375,260.05656093563834,297.52208353678384,334.98760613792933,310.82483795166013,18.25053908716443,0.5965487338135047,-0.38612244897959186,7.603115793173588e-05,,1.3972060710092504,0.6986030355046252,-3.6126695745877986,Basic Materials,VAW,SP500,SPY,Linde plc,0.896551,0.737,39.091,4.68,0.0155,-0.538,-0.558,10552000512,0.32334,1661990400,error,29.26066,6205624832,0.41676998,13250000000,0.82225,Specialty Chemicals,error,,1071532800,2:1,154776240128,9921999872,0.18541999,0.6464,,3.491992,4.742791,0.10880999,0.558,0.04662,0.083450004,0.115,64.165,512555008,1.22,,3655000064,7.334,16042999808,32633999360,error,4.143,0.013707651,44.43349
AGYS,2022-08-04 00:00:00,0.9561409966403877,-0.043859003359612375,80698.30011644872,-3701.6998835512845,76996.60023289744,1089771.211386359,2631100.0,0.4141884426233739,0.11461156594365368,3.6138450706362457,1089771.211386359,2631100.0,0.4141884426233739,0.05730578297182684,7.227690141272491,59.34000015258789,59.34000015258789,59.34000015258789,-1.5516637579509043,17.130001068115234,1.0285977200410512,50.47999954223633,35.74905998104816,45.03999997456868,54.3309399680892,42.50640001296997,4.747180151268331,0.6427794137765883,0.6141282667960316,3.162552589921864e-10,,2.9593729975850303,1.4796864987925151,-4.676427561714464,Technology,VGT,SP600,SLY,"Agilysys, Inc.",1.176245,2.105,7.121,,,0.667,0.541,12305000,0.071779996,1247702400,error,46.33654,21710750,0.61347,101532000,1.01165,Software—Application,1247702400,0.03,810432000,3:2,1289631872,20581000,0.05737,0,1174.2,11.837386,7.5233607,0.04402,1.919,0.030869998,0.059,0.227,6.996,26761400,3.91,,94897000,3.815,9704000,171416992,error,0,0,283.47058
DGII,2022-08-04 00:00:00,0.8985148643397952,-0.10148513566020481,1018826.0046748938,-115073.99532510624,903752.0093497876,2840207.9490812942,5268300.0,0.539112797122657,0.1655209389587236,3.2570670545621843,2840207.9490812942,5268300.0,0.539112797122657,0.0827604694793618,6.5141341091243685,25.610000610351562,26.030000686645508,26.030000686645508,2.0374329969026346,13.089998245239258,1.487699458359294,34.779998779296875,20.082262653813565,24.73979996999105,29.397337286168536,22.569600038528442,2.4227903626022713,1.0,0.6364381209010914,7.18804483603923e-11,,2.9593729975850303,1.4796864987925151,-4.676427561714464,Technology,VGT,SP600,SLY,Digi International Inc.,1.386973,1.865,61.653,,,-0.111,-0.028,57101000,0.16936001,,error,19.893856,43410876,0.56356996,171155000,0.90246004,Communication Equipment,,,702086400,3:2,1249369728,32422000,0.08788,0,1.16,2.5996497,3.705624,0.03494,1.209,0.02507,0.02507,0.225,9.79,35084800,7.72,,41386000,1.18,296246016,337155008,error,0,0,104.7353
AMEH,2022-08-04 00:00:00,0.7032082234312304,-0.29679177656876965,259483.834446124,-109516.165553876,149967.668892248,1451278.3776107791,4456700.0,0.32563968353507733,0.10101214488705025,3.2237676360520915,1451278.3776107791,4456700.0,0.32563968353507733,0.050506072443525125,6.447535272104183,114.55000305175781,133.22999572753906,133.22999572753906,-8.365234784199881,25.599998474121094,0.7443071340583844,55.619998931884766,28.234281391988944,42.224266535441075,56.214251678893206,55.21579985618591,19.75019655292123,0.9742759918357198,0.7763265306122449,1.791608276828815e-15,,error,error,error,error,error,SP600,SLY,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
PLMR,2022-08-04 00:00:00,0.7846672572917831,-0.21533274270821687,202993.4194613843,-55706.5805386157,147286.8389227686,685342.9816617211,2049000.0,0.3344768090101128,0.10494429054099103,3.1871844317196736,685342.9816617211,2049000.0,0.3344768090101128,0.05247214527049551,6.374368863439347,97.18000030517578,97.18000030517578,97.18000030517578,-4.688741163204662,17.365001678466797,0.5088740087669237,70.04000091552734,55.05558044461753,61.22709325154622,67.39860605847491,63.69094999313354,10.995436808868833,0.2643337864754679,-0.14285714285714285,0.14323490752466972,,error,error,error,error,error,SP600,SLY,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
RGNX,2022-08-04 00:00:00,0.8700008392333984,-0.12999916076660156,337647.32570648193,-50452.67429351807,287194.65141296387,2967584.964112382,7566900.0,0.3921797518286725,0.1252853442282733,3.1302923278409187,2967584.964112382,7566900.0,0.3921797518286725,0.06264267211413665,6.260584655681837,46.459999084472656,46.459999084472656,46.459999084472656,-2.22109869788212,15.829999923706055,0.9410912932142084,34.7400016784668,16.795061477661434,26.047733357747397,35.30040523783336,28.855050048828126,4.820393443899924,0.9772044832307146,0.7959183673469388,3.4705888016187275e-16,,1.4500674738819292,0.7250337369409646,-5.819288273875482,Healthcare,VHT,SP600,SLY,REGENXBIO Inc.,0.966794,3.726,12.715,,,,,151920992,0.32072,,error,-8.651852,99599752,0.47044,237077000,0.89219004,Biotechnology,error,,,,1498632832,207011008,0.29914,0,-3.17,3.2465487,3.163802,0.21375999,3.526,0.092980005,0.16277,0.177,11.088,42769200,6.1,,394734016,9.151,87689000,473680992,error,,,error
TWNK,2022-08-04 00:00:00,0.9145295940608101,-0.08547040593918982,1683740.4356253576,-157359.5643746424,1526380.871250715,4744275.98402538,16401500.0,0.2892586643919995,0.09304900720144955,3.1086700771106486,4744275.98402538,16401500.0,0.2892586643919995,0.04652450360072478,6.217340154221297,17.229999542236328,24.270000457763672,24.270000457763672,0.17191264618583307,4.129999160766602,0.5461652102361106,22.15999984741211,19.32752793057817,20.97967333475749,22.631818738936808,20.59360001564026,1.5096429651236478,0.7482391978916971,0.4378081933107423,7.600515302322175e-06,,0.9494143495315577,0.47470717476577884,-2.677674223531965,Consumer Defensive,VDC,SP600,SLY,"Hostess Brands, Inc.",,2.254,62.861,,,0.048,0.021,258184992,0.20528999,,error,19.963634,82838752,0.34800997,409983000,1.08234,Packaged Foods,,,,,3036782592,202892992,0.16577,0,,1.7023256,2.4146426,0.10158,1.918,0.037469998,0.074200004,0.168,9.306,138287008,6.22,,227748992,1.669,1106806016,1257652992,error,0,0,23.612902
