,Date,MIN_Lookback_One_Year,MIN_Lookback_2_Months,MIN_Lookback_1_Months,risk_trend_factor,risk_per_share,volume_factor,Adj Close,21dBOLD,21dMA-TP,21dBOLU,90dSMA,90dSDev,adf,hurst,sector_risk_trend_factor,Sector,Sector Symbol,Market Index,Index Symbol
ACC,2022-07-07 00:00:00,49.36000061035156,65.0199966430664,65.22000122070312,10.898537424086202,1.3800010681152344,1.7645486216897162,64.87999725341797,64.07694056213882,64.53265907650902,64.98837759087922,63.85492049323188,2.308505080871018,0.9793273104816435,0.4288156944874284,error,error,error,SP400,MDYG
MTOR,2022-07-07 00:00:00,32.93000030517578,36.279998779296875,36.29999923706055,5.8983157146089935,0.5900001525878906,1.5879958311541609,36.33000183105469,35.919906002528236,36.14480126093305,36.369696519337865,36.02111097366091,0.1976157828413082,0.3453802660524836,0.43842169537559994,-7.515421851118236,Consumer Cyclical,VCR,SP600,SLY
PSB,2022-07-07 00:00:00,165.85000610351562,189.8300018310547,189.8300018310547,5.68440190248416,2.8199920654296875,1.8239640441386267,187.17999267578125,185.67354355208937,186.68797544449095,187.70240733689252,183.43619071112738,7.661089680531035,0.8351891278451569,0.4809432484030106,-4.49086813466074,Real Estate,VNQ,SP400,MDYG
Y,2022-07-07 00:00:00,737.8900146484375,862.8699951171875,862.8699951171875,3.489476254111842,9.5,1.7252393615670767,832.260009765625,829.7921869258685,832.5223383827814,835.2524898396944,835.0828959147135,4.788668562062226,0.4014068910159121,0.46368544743284545,-4.966821785591176,Financial Services,VFH,SP400,MDYG
TVTY,2022-06-30 00:00:00,27.8700008392334,32.88999938964844,32.88999938964844,3.1950212657514556,1.2049999237060547,1.8811933542679444,32.5,31.852152478234604,32.26242056347075,32.672688648706895,32.18186496552967,0.2322085334821115,0.524760024702021,0.4461712322757353,error,error,error,SP600,SLY
GCP,2022-07-07 00:00:00,27.780000686645508,32.279998779296875,32.279998779296875,2.6017740043379556,1.1299991607666016,2.178462785769479,31.760000228881836,30.786957659140995,31.221448474460175,31.655939289779354,31.1669047446478,0.2377421305565061,0.16475946841218492,0.45779422855800267,error,error,error,SP600,SLY
FCN,2022-07-07 00:00:00,147.3800048828125,170.30999755859375,172.69000244140625,2.4979342306105883,29.039993286132812,0.9875740130158707,187.63999938964844,156.28870794005803,171.73384929838636,187.1789906567147,166.6202775864374,6.962917601792563,0.9771224470065535,0.4007036872221297,-4.909056492838958,Industrials,VIS,SP400,MDYG
LLY,2022-07-07 00:00:00,239.3699951171875,314.0,324.0799865722656,2.1391249662551846,49.739990234375,0.911781014125207,327.95001220703125,280.3783762813189,309.55952320401633,338.7406701267138,301.7316388326978,13.392606148585186,0.9961981521844668,0.40742659682892585,-2.3272980674907604,Healthcare,VHT,SP500,SPY
MCK,2022-07-07 00:00:00,204.66000366210938,335.6000061035156,339.94000244140625,2.0254542495265153,41.25,1.153828972961329,321.25,298.7302427724417,315.2330155145554,331.7357882566691,320.4914766341921,8.350580213274156,0.9986138005294082,0.4604380732897149,-2.3272980674907604,Healthcare,VHT,SP500,SPY
GO,2022-07-07 00:00:00,36.77000045776367,36.77000045776367,39.5,1.9473443792711869,11.015003204345703,1.4095352536405488,44.83000183105469,36.59751109917471,40.9963255988227,45.39514009847069,37.21511931646438,3.554379562014741,0.26831037806017344,0.41772447075544544,-1.8572049274224378,Consumer Defensive,VDC,SP400,MDYG
