,Date,buy_volume_pct,sell_volume_pct,daily_buy_vol,daily_sell_vol,net_daily_vol,20td_trend_vol,20td_tot_daily_vol,20td_trend_vol_factor,20td_tvf_rng_div_2,20td_tvf_vel,50td_trend_vol,50td_tot_daily_vol,50td_trend_vol_factor,50td_tvf_rng_div_4,50td_tvf_vel,MIN_Lookback_One_Year,MIN_Lookback_2_Months,MIN_Lookback_1_Months,risk_trend_factor,risk_per_share,volume_factor,Adj Close,50tdBOLD,50tdMA-TP,50tdBOLU,200tdSMA,200tdSDev,adf_50td,tau_50td,tau_50td_p,hurst_50td,sector_50td_tvf_vel,sector_20td_tvf_vel,sector_risk_trend_factor,Sector,Sector Symbol,Market Index,Index Symbol,shortName,beta,currentRatio,debtToEquity,dividendRate,dividendYield,earningsGrowth,earningsQuarterlyGrowth,ebitda,ebitdaMargins,exDividendDate,forwardEPS,forwardPE,freeCashflow,grossMargins,grossProfits,heldPercentInstitutions,industry,lastDividendDate,lastDividendValue,lastSplitDate,lastSplitFactor,marketCap,operatingCashflow,operatingMargins,payoutRatio,pegRatio,priceToBook,priceToSalesTrailing12Months,profitMargins,quickRatio,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,sharesOutstanding,shortRatio,totalAssets,totalCash,totalCashPerShare,totalDebt,totalRevenue,trailingEPS,trailingAnnualDividendRate,trailingAnnualDividendYield,trailingPE
NATI,2022-08-25 00:00:00,0.647059703502027,-0.352940296497973,234623.84848983499,-127976.151510165,106647.69697966999,7501664.459128425,15699700.0,0.4778221532340379,0.05654081016419524,8.45092512552325,7501664.459128425,15699700.0,0.4778221532340379,0.02827040508209762,16.9018502510465,45.97999954223633,45.97999954223633,45.97999954223633,-0.8564987354321048,13.309999465942383,1.1509651029917654,42.18000030517578,27.21553392239391,35.60939998626709,44.003266050140276,38.697600021362305,4.023611156862248,0.9769905122071129,0.7519417175362475,1.3986898236593836e-14,,error,error,error,error,error,SP400,MDYG,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
VRSN,2022-08-25 00:00:00,0.9699241650700412,-0.030075834929958814,344614.0558493856,-10685.944150614367,333928.11169877124,3167510.190710115,10787000.0,0.29364143790767727,0.040340739660276154,7.27902959590075,3167510.190710115,10787000.0,0.29364143790767727,0.020170369830138077,14.5580591918015,234.55999755859375,257.0299987792969,257.0299987792969,-3.76662841796875,43.75,0.8876517150364006,194.61000061035156,154.40912598254164,182.60433339436852,210.7995408061954,206.10760009765625,27.122953086206373,0.7019322128705605,0.7942857142857143,3.985342258311663e-16,,error,error,error,error,error,SP500,SPY,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
CIEN,2022-08-25 00:00:00,0.8235314650443801,-0.17646853495561982,787460.7868754363,-168739.21312456366,618721.5737508726,4682722.564967066,19558900.0,0.23941645823472005,0.04646019290354733,5.153152478978194,4682722.564967066,19558900.0,0.23941645823472005,0.023230096451773666,10.306304957956389,61.09000015258789,78.27999877929688,78.27999877929688,-4.065130425376614,12.59000015258789,0.6417490675708378,55.4900016784668,41.79176126381036,49.44146677652995,57.09117228924954,58.70294994354248,9.129612431355635,0.8706477930240717,0.8406865550798757,7.43196936289333e-18,,error,error,error,error,error,SP400,MDYG,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
NBHC,2022-08-25 00:00:00,0.8987319767834896,-0.10126802321651038,58058.08570021343,-6541.91429978657,51516.17140042686,426984.1335221198,1699300.0,0.2512706017313716,0.05120928874367328,4.9067387557187105,426984.1335221198,1699300.0,0.2512706017313716,0.02560464437183664,9.813477511437421,43.209999084472656,48.2400016784668,48.2400016784668,-1.9012820312179053,7.8000030517578125,0.6201552994905153,41.619998931884766,36.430809113855645,40.39786669413249,44.36492427440933,41.894723682403566,2.876489255017349,0.49469235152193936,0.6407851158134978,5.4265443928487984e-11,,error,error,error,error,error,SP600,SLY,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
SAH,2022-08-25 00:00:00,0.9579212151141435,-0.04207878488585643,711064.9179792288,-31235.082020771228,679829.8359584576,3423017.184197063,11087600.0,0.3087248082720393,0.06335351412633684,4.873049467412236,3423017.184197063,11087600.0,0.3087248082720393,0.03167675706316842,9.746098934824472,58.0,58.0,58.0,0.05521481581565636,24.450000762939453,1.6790894685612985,58.45000076293945,28.978029119609822,41.97726659138997,54.97650406317012,45.668471279144285,4.696827476117156,0.9985491066027815,0.7431605356175384,2.692879813398877e-14,,error,error,error,error,error,SP600,SLY,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
ATI,2022-08-25 00:00:00,0.8936184891341842,-0.10638151086581579,1722002.8285615728,-204997.17143842703,1517005.6571231459,10124104.835804984,34990400.0,0.2893394998572461,0.05985206867781187,4.834243932566176,10124104.835804984,34990400.0,0.2893394998572461,0.029926034338905935,9.668487865132352,25.040000915527344,30.739999771118164,30.739999771118164,1.0063142732925388,12.669998168945312,0.9656922697398652,33.09000015258789,17.712171607650696,25.611200002034508,33.51022839641832,23.427149987220766,4.926147963115375,0.9806996903040033,0.741013319200629,3.262450411577896e-14,,error,error,error,error,error,SP600,SLY,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
WTS,2022-08-25 00:00:00,0.9814859816781296,-0.01851401832187039,95498.58601728201,-1801.413982717989,93697.17203456402,1136957.1421312238,2742700.0,0.4145393743869996,0.0862717922167367,4.805039558533468,1136957.1421312238,2742700.0,0.4145393743869996,0.04313589610836835,9.610079117066936,167.19000244140625,212.0,212.0,-3.778774934254876,37.87999725341797,0.7875692809331811,149.35000610351562,109.33856387966307,133.69366653442384,158.0487691891846,151.6919144821167,26.205207780081736,0.890883183697321,0.7926530612244899,4.57518039323224e-16,,error,error,error,error,error,SP400,MDYG,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
DE,2022-08-25 00:00:00,0.9590044905162977,-0.04099550948370233,1271064.551730301,-54335.44826969907,1216729.103460602,11405997.050151993,32203700.0,0.35418281284920655,0.07596480388201299,4.66245938578761,11405997.050151993,32203700.0,0.35418281284920655,0.037982401941006494,9.32491877157522,400.3399963378906,446.760009765625,446.760009765625,-1.2369531659290565,104.6199951171875,0.9087833328366853,388.1499938964844,274.1999285555282,328.2547973632812,382.3096661710343,361.21926712036134,33.37047023452256,0.9342867835368838,0.6277551020408163,1.2545957513022296e-10,,error,error,error,error,error,SP500,SPY,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
FIZZ,2022-08-25 00:00:00,0.9689445850274374,-0.031055414972562624,96603.77512723551,-3096.2248727644937,93507.55025447102,514325.5454745551,2268500.0,0.22672494841285215,0.05223069864573239,4.340836984599232,514325.5454745551,2268500.0,0.22672494841285215,0.026115349322866195,8.681673969198464,64.66999816894531,64.66999816894531,64.66999816894531,-1.9629624521438833,11.34000015258789,0.23534186652804095,57.25,43.662898351338676,51.139333241780605,58.615768132222534,47.57393323898315,4.518049739058742,0.8228259772090569,0.7459152816209198,2.2122297396986044e-14,,error,error,error,error,error,SP600,SLY,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
MODV,2022-08-25 00:00:00,0.9691793170119928,-0.030820682988007213,72203.85911739347,-2296.140882606537,69907.71823478694,613285.1194433676,1724900.0,0.35554821696525457,0.08203442356451127,4.334134397685553,613285.1194433676,1724900.0,0.35554821696525457,0.04101721178225563,8.668268795371105,193.80999755859375,211.94000244140625,211.94000244140625,-6.523044771155102,39.27000427246094,1.056394350281699,120.51000213623047,74.58386664784844,98.64966674804687,122.7154668482453,113.84155002593994,18.751816925364135,0.9538848087657598,0.7660270136365396,4.2777089005539035e-15,,error,error,error,error,error,SP600,SLY,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
