,^GSPC,ES=F,NQ=F,YM=F,RTY=F,PA=F,LBS=F,UUP,ZO=F,SIL=F,CT=F,MGC=F,JPY=X,NG=F,GC=F,HG=F,ZL=F,KE=F,^IRX,ZS=F,KC=F,ZR=F,HO=F,ZC=F,RB=F,ZM=F,HE=F,CL=F,BZ=F,ZB=F,LE=F,SB=F,CC=F,GF=F,SI=F,ZN=F,DTB3,ZF=F,PL=F,EURUSD=X,OJ=F,ZT=F,AUDUSD=X,GBPUSD=X,BRLUSD=X,trending
^GSPC,1.0,0.9999613551607515,0.9907111207085579,0.9875295560165854,0.9029222764692597,0.8743890081264306,0.8245274158392608,0.7607388981764014,0.7320973715414406,0.6850327948499162,0.6530075315361384,0.6387768210088031,0.6200585330014191,0.5898319754665722,0.5305979982348025,0.5252541067207821,0.5061744735277207,0.4368785167812615,0.3548749708181296,0.3516496902462212,0.34606092867591665,0.30125084826004,0.29585600216625824,0.29000405152044306,0.2703972245261871,0.26776531559493766,0.24182718199124031,0.19414936945956981,0.10369829723843743,0.021314982033854277,0.008905515267968893,-0.06484135145093647,-0.11068362177335382,-0.11756772262718974,-0.1263173491215524,-0.37975642946262556,-0.5157958577441683,-0.5180272361206715,-0.547749859345828,-0.5647633897246839,-0.5763698017296705,-0.5920524094945945,-0.6266591311555012,-0.6771130391948859,-0.7906868492000364,
ES=F,0.9999613551607515,1.0,0.9905700287418596,0.9880147254566102,0.9037613836200926,0.8743574678452894,0.8239587960396771,0.7610354782173098,0.7317442881607489,0.6828822552409101,0.6534513063284333,0.6388907283323613,0.6216074542236691,0.5918638766238973,0.5311036758950691,0.5251932624262337,0.5070344307247607,0.4376574574593492,0.36042166309515056,0.3527950993431862,0.34677780539213643,0.3033646499091855,0.2985911822961737,0.2907700580855962,0.27307069092194297,0.26967183713847825,0.2452504570517948,0.1963506019062763,0.10630322841012084,0.017894833257686146,0.009481970817258307,-0.06450551256024077,-0.11391175404756869,-0.11648152179718403,-0.12689630190644213,-0.38358292997187654,-0.5124399831569479,-0.5218476737289481,-0.5489213975577955,-0.5662964530902848,-0.570199373556066,-0.5961253091351778,-0.6270752112617444,-0.6792011175846204,-0.7910139407771504,
NQ=F,0.9907111207085579,0.9905700287418596,1.0,0.9699613208009329,0.8481835812522227,0.903697945384887,0.8312026282157853,0.7499636230416759,0.757376342750821,0.6856935400009274,0.662604602472374,0.652846156095517,0.5573994283244704,0.58224614418004,0.6102915399879204,0.5624756372524398,0.5434049856428919,0.46812604249022505,0.2896635577089007,0.3882459778289958,0.38448828370017496,0.37028095083300533,0.3068824665601217,0.33672288906613373,0.2803851797538509,0.2854033985625138,0.2632120852359546,0.20819569640625335,0.1248420626576262,0.061652375184416526,-0.02579256459988143,-0.01627860286987926,-0.15398610477544472,-0.15584871400525796,-0.05012543085919676,-0.29359028361152734,-0.6257390040466104,-0.4310710358969074,-0.5097064493747757,-0.5331977435983907,-0.6926776618809297,-0.5238374061628379,-0.5872254095437006,-0.6629157798623134,-0.7665805755536529,
YM=F,0.9875295560165854,0.9880147254566102,0.9699613208009329,1.0,0.9428366748139734,0.8666565625655029,0.7829030838045906,0.7556455740837817,0.6741736072286862,0.6041033667675269,0.6165930665155512,0.6108885842021592,0.597528130366869,0.5557864942873747,0.49058952922394083,0.48739120987777473,0.43865225518288825,0.3748609896463233,0.4876106868486761,0.28718323477923036,0.262162573099929,0.2490368586290336,0.274930820917412,0.23790740136154165,0.23837117440768774,0.22618163643504188,0.1818065310132318,0.17083543491304914,0.08958884363587251,-0.01568978854298361,-0.06053430664791138,-0.12815838253070058,-0.18685753218124687,-0.17540816096290512,-0.17104987375517497,-0.43759578307322505,-0.38376959850678366,-0.587794926810143,-0.5906573722205403,-0.5502253456693083,-0.5494787871844092,-0.6756722787116515,-0.6412390150833621,-0.7270708203636259,-0.7879404736263382,
RTY=F,0.9029222764692597,0.9037613836200926,0.8481835812522227,0.9428366748139734,1.0,0.4287024891903406,0.7957188279079972,0.09282453581644591,0.8196918401395341,0.8317226448224904,0.7963803112525122,0.5725950298739783,0.46702591795211745,0.6590670620004643,0.5731726372331803,0.9138972106526843,0.7836776217742366,0.6883420114657458,-0.2929814897169746,0.7688516250381775,0.8080134689990214,0.4642568465813822,0.6967516263211903,0.7426395301138362,0.7372023949942549,0.678555986803323,0.7384406890025601,0.7930486450058077,0.78067504603113,-0.3684506064923012,0.7688962293948279,0.8708069659685216,0.46673270721008847,0.7492361712758925,0.8317226448224904,-0.2757246849477639,-0.29645577271739515,-0.20380754465854511,0.8169204281761844,-0.08543699610444876,-0.7309451109240023,-0.12677629666816603,0.45307467667942114,0.3688346316027999,-0.3774882947938294,
PA=F,0.8743890081264306,0.8743574678452894,0.903697945384887,0.8666565625655029,0.4287024891903406,1.0,0.7380810068791641,0.7219159182015166,0.6904412280786838,0.5979844362989872,0.5333609852181553,0.6502143283284724,0.38205970729308975,0.44983263375297666,0.7134678643278972,0.5162009410002734,0.4729965838183966,0.4405093524040617,0.2562781814294504,0.3463931970584697,0.30684071398442964,0.4538783964635574,0.2780328668453962,0.32639639460832165,0.22274381092229376,0.2686225239221852,0.2281690663736993,0.17623354374800068,0.12408195155704439,0.16735767275865654,-0.1547603474468628,-0.057269401213701186,-0.2863672039917425,-0.2594462447269386,0.031198976718539786,-0.08686772927222522,-0.703778808514439,-0.25339121709485296,-0.4279396226928561,-0.4335278664135016,-0.33648762830882606,-0.4005893734126437,-0.5144804493846039,-0.6542144401095839,-0.6607452086244288,
LBS=F,0.8245274158392608,0.8239587960396771,0.8312026282157853,0.7829030838045906,0.7957188279079972,0.7380810068791641,1.0,0.4218339657399908,0.8228768760667313,0.7825504845145925,0.7709338243062162,0.5874130941308777,0.3342810644803699,0.5640088414936602,0.6440133449319728,0.7505758205455166,0.7087438031526498,0.6335632484145521,0.09566424231593215,0.6223349299889026,0.5739502409782591,0.4822194522765515,0.50402044271291,0.5405707108801572,0.49607309287323276,0.5621983226246039,0.44064848744451585,0.4639215201013905,0.38982547692979885,-0.138411987221711,0.17717389037839618,0.21001218101906197,-0.09021150133861877,-0.06283866256865246,0.23052188402199283,-0.301569403583914,-0.4845932355838572,-0.3579991741795559,-0.14689700673605594,-0.24114370442248306,-0.42820440660390563,-0.40268339668337283,-0.24321579105773086,-0.3507824681478423,-0.4572084685553341,
UUP,0.7607388981764014,0.7610354782173098,0.7499636230416759,0.7556455740837817,0.09282453581644591,0.7219159182015166,0.4218339657399908,1.0,0.3761264853834309,0.1534113605051801,0.2836306200734021,0.4745382678403583,0.7338012003862537,0.3213819025791149,0.28741318099703367,0.03575224724571307,0.20331212913744284,0.15186761642587518,0.36828807454429197,0.00396166664500387,0.047167886255383706,0.06581997720243368,-0.044920048635704146,0.03536686849453707,-0.08090479604583983,-0.11996794112205644,-0.057893681215505234,-0.21772819575029018,-0.29269841436252686,0.32354610131162076,-0.162706545901725,-0.28938079990950066,-0.09960820088338844,-0.16358523188300014,-0.4200509621316144,-0.20725340505332362,-0.29737564914110004,-0.4145256631960947,-0.7876048085812956,-0.9054906288041301,0.7502813103304179,-0.5267501116912852,-0.8495067308399745,-0.831263522312546,-0.8764931812897969,
ZO=F,0.7320973715414406,0.7317442881607489,0.757376342750821,0.6741736072286862,0.8196918401395341,0.6904412280786838,0.8228768760667313,0.3761264853834309,1.0,0.796962978380139,0.8702299523007624,0.5664711919148228,0.28096327201389915,0.8117788042609952,0.7540209394529886,0.8837297751456085,0.8884028045379677,0.8656221682255135,0.006524097226943221,0.8271067209648569,0.750542996493004,0.7189770145122791,0.7662042609741245,0.780942733639403,0.7412416792891353,0.6692457333658092,0.7115160931805113,0.6984722486481788,0.6456832798252822,-0.3382031428474804,0.2995010514604288,0.3916016266373498,-0.18121955670051385,0.08345807372112071,0.4150840168425688,-0.299136684757542,-0.42987424333232294,-0.29958178665809376,0.07399867166965587,-0.13033227082981044,0.0837351853863615,-0.329290150436997,-0.04093448683927254,-0.2129534447829228,-0.27338047219894673,
SIL=F,0.6850327948499162,0.6828822552409101,0.6856935400009274,0.6041033667675269,0.8317226448224904,0.5979844362989872,0.7825504845145925,0.1534113605051801,0.796962978380139,1.0,0.7513357608688622,0.7786304659369033,0.08990919078691835,0.6406955461028293,0.7793015948407428,0.8327548909514935,0.8110882830842074,0.7473880760921544,-0.20782556658943163,0.8355963666578596,0.740054447789569,0.6215492979856985,0.6870007763442454,0.7489501831275304,0.6993279525530266,0.7391570305574297,0.6421840081586095,0.7249358715460037,0.692853159104592,-0.19149408977955168,0.19076368143934488,0.6798077415446967,-0.11642996640412304,-0.008975313574056445,0.9999998641603506,-0.06952309263339682,-0.5611018707772559,-0.047374886353196435,0.4018514350829539,0.09044796600609754,-0.34235246437245775,-0.06485979353928527,0.22482537394619923,-0.11140713803894056,-0.17842166559807893,
