,SYMBOL,exp_return,discounted_return,qtr_return,sell_date,stop_loss_price,days_delta,disc_rtn,qtr_rtn,outer_cv_avg_abs_err_n11,outer_cv_std_n11,mean_revert_flag,yhat_upper,yhat_lower,21dBOLD,90dSDev,90d_upper,90dSMA,90d_lower,21dBOLU,21dMA-TP,Adj Close,Date,Index Symbol,MIN_Lookback_1_Months,MIN_Lookback_2_Months,MIN_Lookback_One_Year,Market Index,Sector,Sector Symbol,adf,hurst,risk_per_share,risk_trend_factor,sector_risk_trend_factor,volume_factor,outer_cv_avg_abs_err_n11_ratio,outer_cv_std_n11_ratio
RRC,RRC,0.5266032765325057,0.005048955457144455,1.5893660156989065,2022-10-13,33.627597653577894,84,0.005048955457144455,1.5893660156989065,13.25572324988214,22.166351643946864,False,62.83772924187932,34.300186312200594,23.762216570891304,3.4104492323787627,36.24141445615012,29.42051599139259,22.599617526635065,28.916196093612974,26.33920633225214,30.31999969482422,2022-07-20,MDYG,37.439998626708984,34.61000061035156,17.469999313354492,SP400,Energy,VDE,0.7312215327313698,0.4619783962610749,14.069997787475586,0.10234546982938648,-0.5136781234473806,1.1006954893093537,0.43719404298493314,0.7310802066970593
CEIX,CEIX,0.3024024621666449,0.0031503162149806307,1.335590507376462,2022-10-13,56.78485850168393,84,0.0031503162149806307,1.335590507376462,49.999372116065544,68.74341592171103,False,100.16616702440616,54.93518937359584,43.62561686686608,3.9475333821232783,58.697209543278944,50.80214277903239,42.90707601478583,59.570985848520195,51.59830135769314,56.97999954223633,2022-07-20,SLY,59.380001068115234,55.2599983215332,19.979999542236328,SP600,Energy,VDE,0.9392120987378287,0.5194938920884646,20.279998779296875,1.7909271144484489,-0.5136781234473806,1.8288794870785505,0.8774898651763519,1.2064481655665
CHEF,CHEF,0.20592022330087217,0.00267847996756454,1.2790156125983028,2022-09-29,30.550095530117755,70,0.00267847996756454,1.2790156125983028,130.1581598398578,131.44394555272345,False,72.82423433975846,31.509164995514464,34.29516217668496,2.24166177919495,40.76872037652063,36.285396818130735,31.802073259740837,42.11404397149288,38.20460307408892,39.5099983215332,2022-07-20,SLY,39.029998779296875,39.029998779296875,35.56999969482422,SP600,Consumer Defensive,VDC,0.29625720668296995,0.4815738211814136,11.600000381469727,0.4224135819003144,-2.7093031611425995,1.3581891056049575,3.294309424683543,3.326852724290946
EXLS,EXLS,0.20148502628372703,0.0021876073480036062,1.222673748401937,2022-10-13,143.0195801688518,84,0.0021876073480036062,1.222673748401937,186.20646922476814,170.18558487643568,False,191.76169238208786,148.87025119541966,137.2283071460206,6.947047848950726,155.30627900536751,141.41218330746605,127.5180876095646,155.24978704575767,146.23904709588913,141.64999389648438,2022-07-20,SLY,154.97999572753906,154.97999572753906,110.44000244140625,SP600,error,error,0.9709595743022066,0.373320528318774,28.79999542236328,0.1579857123670121,error,1.4268964449969648,1.314553316259547,1.2014514098800786
ECPG,ECPG,0.1991300909372824,0.004333083864810572,1.4885202773931898,2022-09-01,66.26266103571034,42,0.004333083864810572,1.4885202773931898,86.06855687498847,92.33764627749403,False,97.02944174013588,64.66944304098257,54.90450228126202,2.405344432892141,64.37949849616312,59.568809630378844,54.758120764594565,66.68406929747528,60.794285789368644,66.8499984741211,2022-07-20,SLY,72.66999816894531,72.66999816894531,49.7400016784668,SP600,Financial Services,VFH,0.8074972650273037,0.42707843502344717,12.099998474121094,0.45206595833089,-4.499999705656054,1.2595991326552296,1.2874877911673737,1.381266243607166
VG,VG,0.19227940738545446,0.005037415136737833,1.5876879246405327,2022-08-25,21.394345286543484,35,0.005037415136737833,1.5876879246405327,8.513645178746076,7.327619883781802,False,31.161163947879473,19.471895833695374,16.503442504436855,1.1608873570383789,21.333084178849298,19.01130946477254,16.689534750695785,21.57497005107608,19.039206277756467,20.989999771118164,2022-07-20,SLY,20.920000076293945,20.920000076293945,15.720000267028809,SP600,Communication Services,VOX,0.8279762957155237,0.494144603436669,5.489999771118164,0.9854278905800251,-10.562770287147188,1.5719772184540952,0.40560482475377097,0.34910052232894573
BJ,BJ,0.19152569183277138,0.0035826182065892276,1.3895943421086858,2022-09-08,66.81738673004992,49,0.0035826182065892276,1.3895943421086858,81.58287662900894,87.22263219288232,False,96.42267142035814,71.02452884618982,59.1606983100988,4.46622601421997,71.62217439235093,62.68972236391098,53.75727033547104,72.07904814695571,65.61987322852725,69.7699966430664,2022-07-20,MDYG,74.08999633789062,74.08999633789062,50.18000030517578,SP400,Consumer Defensive,VDC,0.9731790674994089,0.3748427217213171,17.449996948242188,0.6275070981800502,-2.7093031611425995,1.4179977795724086,1.1693117465144163,1.25014528292299
OPCH,OPCH,0.18710851120740793,0.00223002213096013,1.2274435816450668,2022-10-06,28.457704297745007,77,0.00223002213096013,1.2274435816450668,16.334634065007055,13.484684613433409,False,49.58971728304758,28.435082288770197,25.93405265398912,1.4167519029281104,31.4765196068167,28.64301580096048,25.80951199510426,31.885312468972494,28.909682561480807,31.5,2022-07-20,MDYG,31.079999923706055,30.700000762939453,22.690000534057617,SP400,Healthcare,VHT,0.8523031191345902,0.3773229603869663,6.6699981689453125,1.5037483557334859,-2.713170497072555,1.1266036661081755,0.5185598115875255,0.4280852258232828
ROG,ROG,0.14467667605711998,0.0024158101306306357,1.2485545238008549,2022-09-15,281.8035974987364,56,0.0024158101306306357,1.2485545238008549,1123.868207346278,896.9894233275742,False,364.43950513778873,255.08367494211262,257.3200010887066,5.568855547379028,274.94870277556936,263.8109916808113,252.67328058605324,265.83364765106273,261.57682436988466,268.1099853515625,2022-07-20,SLY,274.510009765625,274.510009765625,206.1300048828125,SP600,Technology,VGT,0.7492996022787518,0.47947545697419564,16.730010986328125,2.9396233918085986,-5.111110020808427,0.9545687480560604,4.191817794001936,3.345602448007991
HSY,HSY,0.12888635530067344,0.001444275540061879,1.1419958635415703,2022-10-13,216.03396928118536,84,0.001444275540061879,1.1419958635415703,164.0158357967103,104.03852951401316,False,263.3119721825107,225.1646827718596,213.61623087770244,6.419606859021304,229.3786406124576,216.539426894415,203.7002131763724,222.71392814309985,218.16507951040114,215.3800048828125,2022-07-20,SPY,231.60000610351562,231.60000610351562,182.24000549316406,SP500,Consumer Defensive,VDC,0.9836134850597024,0.44611803448422666,21.019989013671875,0.033301489728985764,-2.7093031611425995,1.05046169929802,0.7615183957580033,0.4830463699293728
