,SYMBOL,exp_return,discounted_return,qtr_return,sell_date,stop_loss_price,days_delta,disc_rtn,qtr_rtn,outer_cv_avg_abs_err_n11,outer_cv_std_n11,mean_revert_flag,yhat_upper,yhat_lower,21dBOLD,90dSDev,90d_upper,90dSMA,90d_lower,21dBOLU,21dMA-TP,Adj Close,Date,Index Symbol,MIN_Lookback_1_Months,MIN_Lookback_2_Months,MIN_Lookback_One_Year,Market Index,Sector,Sector Symbol,adf,hurst,risk_per_share,risk_trend_factor,sector_risk_trend_factor,volume_factor,outer_cv_avg_abs_err_n11_ratio,outer_cv_std_n11_ratio
NOC,NOC,0.11927374866320214,0.0014644483533738928,1.1441141766089202,2022-10-06,454.3335157346563,77,0.0014644483533738928,1.1441141766089202,1420.961580895876,2199.5938689116306,False,557.7878120243342,467.3236403309578,447.6704673446985,12.692960005137664,485.15982823180775,459.77390822153245,434.38798821125715,484.6733446592699,466.1719060019842,456.07000732421875,2022-07-20,SPY,492.29998779296875,490.82000732421875,379.0299987792969,SP500,Industrials,VIS,0.7824548946189978,0.4233647645864158,56.22998046875,0.10777218888666973,-4.433986391858244,0.812356217070306,3.1156654857282007,4.822930325580358
AZO,AZO,0.11658230532099664,0.0013136299956026942,1.128370605793363,2022-10-13,2157.996286571961,84,0.0013136299956026942,1.128370605793363,29474.689216421757,27662.818119543506,False,2793.553713853601,2152.6588017156982,2059.7008937527135,105.66373197293724,2276.507274969405,2065.1798110235304,1853.8523470776558,2245.2121573075547,2152.456525530134,2194.530029296875,2022-07-20,SPY,2267.39990234375,2267.39990234375,1612.3299560546875,SP500,Consumer Cyclical,VCR,0.9886434356278914,0.39223032347499837,466.0098876953125,0.9365902713073008,-6.808273965207177,0.8273068770179711,13.430980129201247,12.60534955104107
SCI,SCI,0.10989275585731599,0.0029833956162685915,1.3152986884378624,2022-08-25,67.38881795111992,35,0.0029833956162685915,1.3152986884378624,21.445146252639987,23.474663253935528,False,86.72250762639203,72.28133320269654,65.91399011187133,2.024671897278788,72.33446780128307,68.2851240067255,64.23578021216792,72.0202956121025,68.96714286198691,71.56999969482422,2022-07-20,MDYG,72.06999969482422,72.06999969482422,58.130001068115234,SP400,Consumer Cyclical,VCR,0.9205310367169449,0.3628665849699531,8.749996185302734,1.4217147485851827,-6.808273965207177,0.9171185132138002,0.2996387640643074,0.3279958551632237
MCK,MCK,0.09670409832019343,0.0010995255561339068,1.1063881378294333,2022-10-13,323.40247670456745,84,0.0010995255561339068,1.1063881378294333,469.55513549286366,766.3833438114998,False,397.3965665807749,326.0091161221965,310.86332385813967,8.640398751274176,338.32415741039495,321.0433599078466,303.76256240529824,336.0338183402109,323.4485710991753,326.6000061035156,2022-07-20,SPY,339.94000244140625,339.94000244140625,204.66000366210938,SP500,Healthcare,VHT,0.9987411837606528,0.4611756691291557,40.139984130859375,2.3731950031437528,-2.713170497072555,1.0090269755577999,1.437707062822401,2.346550304621229
XOM,XOM,0.09322105184397343,0.0010616158771781237,1.102540270345786,2022-10-13,88.10309286575236,84,0.0010616158771781237,1.102540270345786,117.63106167582319,129.19026103329438,False,113.92599241385213,83.43261945171113,81.86306991952365,5.720636294034605,101.44516594075941,90.0038933526902,78.56262076462099,91.38423169684229,86.62365080818297,89.23999786376953,2022-07-20,SPY,105.56999969482422,93.58999633789062,64.93000030517578,SP500,Energy,VDE,0.8375441729878313,0.516321766643041,24.87999725341797,0.14590022725662827,-0.5136781234473806,0.9721032535585902,1.3181428114262665,1.4476721663587602
PWR,PWR,0.0856982724952889,0.000979328623595066,1.0942335285704798,2022-10-13,114.9833186127534,84,0.000979328623595066,1.0942335285704798,204.24214015323335,177.89952144758158,False,162.8374300833633,127.07017501460025,117.97820956981992,6.733034562479209,135.08428937855464,121.61822025359623,108.15215112863781,134.14748070873293,126.06284513927642,132.3000030517578,2022-07-20,SPY,140.0399932861328,140.0399932861328,101.95999908447266,SP500,Industrials,VIS,0.9893317077260683,0.4256195672156524,25.600006103515625,0.5804695295168091,-4.433986391858244,0.9384586221052788,1.5437803132425527,1.3446675536204222
CSGS,CSGS,0.08144020490877683,0.001017318102408904,1.098060773276075,2022-10-06,60.594235533617585,77,0.001017318102408904,1.098060773276075,52.89865938752377,99.64767369326647,False,73.80977774610967,60.874796679783685,57.167713022788114,1.9957122406593228,63.51839849329994,59.526974011981295,55.53554953066265,62.13768376870028,59.652698395744196,62.040000915527344,2022-07-20,SLY,65.94999694824219,65.94999694824219,49.279998779296875,SP600,error,error,0.7568845896983393,0.45019503007337275,7.729999542236328,0.6390699047016517,error,0.8633470532576804,0.8526540716778797,1.606184271804656
CSL,CSL,0.07592199200392774,0.0011622298023006294,1.1127818531546962,2022-09-22,250.35526747584532,63,0.0011622298023006294,1.1127818531546962,361.98961820889593,268.5552124294236,False,315.59831989202104,256.09743830435866,229.96515500060832,9.751306285157732,269.92495320558487,250.42234063526942,230.91972806495397,262.55484370118364,246.25999935089598,263.739990234375,2022-07-20,MDYG,275.1300048828125,275.1300048828125,200.63999938964844,SP400,Industrials,VIS,0.9819717987177373,0.4405506766913223,43.02998352050781,0.9370201484886772,-4.433986391858244,1.1116684345183292,1.3725245757657398,1.0182574595182532
RGP,RGP,0.07028602153682414,0.0008089689747556861,1.077232290772119,2022-10-13,18.757133653365738,84,0.0008089689747556861,1.077232290772119,4.116948717140638,5.378707556069909,False,24.633616986790923,18.64894295502163,18.511953229151143,1.4437648681448085,21.274406803794985,18.386877067505367,15.49934733121575,21.53439600868445,20.023174618917796,20.139999389648438,2022-07-20,SLY,20.15999984741211,20.15999984741211,16.5,SP600,Industrials,VIS,0.7421096029967942,0.37534835898697594,4.740001678466797,0.7594930800289402,-4.433986391858244,1.8630091057606302,0.20441652641045605,0.26706592448232436
ACC,ACC,0.06867770935651668,0.000791051985918001,1.075459500703043,2022-10-13,62.52280955221049,84,0.000791051985918001,1.075459500703043,38.89368090420166,46.21100593479009,False,79.22220050866056,61.313153145541776,64.15746171920159,0.2594145278235292,65.22311472270319,64.70428566705613,64.18545661140907,65.3298411517759,64.74365143548874,65.19999694824219,2022-07-20,MDYG,65.22000122070312,65.0199966430664,51.09000015258789,SP400,error,error,0.9796696398180138,0.43236835481577784,1.3800010681152344,10.340566509748202,error,1.3510690304538246,0.5965288761451429,0.7087577929102334
MUSA,MUSA,0.06451263035458034,0.0007445278607480788,1.0708696517811485,2022-10-13,247.45890733711516,84,0.0007445278607480788,1.0708696517811485,393.0811587915829,365.20605345665524,False,327.9780882230772,257.0823147254311,215.72179058619994,12.860006444476204,269.05827384234095,243.33826095338853,217.61824806443613,282.39915784199945,249.0604742140997,271.5,2022-07-20,MDYG,262.5799865722656,262.5799865722656,159.0,SP400,Consumer Cyclical,VCR,0.9985579348433948,0.41651826447908696,60.16999816894531,2.1661962908740673,-6.808273965207177,1.237509519155207,1.4478127395638412,1.3451420016819715
OXY,OXY,0.06308281104919512,0.0007285152321738764,1.0692944082662341,2022-10-13,58.186053572492376,84,0.0007285152321738764,1.0692944082662341,109.6564035857952,98.71496677014515,False,97.15319848982261,47.895901128826665,55.33187197718393,4.634176072615541,70.81299507806237,61.544642932831295,52.27629078760021,62.92558811744963,59.12873004731678,63.54999923706055,2022-07-20,SPY,74.04000091552734,69.16999816894531,33.5,SP500,Energy,VDE,0.7778382608723632,0.5380185346949654,19.740001678466797,0.7061802148636749,-0.5136781234473806,1.222241447648978,1.7255138458262438,1.5533433195161614
PPC,PPC,0.055060783158307355,0.0006963251743121734,1.066134640762094,2022-10-06,25.32654562786715,77,0.0006963251743121734,1.066134640762094,29.7862090355283,30.11849426587387,False,38.37928967913371,28.322951676637228,29.342694671182475,1.711539009685171,33.65295876103468,30.229880741664342,26.806802722294,31.966193900420482,30.65444428580148,31.170000076293945,2022-07-20,MDYG,34.65999984741211,30.559999465942383,26.280000686645508,SP400,Consumer Defensive,VDC,0.360975727592422,0.5583295438933407,5.590000152587891,0.3595706930260648,-2.7093031611425995,0.9559401350391326,0.9556050356952654,0.9662654537104161
UNH,UNH,0.049739664379604455,0.000578050277437514,1.0546039155188494,2022-10-13,511.72349849601267,84,0.000578050277437514,1.0546039155188494,993.8613408262422,985.549387940573,False,592.1491920480636,500.4633128625682,483.02350476433935,18.503651161792508,535.4416667635342,498.43436443994915,461.42706211636414,535.4174461440188,509.22047545417905,519.469970703125,2022-07-20,SPY,553.2899780273438,553.2899780273438,425.9800109863281,SP500,Healthcare,VHT,0.9826486527917555,0.3018017394488688,84.3499755859375,0.3064606111476928,-2.713170497072555,1.3779208759365345,1.9132219317336245,1.8972210975094275
PSB,PSB,0.04693705026157771,0.0005462063326495681,1.0515205546452513,2022-10-13,178.4690213878805,84,0.0005462063326495681,1.0515205546452513,352.36246711290084,309.52184918280057,False,216.11365418766408,176.1784115702614,186.34866650380204,3.2082690276352377,192.80653895868767,186.3900009034172,179.9734628481467,187.7678418589832,187.0582541813926,187.44000244140625,2022-07-20,MDYG,189.8300018310547,189.8300018310547,165.85000610351562,SP400,error,error,0.8371255572773364,0.48242966346144905,2.8199920654296875,5.961008814410397,error,3.62362023989637,1.8798680245592152,1.6513115938501821
LLY,LLY,0.04530444282244203,0.0012667495311808885,1.12352066405253,2022-08-25,296.29173070399986,35,0.0012667495311808885,1.12352066405253,747.4638967906852,650.4155522240814,False,373.58562675386236,304.2885292028296,305.2923543605155,15.597114908688884,336.58216563745776,305.38793582008,274.1937060027022,339.6197075426964,322.45603095160595,322.0299987792969,2022-07-20,SPY,324.0799865722656,314.0,239.6999969482422,SP500,Healthcare,VHT,0.9930040333761483,0.40870859800422193,52.220001220703125,1.6911147214292184,-2.713170497072555,0.801584240952467,2.321100206887742,2.0197359087339044
GO,GO,0.042253278263623656,0.002960443708644789,1.3125324784594368,2022-08-04,42.557882762652795,14,0.002960443708644789,1.3125324784594368,35.9237524030603,34.91202352061062,False,52.15965167958111,41.89273840755644,41.06010570225767,4.238828524544822,47.08944293776152,38.611785888671875,30.13412883958223,46.01097373354497,43.53553971790132,45.119998931884766,2022-07-20,MDYG,42.0,37.81999969482422,36.77000045776367,SP400,Consumer Defensive,VDC,0.2805859276184598,0.4278328520866667,9.260002136230469,2.0269970100360295,-2.7093031611425995,1.08094195121913,0.7961824745894266,0.7737594048553817
SJI,SJI,0.028580379503085146,0.00033552745798171024,1.0313445596543265,2022-10-13,31.971139173736553,84,0.00033552745798171024,1.0313445596543265,18.163606633500816,13.803207425254811,False,40.4605173141135,30.496710007712878,33.70429659242215,0.3330448904965902,34.62942783062445,33.96333804963127,33.297248268638086,34.342687520029784,34.02349205622597,33.91999816894531,2022-07-20,SLY,35.31999969482422,35.31999969482422,29.239999771118164,SP600,error,error,0.2157849505789856,0.427131241826702,1.6199989318847656,1.1604917195112474,error,0.6228147543512994,0.5354837150354004,0.4069342031360139
GIS,GIS,0.02324686632255124,0.0006568091450322999,1.0622683831341733,2022-08-25,70.53500299673283,35,0.0006568091450322999,1.0622683831341733,16.93956335768486,18.00499082213886,False,81.75067473653795,68.8032101936313,67.63036987184152,3.1204380123969018,76.8376249823521,70.59674895755829,64.35587293276448,79.18946548824654,73.40991768004403,73.4000015258789,2022-07-20,SPY,73.98999786376953,73.98999786376953,64.6500015258789,SP500,Consumer Defensive,VDC,0.9448060537141556,0.42058726716073713,12.0,0.6308339436848959,-2.7093031611425995,1.1685277191329333,0.2307842371326439,0.24529959738203516
SAFM,SAFM,0.02222600698891084,0.0003926236493725366,1.0367743290759346,2022-09-15,180.70030925516758,56,0.0003926236493725366,1.0367743290759346,828.3846130319394,989.3687469712461,False,237.0601464237162,193.19468751169353,207.5548954354379,11.25324360965145,223.55577316852552,201.04928594922262,178.54279872991972,220.12796298625108,213.8414292108445,209.25,2022-07-20,MDYG,214.8300018310547,200.0,195.25,SP400,Consumer Defensive,VDC,0.7155931425308826,0.4767252026442111,31.990005493164062,0.5523599604483097,-2.7093031611425995,1.6419568272254197,3.958827302422649,4.72816605482077
DLTR,DLTR,0.02175763494493991,0.0002562746881549227,1.0238543198216288,2022-10-13,150.03011361656775,84,0.0002562746881549227,1.0238543198216288,426.10374996619606,354.3499696551866,False,205.56511630935006,153.22722249876207,149.80003489789507,10.32188718625792,179.4270688080472,158.78329443553136,138.1395200630155,174.69710952872325,162.24857221330916,173.32000732421875,2022-07-20,SPY,177.19000244140625,177.19000244140625,120.37000274658203,SP500,Consumer Defensive,VDC,0.7923093867914353,0.43305066162168143,47.409996032714844,0.9535966700369465,-2.7093031611425995,0.777067742195558,2.458479875142809,2.0444839296153883
SAFT,SAFT,0.02128209615156491,0.0006018609027311772,1.0569152742387005,2022-08-25,86.7165919967876,35,0.0006018609027311772,1.0569152742387005,80.30609095368294,75.26238581597111,False,103.54489043729136,87.84712543968561,90.12685053676142,4.41391470752917,99.43922393395599,90.61139451889764,81.7835651038393,99.90013354178211,95.01349203927177,92.91000366210938,2022-07-20,SLY,94.4800033569336,93.18000030517578,87.9800033569336,SP600,error,error,0.45423173919326637,0.42328132467836527,12.519996643066406,0.24680549487179018,error,1.0638735372207948,0.8643427810608668,0.8100568598585114
MLI,MLI,0.015991518531454745,0.00018888689901919165,1.017527793780581,2022-10-13,56.43635478818054,84,0.00018888689901919165,1.017527793780581,39.45744258379522,30.229140296880708,False,75.781208433685,52.7147653058514,48.53091779181387,2.3942865991671707,59.08873194120873,54.30015874287439,49.51158554454005,58.74241604530172,53.63666691855779,62.54999923706055,2022-07-20,SLY,63.06999969482422,63.06999969482422,48.060001373291016,SP600,Industrials,VIS,0.9466268669168905,0.4465130323817826,13.319999694824219,1.0097595537835096,-4.433986391858244,1.1330293960720297,0.6308144374911022,0.48327962694794246
VRTX,VRTX,0.014443590972964892,0.00034149343730804915,1.0319105975605711,2022-09-01,258.43988437705525,42,0.00034149343730804915,1.0319105975605711,1941.3618933738226,1808.650630427423,False,320.5260787040783,258.7669986962372,272.97093221725584,15.497484210012708,300.944811811565,269.94984339153956,238.95487497151413,298.61700878596844,285.79397050161214,285.5,2022-07-20,SPY,292.75,292.75,234.5800018310547,SP500,Healthcare,VHT,0.5300367030783927,0.4318781162609901,53.66999816894531,0.6785913808735465,-2.713170497072555,0.9605042786514322,6.799866526703407,6.3350284778543715
LRN,LRN,0.011465757087969096,0.0016299731726567845,1.1616430799660131,2022-07-28,36.33505944291018,7,0.0016299731726567845,1.1616430799660131,71.96149022982462,92.47320492200393,False,59.13087592070985,34.17488735376302,34.62887763584742,2.4148484030438566,43.04644277304444,38.21674596695673,33.38704916086902,45.01112248041002,39.82000005812872,44.16999816894531,2022-07-20,SLY,41.84000015258789,41.20000076293945,35.86000061035156,SP600,Consumer Defensive,VDC,0.3820148236059039,0.4950996943533265,10.730003356933594,1.2684052863937292,-2.7093031611425995,1.676565403786955,1.6291938694355375,2.093575022763285
BANF,BANF,0.007433920222228271,8.817561127605344e-05,1.0081447883914259,2022-10-13,75.96385165838478,84,8.817561127605344e-05,1.0081447883914259,298.0268943686342,224.27773526473646,False,111.19911892581504,76.56042513922081,88.78113584300411,5.713170907933254,100.86006120867327,89.43371939280676,78.00737757694026,100.75487950104042,94.76800767202226,91.04000091552734,2022-07-20,SLY,96.98999786376953,86.81999969482422,77.37999725341797,SP600,Financial Services,VFH,0.9158449520775344,0.5359974128718753,17.830001831054688,0.6690974037810642,-4.499999705656054,1.4785134155125867,3.273581847227378,2.4635076121411235
DGII,DGII,6.654219778152109e-05,8.641560089728273e-07,1.0000795054788674,2022-10-06,21.686978926576735,77,8.641560089728273e-07,1.0000795054788674,25.185516161624022,29.760473699637796,False,34.97263929446457,20.9646692265831,22.35456545072954,2.0983706950705465,26.70848740311639,22.511746012975298,18.315004622834206,25.84511687581436,24.09984116327195,26.8700008392334,2022-07-20,SLY,26.030000686645508,25.6299991607666,25.610000610351562,SP600,Technology,VGT,0.9044990783826878,0.4363707694191178,6.670000076293945,0.5007499282957025,-5.111110020808427,1.1047054771492588,0.937309839039907,1.1075724886537393
Y,Y,-0.0005017294016554074,-1.4338620342946307e-05,0.9986817071833574,2022-08-25,756.7282478632461,35,-1.4338620342946307e-05,0.9986817071833574,10077.776802323382,11073.205606386939,False,922.6998480352594,760.13695025529,830.9886766290035,2.223340062972387,838.0892577665388,833.642577640594,829.1958975146492,835.8640155057931,833.4263460673983,835.0,2022-07-20,MDYG,862.8699951171875,862.8699951171875,737.8900146484375,SP400,Financial Services,VFH,0.47417740933522945,0.4660300544946764,9.22998046875,4.482132465746178,-4.499999705656054,1.3534363307881803,12.069193775237583,13.261324079505316
CNC,CNC,-0.0026569511466599423,0,1,2022-07-21,84.61941805507954,0,0,1,104.62752219687881,113.41604618724143,False,99.8910528244951,81.10122517390572,80.34443889028388,3.420362031317188,90.03699414247417,83.19627007983979,76.35554601720541,91.07461008510056,85.70952448769222,90.16000366210938,2022-07-20,SPY,89.91999816894531,89.91999816894531,75.58999633789062,SP500,Healthcare,VHT,0.5871992931875002,0.39049251601975543,16.76000213623047,0.8979723384409908,-2.713170497072555,0.8445760834246707,1.1604649284286748,1.2579418986304416
GCP,GCP,-0.0060935503832818105,-0.0008727891589762615,0.9228102326650678,2022-07-28,28.72523063547112,7,-0.0008727891589762615,0.9228102326650678,15.965031019731837,21.021662018603735,False,36.98911171775182,26.930089693415592,31.028755974661447,0.30305232377664115,31.826025267638983,31.219920620085702,30.61381597253242,31.972831302705554,31.5007936386835,31.65999984741211,2022-07-20,SLY,32.279998779296875,32.279998779296875,27.780000686645508,SP600,error,error,0.18307064987610128,0.45758564354462516,1.1700000762939453,2.2564112178175693,error,1.794016022688098,0.504265037797744,0.6639817473126756
FCN,FCN,-0.010835428796483125,-0.0003890157273699346,0.9648367045425195,2022-08-18,168.18528703362574,28,-0.0003890157273699346,0.9648367045425195,278.1463023355237,323.23479921635027,False,202.58830197145082,169.81020641044506,167.9670932591708,9.774114370274976,189.71882400044345,170.1705952598935,150.62236651934356,195.0113196717568,181.4892064654638,187.60000610351562,2022-07-20,MDYG,172.69000244140625,170.64999389648438,147.3800048828125,SP400,Industrials,VIS,0.9759011733992277,0.40100389229113903,30.55999755859375,2.3586394911073607,-4.433986391858244,0.9187759425017956,1.482656147580537,1.7229999397654223
GPC,GPC,-0.018849252941618978,-0.0002265120148517985,0.9793742164955649,2022-10-13,124.54045102585216,84,-0.0002265120148517985,0.9793742164955649,220.15487235464664,167.5428927710502,False,155.79389244368613,124.00343352037065,129.96765527913186,3.6836524603016074,141.452216206488,134.0849112858848,126.71760636528158,141.88662909819328,135.92714218866257,142.52000427246094,2022-07-20,SPY,142.97000122070312,142.97000122070312,135.92999267578125,SP500,Consumer Cyclical,VCR,0.8617782002556986,0.44329292805964815,15.699996948242188,0.3624215800138981,-6.808273965207177,1.0166820544314308,1.5447296221923217,1.1755745702249072
MGPI,MGPI,-0.023565009424559132,-0.0002838538105607302,0.9742198738624852,2022-10-13,90.9796495993397,84,-0.0002838538105607302,0.9742198738624852,129.9880278062832,93.30123472219076,False,121.61660991129186,83.93300331561157,91.6856134763709,4.171348184488835,104.30293347844955,95.96023710947188,87.6175407404942,107.44803801482455,99.56682574559773,103.87999725341797,2022-07-20,SLY,104.0,104.0,76.68000030517578,SP600,Consumer Defensive,VDC,0.8501953867208322,0.4742900244503907,19.25,1.4005190366274352,-2.7093031611425995,1.338726520933166,1.251328756672702,0.8981636233064192
CCRN,CCRN,-0.025573736470902747,-0.00030836231382791457,0.972025045587701,2022-10-13,19.802573241233485,84,-0.00030836231382791457,0.972025045587701,44.06387812589714,54.34138538704213,False,37.632375553011,21.857610763520842,16.25008380281971,3.1165947233875255,25.711959203273842,19.478769756498792,13.245580309723742,28.713725800916805,22.481904801868257,29.399999618530273,2022-07-20,SLY,30.399999618530273,30.399999618530273,18.899999618530273,SP600,Healthcare,VHT,0.9636507659670968,0.42466593236957667,13.229999542236328,0.6424792361378423,-2.713170497072555,1.7991034311131087,1.498771384273233,1.8483464657187194
HUM,HUM,-0.0376316031968038,0,1,2022-07-21,429.33361168312126,0,0,1,2439.029544141215,2936.148281799608,False,516.0458972148624,418.73653128076114,445.6917507645067,19.424410365632852,489.1080922621437,450.259271530878,411.41045079961225,498.42720191096447,472.0594763377356,483.69000244140625,2022-07-20,SPY,472.67999267578125,472.67999267578125,472.67999267578125,SP500,Healthcare,VHT,0.7232412972037718,0.30950402551801026,78.76998901367188,0.4193225073465743,-2.713170497072555,1.137309278668415,5.042546945006738,6.07031004771551
ACHC,ACHC,-0.04066052005382502,-0.005912491030024558,0.5795150831410145,2022-07-28,63.16377247984333,7,-0.005912491030024558,0.5795150831410145,264.3165571904815,226.74529662262466,False,94.94225674441037,58.48757562781537,65.59874931128132,2.9788893464039217,76.06932664730662,70.11154795449877,64.15376926169093,77.9237908266,71.76127006894066,77.0,2022-07-20,MDYG,76.69000244140625,76.69000244140625,68.0,SP400,error,error,0.8980319468997273,0.4751702502706442,14.450000762939453,0.6657435715754646,error,1.0252856319524968,3.432682560915344,2.9447441119821387
SNEX,SNEX,-0.04106239658966361,0,1,2022-07-21,76.36970792448867,0,0,1,64.08231117616994,46.726622948152716,False,92.86433520291062,68.36417172540109,70.71726462107372,3.970816531617355,82.36901409433163,74.42738103109693,66.48574796786222,83.88559293837258,77.30142877972315,83.7300033569336,2022-07-20,SLY,81.05000305175781,77.5,70.47000122070312,SP600,error,error,0.8596152202938576,0.37075330515175386,15.290000915527344,1.4499675912920122,error,1.1469985854793325,0.7653446626891046,0.5580630726713489
