,^GSPC,ES=F,NQ=F,YM=F,RTY=F,PA=F,LBS=F,UUP,ZO=F,SIL=F,CT=F,MGC=F,JPY=X,NG=F,HG=F,GC=F,ZL=F,KE=F,^IRX,ZS=F,KC=F,ZR=F,HO=F,ZC=F,RB=F,ZM=F,HE=F,CL=F,BZ=F,ZB=F,LE=F,SB=F,CC=F,GF=F,SI=F,ZN=F,ZF=F,DTB3,PL=F,EURUSD=X,OJ=F,ZT=F,AUDUSD=X,GBPUSD=X,BRLUSD=X,B0=F,trending
^GSPC,1.0,0.9999613140382825,0.9906236433133553,0.9875148172712387,0.9027845961214496,0.8743676625664891,0.824307871400533,0.7601330699913024,0.7313368395408685,0.6855831210220258,0.6541439409276484,0.6396730189739666,0.6192609542286707,0.5848055260113528,0.5289311425720736,0.5282030671931824,0.5046767549287319,0.4354926843015488,0.352526495436553,0.3510951952310738,0.3411318779645374,0.298346412975533,0.29283065326635216,0.28930509389701387,0.2694499583861156,0.26825329003038895,0.2372704283276023,0.19151635193398053,0.10364701179011716,0.022910834259122523,0.00902211825512468,-0.06592706409876752,-0.10805511853192087,-0.11779179896726219,-0.1274067446732763,-0.37814004205223806,-0.5163348760152036,-0.5210766393026586,-0.5479726166275829,-0.5647183079451591,-0.5798317085154536,-0.5901975534675001,-0.6268364990695441,-0.6764970258521246,-0.7912914995653233,,
ES=F,0.9999613140382825,1.0,0.9904818226320916,0.9880018947777586,0.9036234279255021,0.8741743753007877,0.8240637548734898,0.7604205381830245,0.7312290621885978,0.6835206705198286,0.6546503127800737,0.6397227635303957,0.6208021320831202,0.5868767253392887,0.5287573263337209,0.5286266123890477,0.5056510343426197,0.4366010079795817,0.3581652720675229,0.3524576091495721,0.34213641050648497,0.30060828790634836,0.295835064148659,0.2904609297711327,0.27225890878037534,0.2702168606504979,0.24019184943129002,0.1943322879268279,0.10651247413931378,0.01889607821811108,0.009373652570649054,-0.06506905715659948,-0.11095868572451258,-0.11694831540528357,-0.12794485003250466,-0.38238988084545045,-0.5204411583611429,-0.5177562357349791,-0.5491045245484932,-0.5662883778781156,-0.5740456409310494,-0.5943903687836408,-0.6273957068376623,-0.6786004880186686,-0.7916009095842959,,
NQ=F,0.9906236433133553,0.9904818226320916,1.0,0.9698137554717057,0.8479216682002795,0.9036491511740081,0.831545208780289,0.7490985265404553,0.7572213159918103,0.6863477255425969,0.6640681727228163,0.653050584226798,0.5558984188737178,0.5777062613369925,0.566137719763181,0.6085661875627838,0.5424676773600201,0.46733311074557243,0.2869602237468186,0.38798185985738837,0.3807027983465216,0.36799509905677114,0.3044955354252097,0.3367832119765627,0.2796276580598547,0.2853846340985282,0.258511300340008,0.2065502869396641,0.12502153383935374,0.06281709361347926,-0.02623956333543118,-0.01633673440244602,-0.1515174151147703,-0.15676945520396596,-0.05041260261759924,-0.2920177937613981,-0.4292644740805634,-0.6314072383334982,-0.5094232289634322,-0.5323601291565085,-0.6956613687464247,-0.5217684834023607,-0.5874123064153373,-0.6621533893287249,-0.7668321036960739,,
YM=F,0.9875148172712387,0.9880018947777586,0.9698137554717057,1.0,0.942773206349039,0.8664016227554526,0.782829464728185,0.7551729818030026,0.6734501528859047,0.6044958005798704,0.6174902284441006,0.6119886946486166,0.5969555057088848,0.5506923630340268,0.49062281622367293,0.48787029318428293,0.4370292580459998,0.3736514597516106,0.4859112591756327,0.2867321434850778,0.25730392167584115,0.2461384924289519,0.2720722694122991,0.23737094869133818,0.23743849134217376,0.22689968516190037,0.17660605008461852,0.1686749362830761,0.08968380406654135,-0.01476979887289018,-0.0605864143265527,-0.1291401656277737,-0.18386776514636952,-0.17572077980731704,-0.1724071774474883,-0.43659449325061833,-0.5866628423176767,-0.3886055458604847,-0.5910433459821797,-0.550504941176717,-0.553164007990927,-0.674340387942451,-0.6417401784386252,-0.7266052458840531,-0.7886832614958894,,
RTY=F,0.9027845961214496,0.9036234279255021,0.8479216682002795,0.942773206349039,1.0,0.4280066688601847,0.7963055485807405,0.08938435161224972,0.819929639234723,0.8322990211263495,0.7964264451912543,0.5721041943018905,0.466057664231273,0.6599475314487881,0.9143697154769532,0.5726807772762542,0.7833226530527834,0.6879007918248281,-0.29614062866632346,0.7684007456631701,0.8076254357680638,0.4628055968063998,0.6960709939516563,0.742461575109016,0.7366513944412157,0.677873158407885,0.7392562427327909,0.7925082699449082,0.7802162499506543,-0.36736907630996923,0.7685108336587897,0.8704365716540673,0.46845697186281376,0.7501703306386618,0.8322990211263495,-0.2744165638751294,-0.20221939016636792,-0.29998607214042977,0.8188925353327364,-0.08196045158914517,-0.7341829824337864,-0.1245237742381401,0.4538120351990667,0.3732108809440979,-0.376007816964927,,
PA=F,0.8743676625664891,0.8741743753007877,0.9036491511740081,0.8664016227554526,0.4280066688601847,1.0,0.7381462831645909,0.7219493954091335,0.6900375787221819,0.598178462415406,0.533728427559203,0.6511976574281999,0.3809732433256551,0.44606556915925877,0.5184135797027944,0.7116642413606322,0.471671936251642,0.43954394051691903,0.25417555425268745,0.3457692194614324,0.3030972144395887,0.45191273008303784,0.2756381275475132,0.3259259324749159,0.2214919303363755,0.2684563427120559,0.22411098489969158,0.1743233058503778,0.12357656217903215,0.16889939734852524,-0.15531432772331952,-0.058381101123036405,-0.28415198700118455,-0.26022231112395733,0.030289444147559148,-0.0852594432360579,-0.2517560802331672,-0.7067059396312245,-0.42808802108342425,-0.4327751556198513,-0.3382053508489572,-0.3988716404670684,-0.5153738984017756,-0.6536686171906226,-0.6614428705609499,,
LBS=F,0.824307871400533,0.8240637548734898,0.831545208780289,0.782829464728185,0.7963055485807405,0.7381462831645909,1.0,0.4210132934414824,0.8227588516505536,0.7825206084878306,0.772500745910335,0.5870957384674688,0.3336581340278885,0.5646319869808429,0.7537138971978247,0.6434244758538836,0.7089940567091872,0.6336623120926096,0.09459080834427434,0.6229500677295682,0.5723405262154649,0.4823842241603986,0.5038508453543864,0.5412317981885559,0.49723147951205837,0.5624435327160978,0.44018283819734977,0.4640330829638112,0.391494627313368,-0.1387289586770322,0.17737813162503016,0.21144052495164442,-0.08919452535616071,-0.06287172527789547,0.23075743918597705,-0.30127533497109243,-0.3574901362102138,-0.4864153088303182,-0.1463354257443106,-0.24106415592533906,-0.43379823353571906,-0.4021932452743351,-0.24235905080639905,-0.3503736314561048,-0.4569324358689698,,
UUP,0.7601330699913024,0.7604205381830245,0.7490985265404553,0.7551729818030026,0.08938435161224972,0.7219493954091335,0.4210132934414824,1.0,0.3747760071909356,0.152986892921583,0.2840665163400728,0.4745659714915786,0.7326121394468336,0.31231746697523227,0.038199623153543374,0.28470617503012635,0.20085921856564304,0.14941439002940174,0.3649695130363223,0.0020258354598271127,0.04132969515819777,0.061066688257595904,-0.04984969054462206,0.033959375657491804,-0.08397965535903808,-0.12083822944712884,-0.0651080784023252,-0.2223876524205374,-0.29548721086752605,0.3270248985938761,-0.16340932336174332,-0.2917426213634848,-0.09683718124156221,-0.1646266262503329,-0.4213880727753061,-0.20419280527238942,-0.4115676147102222,-0.30628411501991176,-0.7882864279669091,-0.9048316687701478,0.7611395511462697,-0.5236265193509908,-0.8510172771732111,-0.8310293776274849,-0.8773504428831554,,
ZO=F,0.7313368395408685,0.7312290621885978,0.7572213159918103,0.6734501528859047,0.819929639234723,0.6900375787221819,0.8227588516505536,0.3747760071909356,1.0,0.7969905266432374,0.8713502410810655,0.5658822444288433,0.2797624778221372,0.8153519393504988,0.8861184435310979,0.7536199964461755,0.8886897390565385,0.8657394465913216,0.004816857124802641,0.8274468619064758,0.7492508870301187,0.7193890900083658,0.7663111705889704,0.7815921908935144,0.742335865256399,0.6684548146336642,0.712030864417438,0.6986905583790782,0.646987600268937,-0.33831442743651796,0.29926853386960134,0.3930849883651971,-0.18045387294012144,0.08300325237613414,0.4155759852394435,-0.29837183386793575,-0.2986483450187886,-0.4321859885221869,0.07497347890688046,-0.129128982809851,0.07826656753123491,-0.3283653734158146,-0.0397962456319615,-0.21193715729715976,-0.27260587754466814,,
SIL=F,0.6855831210220258,0.6835206705198286,0.6863477255425969,0.6044958005798704,0.8322990211263495,0.598178462415406,0.7825206084878306,0.152986892921583,0.7969905266432374,1.0,0.7514093024738174,0.7789806884930397,0.08929812135469563,0.6447315586038977,0.8327742167487786,0.7796541654885563,0.8114644190637313,0.7476098546261798,-0.20897911270332697,0.8359867837707189,0.7406094693200552,0.622443458372196,0.6876096544720265,0.7490405753093342,0.699995082730765,0.7397031891137621,0.644119634062973,0.7252231352025188,0.6933217482939668,-0.1912566088068242,0.19057623687561845,0.6798315520901494,-0.11612020951410482,-0.009245996102628377,0.9999998641469148,-0.06910361448353036,-0.04686083576130803,-0.5626261936129207,0.4023734138515251,0.09122105408152424,-0.3549378990644793,-0.06429605138391024,0.22509544766414047,-0.11102277488938289,-0.17812522949172557,,
