,Date,buy_volume_pct,sell_volume_pct,daily_buy_vol,daily_sell_vol,net_daily_vol,20td_trend_vol,20td_tot_daily_vol,20td_trend_vol_factor,20td_tvf_rng_div_2,20td_tvf_vel,50td_trend_vol,50td_tot_daily_vol,50td_trend_vol_factor,50td_tvf_rng_div_4,50td_tvf_vel,MIN_Lookback_One_Year,MIN_Lookback_2_Months,MIN_Lookback_1_Months,risk_trend_factor,risk_per_share,volume_factor,Adj Close,50tdBOLD,50tdMA-TP,50tdBOLU,200tdSMA,200tdSDev,adf_50td,tau_50td,tau_50td_p,hurst_50td,sector_50td_tvf_vel,sector_20td_tvf_vel,sector_risk_trend_factor,Sector,Sector Symbol,Market Index,Index Symbol,shortName,beta,currentRatio,debtToEquity,dividendRate,dividendYield,earningsGrowth,earningsQuarterlyGrowth,ebitda,ebitdaMargins,exDividendDate,forwardEPS,forwardPE,freeCashflow,grossMargins,grossProfits,heldPercentInstitutions,industry,lastDividendDate,lastDividendValue,lastSplitDate,lastSplitFactor,marketCap,operatingCashflow,operatingMargins,payoutRatio,pegRatio,priceToBook,priceToSalesTrailing12Months,profitMargins,quickRatio,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,sharesOutstanding,shortRatio,totalAssets,totalCash,totalCashPerShare,totalDebt,totalRevenue,trailingEPS,trailingAnnualDividendRate,trailingAnnualDividendYield,trailingPE
MEDP,2022-08-09 00:00:00,0.627168649726135,-0.37283135027386505,156729.44556656113,-93170.55443343887,63558.89113312226,2683847.842946898,7162500.0,0.37470825032417426,0.05949967600179573,6.297651945413373,2683847.842946898,7162500.0,0.37470825032417426,0.029749838000897866,12.595303890826745,196.1199951171875,231.0,231.0,-3.6998634710727694,40.71501159667969,1.355564813617082,169.16000366210938,132.36199857123077,151.67648610432943,170.99097363742808,170.32699958801268,29.852226759834345,0.7325110816989384,0.6195918367346939,2.1682181847554663e-10,,1.8513496969317687,0.9256748484658843,-5.919734597929442,Healthcare,VHT,SP400,MDYG,"Medpace Holdings, Inc.",1.430395,0.374,142.434,,,0.377,0.236,254459008,0.19783,,error,32.23905,226388624,0.61981,701287000,0.91226995,Diagnostics & Research,error,,,,6349378560,286121984,0.18115,0,1.85,7.0336013,4.93626,0.1627,0.305,0.10457,0.36873,0.262,36.965,35939200,7.86,,42551000,1.373,403447008,1286273024,error,,,36.57764
CCSI,2022-08-09 00:00:00,0.518692021932733,-0.48130797806726705,40872.93132829936,-37927.06867170065,2945.8626565987142,481029.0754765263,1434600.0,0.3353053641966585,0.05984584209159749,5.602818048469507,481029.0754765263,1434600.0,0.3353053641966585,0.029922921045798745,11.205636096939013,,,,,20.139999389648438,,56.2400016784668,37.94966800571889,48.03246002197265,58.115252038226416,55.24605007171631,6.18258554155603,0.9697239472267152,0.5732952703335296,4.296977455829666e-09,,error,error,error,error,error,SP600,SLY,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
FICO,2022-08-09 00:00:00,0.7107421341348074,-0.28925786586519264,116846.00685176233,-47553.99314823767,69292.01370352466,1519100.9371378813,3466800.0,0.43818534012284566,0.07844388222296811,5.585972133267856,1519100.9371378813,3466800.0,0.43818534012284566,0.039221941111484054,11.171944266535712,531.030029296875,531.030029296875,531.030029296875,-1.0015692019311007,121.16000366210938,0.7282503484256536,490.5799865722656,364.46626862321045,423.83333374023437,483.2003988572583,425.4057000732422,44.140120446470625,0.9265711829066527,0.603265306122449,6.344312763871137e-10,,3.200757643343544,1.600378821671772,-5.320049373014406,Technology,VGT,SP400,MDYG,Fair Isaac Corproation,1.20051,1.26,,,,0.695,0.52,514279008,0.38029,1488326400,error,29.917013,432562240,0.78141,984074000,0.89778,Software—Application,error,,1078963200,3:2,13709566976,439831008,0.36409,0,2.11,,10.137835,0.31520998,1.169,0.20073,,0.078,49.155,27358400,5.02,,174219008,6.718,1842035968,1352317056,error,0,0,37.396267
ECL,2022-08-09 00:00:00,0.2675424800733488,-0.7324575199266512,202529.65741552503,-554470.342584475,-351940.6851689499,5587702.175349102,19972500.0,0.2797697922317738,0.05234551177636207,5.34467584206734,5587702.175349102,19972500.0,0.2797697922317738,0.026172755888181035,10.68935168413468,230.0,238.92999267578125,238.92999267578125,-8.687055961837261,25.17999267578125,0.9268869740628057,163.0399932861328,146.41080198777524,159.33226674397784,172.25373150018044,187.30603157043458,28.95740211493438,0.36522232751423245,0.17075169097346357,0.08039866174792797,,1.9994331788909132,0.9997165894454566,-4.365413452174497,Basic Materials,VAW,SP500,SPY,Ecolab Inc.,1.022773,1.289,129.063,2.04,0.0125,0,-0.008,2727699968,0.20156,1663545600,error,29.279589,919724992,0.39265,5211200000,0.90388,Specialty Chemicals,1655424000,0.51,1055116800,2:1,48647618560,1756099968,0.13566,0.5248,2.79,6.858176,3.59482,0.081709996,0.776,0.05781,0.16186,0.132,47.292,284988992,1.96,,124900000,0.438,9187200000,13532699648,error,2.01,0.012328263,44.56919
DTE,2022-08-09 00:00:00,0.8979582303971434,-0.1020417696028566,895533.7431750711,-101766.25682492889,793767.4863501422,5075068.215676648,16317900.0,0.3110123371068978,0.06812603489773925,4.565249358394976,5075068.215676648,16317900.0,0.3110123371068978,0.03406301744886962,9.130498716789951,123.77021026611328,140.22999572753906,140.22999572753906,-0.3537736777771397,18.600006103515625,0.7300508981241943,132.5500030517578,116.74791599924322,126.07600021362305,135.40408442800288,123.20548484802246,7.799410782422845,0.05967646221913052,0.028594780785029784,0.7696822829269577,,1.976868940332863,0.9884344701664315,-0.9112474084640076,Utilities,VPU,SP500,SPY,DTE Energy Company,0.601057,0.594,223.546,3.54,0.0273,-0.793,-0.793,2601999872,0.14566,1663286400,error,21.060509,-1585124992,0.19112,3336000000,0.74597,Utilities—Regulated Electric,1655337600,0.885,1625097600,1175:1000,25623521280,2287000064,0.085710004,0.855,5.48,2.988521,1.4344467,0.042659998,0.323,0.02104,0.074439995,0.63,92.554,193736000,2.35,,67000000,0.346,19178000384,17863000064,error,3.48,0.026254244,32.49631
UCBI,2022-08-09 00:00:00,0.9803953834531351,-0.019604616546864833,776080.9855415018,-15519.014458498203,760561.9710830036,3352335.76482437,9720900.0,0.3448585794344526,0.07648240573357806,4.508992311718686,3352335.76482437,9720900.0,0.3448585794344526,0.03824120286678903,9.017984623437371,36.66999816894531,39.31999969482422,39.31999969482422,-1.734214168100446,6.809999465942383,0.8937858957752499,34.5,28.10832450370022,31.305382550557457,34.5024405974147,33.61793574333191,2.65296737116411,0.947030129322958,0.5279938581830607,6.507454662274693e-08,,1.6473012171520038,0.8236506085760019,-5.144839537215072,Financial Services,VFH,SP600,SLY,"United Community Banks, Inc.",1.046828,,,0.84,0.0247,-0.221,-0.049,,0,1655164800,error,13.128787,,0,744402000,0.8634,Banks—Regional,error,,1308528000,1:5,3668865024,,0.46317002,0.3402,12.03,1.4808801,4.8659787,0.31923,,0.01117,0.101610005,0.101,7.727,105853000,4.16,,1215707008,11.465,324371008,753982976,error,0.76,0.022028985,11.293581
CWT,2022-08-09 00:00:00,0.8910887349584161,-0.10891126504158388,194791.99746190978,-23808.002538090237,170983.99492381955,1651567.7387947962,4680300.0,0.3528764691995804,0.08176870323888566,4.315544398064608,1651567.7387947962,4680300.0,0.3528764691995804,0.04088435161944283,8.631088796129216,65.98999786376953,72.08000183105469,72.08000183105469,-2.0373965794983318,13.370002746582031,0.9991753908350558,60.970001220703125,49.06067496432669,55.468400014241546,61.876125064156405,59.1519434928894,5.305222308349009,0.8961505510602159,0.6751128898749352,4.8431964769138994e-12,,error,error,error,error,error,SP600,SLY,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
ALG,2022-08-09 00:00:00,0.23181600649193018,-0.7681839935080699,7789.017818128854,-25810.982181871146,-18021.964363742292,218845.42744528627,661800.0,0.33068212064866465,0.07936611432569127,4.166540386387808,218845.42744528627,661800.0,0.33068212064866465,0.039683057162845634,8.333080772775617,160.7100067138672,160.7100067138672,160.7100067138672,-2.9026395146573343,28.040000915527344,0.8615616151579029,133.5800018310547,107.3982251961505,119.24793334960937,131.09764150306825,135.95167846679686,14.440391542161885,0.9139382753311229,0.3795918367346939,0.00010038523667986234,,error,error,error,error,error,SP600,SLY,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
DGII,2022-08-09 00:00:00,0.3909099105972437,-0.6090900894027563,119618.43264275658,-186381.56735724345,-66763.13471448686,2914050.537039657,6265200.0,0.46511692157307943,0.11304954614899826,4.114275000804158,2914050.537039657,6265200.0,0.46511692157307943,0.05652477307449913,8.228550001608316,25.610000610351562,26.030000686645508,26.030000686645508,1.5253493104044127,13.60999870300293,1.7446461779178084,32.810001373291016,19.407492459345107,25.437199974060057,31.466907488775007,22.746900033950805,2.7614525718252567,0.9990552329352531,0.6348041334276612,8.034708079622965e-11,,3.200757643343544,1.600378821671772,-5.320049373014406,Technology,VGT,SP600,SLY,Digi International Inc.,1.386973,1.865,61.653,,,-0.111,-0.028,57101000,0.16936001,,error,19.390806,43410876,0.56356996,171155000,0.90246004,Communication Equipment,error,,702086400,3:2,1170919808,32422000,0.08788,0,1.03,2.4465232,3.472942,0.03494,1.209,0.02507,0.02507,0.225,9.79,34704200,7.72,,41386000,1.18,296246016,337155008,error,,,108.838715
TXRH,2022-08-09 00:00:00,0.5777775266040114,-0.4222224733959886,357066.511441279,-260933.48855872097,96133.02288255806,4497194.20648377,17372500.0,0.25886856851252094,0.06363026490944809,4.068324544631638,4497194.20648377,17372500.0,0.25886856851252094,0.031815132454724046,8.136649089263276,97.43000030517578,97.43000030517578,97.43000030517578,-1.1304951561720555,21.839996337890625,0.9268844861796807,89.19999694824219,69.269308528634,79.75143575032551,90.23356297201703,83.08783229827881,5.482621350214705,0.859665941914004,0.5640816326530612,7.464881837429367e-09,,2.202729702573436,1.101364851286718,-7.01167043961665,Consumer Cyclical,VCR,SP400,MDYG,"Texas Roadhouse, Inc.",0.936994,0.532,76.778,1.84,0.0211,-0.009,-0.041,434852992,0.11514,1654560000,error,25.632597,199919376,0.17252001,626402000,0.96546,Restaurants,error,,1127692800,2:1,6462359552,470683008,0.08012,0.45229998,1.39,6.074632,1.7111485,0.06707,0.341,0.07928,0.25866,0.14,54.704,69645000,6.03,,180411008,2.667,732476032,3776621056,error,0.8,0.00896861,30.725166
