,SYMBOL,exp_return,discounted_return,qtr_return,sell_date,stop_loss_price,days_delta,disc_rtn,qtr_rtn,outer_cv_avg_abs_err_n11,outer_cv_std_n11,mean_revert_flag,yhat_upper,yhat_lower,21dMA-TP,90dSMA,90d_lower,90d_upper,21dBOLU,90dSDev,21dBOLD,Adj Close,Date,Index Symbol,MIN_Lookback_1_Months,MIN_Lookback_2_Months,MIN_Lookback_One_Year,Market Index,Sector,Sector Symbol,adf,hurst,risk_per_share,risk_trend_factor,sector_risk_trend_factor,volume_factor,outer_cv_avg_abs_err_n11_ratio,outer_cv_std_n11_ratio
CEIX,CEIX,0.45964630662486267,0.0045124619487342255,1.5131788568020421,2022-10-05,52.97175052309541,84,0.0045124619487342255,1.5131788568020421,41.127395108355145,48.89064944840564,False,103.6513749361664,54.109303828077735,49.57172206091503,49.89246021755158,42.68370463884294,57.10121579626022,54.93427785772098,3.604377789354319,44.20916626410908,51.4900016784668,2022-07-12,SLY,59.380001068115234,55.2599983215332,19.979999542236328,SP600,Energy,VDE,0.8860606714741934,0.5210819571128905,19.18000030517578,1.0349325228195665,-1.0025941918443264,1.8493545026188538,0.7987452664145996,0.9495173403509868
CYTK,CYTK,0.317296798208367,0.0032861227003295745,1.3523281170037789,2022-10-05,45.63483350359928,84,0.0032861227003295745,1.3523281170037789,45.294158591364095,57.88979883514192,False,75.579348145161,46.10083432663316,43.57948428865463,40.66825423164973,33.92101164375496,47.41549681954451,49.46038284381426,3.373621293947387,37.69858573349501,44.599998474121094,2022-07-12,SLY,47.900001525878906,47.900001525878906,30.139999389648438,SP600,Healthcare,VHT,0.9939236541503164,0.3470686922750032,12.599998474121094,0.6238090422868325,-2.7287905797419385,1.6726140942322136,1.0155641287217931,1.2979775967645415
OPCH,OPCH,0.28448232574243754,0.002984871811716916,1.3154767997145778,2022-10-05,28.431118527697812,84,0.002984871811716916,1.3154767997145778,17.68302737018088,17.080542971563208,False,48.924959847685855,29.132939912672565,27.795119126637776,28.52301577916221,26.007259985835937,31.038771572488486,30.21777429868296,1.2578778966631377,25.37246395459259,29.270000457763672,2022-07-12,MDYG,31.079999923706055,30.700000762939453,22.690000534057617,SP400,Healthcare,VHT,0.7918700490742048,0.37816265438487273,5.539999008178711,0.6028882221200837,-2.7287905797419385,1.2293141026225891,0.6041348511660366,0.583551168583351
BJ,BJ,0.23923166650674768,0.0038375511112156424,1.4224475258389597,2022-09-07,67.90717064142284,56,0.0038375511112156424,1.4224475258389597,87.98480719422459,90.81888867946566,False,97.24397643203632,72.08986355741777,62.73060317266555,62.56083331032405,53.96395383937016,71.15771278127794,69.2105475358355,4.298439735476944,56.250658809495604,68.04000091552734,2022-07-12,MDYG,74.08999633789062,74.08999633789062,50.18000030517578,SP400,Consumer Defensive,VDC,0.9663858804262435,0.37832984867468705,17.729999542236328,0.32487365563115383,-2.033377233781814,1.4654739727215913,1.293133539246406,1.3347867057235734
ROG,ROG,0.20057585349582457,0.0029058219874260605,1.3059724801671093,2022-09-14,276.811451930624,63,0.0029058219874260605,1.3059724801671093,1046.7169825917845,842.6812766083946,False,369.48433049814065,258.4472343569225,259.48829336015,264.61321403866725,252.29174578116545,276.93468229616906,263.80171338623325,6.160734128750908,255.17487333406677,259.0,2022-07-12,SLY,274.510009765625,274.510009765625,206.1300048828125,SP600,Technology,VGT,0.7068081417805064,0.47951832569374037,15.17999267578125,1.4393930255841163,-6.2445499857442925,1.0875954760270257,4.041378311165191,3.253595662580674
EXLS,EXLS,0.2005587212917707,0.002178405588948884,1.2216413702080644,2022-10-05,142.23161955841334,84,0.002178405588948884,1.2216413702080644,173.61670714445717,209.962510387428,False,190.0696412650486,151.29278414233096,144.49813467358786,141.6639295911032,127.47263867587026,155.85522050633614,156.68320633704744,7.0956454576164685,132.31306301012827,141.17999267578125,2022-07-12,SLY,154.97999572753906,154.97999572753906,108.66000366210938,SP600,error,error,0.9713504562420462,0.37550049892271853,29.979995727539062,0.1641088596165758,error,1.3519664132610385,1.2297543288811934,1.4871973457995942
TVTY,TVTY,0.1994618227011205,0.0037185902338803256,1.4070225288918528,2022-08-31,28.506391935596668,49,0.0037185902338803256,1.4070225288918528,61.371381079153615,48.81433288818132,False,58.32866172759367,26.575551667830652,32.26242056347075,32.18186496552967,31.71744789856608,32.64628203249326,32.67268864870742,0.23220853348179563,31.852152478234075,32.5,2022-06-30,SLY,32.88999938964844,32.88999938964844,27.8700008392334,SP600,error,error,0.5257793876980975,0.44472664125895395,1.2049999237060547,3.1950212657514556,error,1.8811933542679444,1.8883501870508805,1.501979473482502
SCI,SCI,0.13488937522044778,0.0036218338870470657,1.3945987748723858,2022-08-17,66.03081941733068,35,0.0036218338870470657,1.3945987748723858,22.43734855114495,29.636789518484914,False,85.62039982912796,72.3615988689638,67.70138890402657,68.36884970892044,64.21610805758405,72.52159136025682,72.01408638049384,2.0763708256681923,63.388691427559316,69.1500015258789,2022-07-12,MDYG,72.06999969482422,72.06999969482422,56.86000061035156,SP400,Consumer Cyclical,VCR,0.8912058699798386,0.36272260948801344,8.630001068115234,0.7473932536888295,-8.127184218109923,1.0546957695012988,0.32447357998608184,0.42858696839498334
AZO,AZO,0.12833451742577573,0.001438446276528671,1.1413844652204272,2022-10-05,2115.6305441444956,84,0.001438446276528671,1.1413844652204272,30817.76870136589,21616.798835226335,False,2774.0291348642013,2120.3710158816666,2101.102995372954,2064.45012507363,1854.3388500444212,2274.5614001028384,2236.1499424511526,105.0556375146043,1966.0560482947553,2158.60009765625,2022-07-12,SPY,2267.39990234375,2267.39990234375,1585.31005859375,SP500,Consumer Cyclical,VCR,0.9876425007214653,0.39528778819196275,506.8399658203125,0.7017805494320493,-8.127184218109923,0.9273828327739464,14.276738305917338,10.014267514718115
CSL,CSL,0.12613413084507352,0.001698449937197255,1.1689721361812928,2022-09-21,248.413485276286,70,0.001698449937197255,1.1689721361812928,378.74307977078155,296.9026615336406,False,317.99736336999445,255.4329967927632,242.14634874131943,249.68361034090557,230.4637235676376,268.90349711417355,254.3755933307017,9.609943386633985,229.91710415193717,252.77999877929688,2022-07-12,MDYG,275.1300048828125,275.1300048828125,197.2100067138672,SP400,Industrials,VIS,0.9746600703323207,0.44335930732155676,43.02998352050781,0.2526140836939404,-5.230955570555336,1.121405964719491,1.4983111068904762,1.1745496596543121
