,Date,buy_volume_pct,sell_volume_pct,daily_buy_vol,daily_sell_vol,net_daily_vol,20td_trend_vol,20td_tot_daily_vol,20td_trend_vol,20td_trend_vol_factor,20td_tvf_rng_div_2,50td_trend_vol,50td_tot_daily_vol,50td_trend_vol_factor,50td_tvf_rng_div_4,50td_tvf_vel,MIN_Lookback_One_Year,MIN_Lookback_2_Months,MIN_Lookback_1_Months,risk_trend_factor,risk_per_share,volume_factor,Adj Close,50tdBOLD,50tdMA-TP,50tdBOLU,200tdSMA,200tdSDev,adf,hurst,sector_50td_tvf_vel,Sector,Sector Symbol,Market Index,Index Symbol,shortName,beta,currentRatio,debtToEquity,dividendRate,dividendYield,earningsGrowth,earningsQuarterlyGrowth,ebitda,ebitdaMargins,exDividendDate,forwardEPS,forwardPE,freeCashflow,grossMargins,grossProfits,heldPercentInstitutions,industry,lastDividendDate,lastDividendValue,lastSplitDate,lastSplitFactor,marketCap,operatingCashflow,operatingMargins,payoutRatio,pegRatio,priceToBook,priceToSalesTrailing12Months,profitMargins,quickRatio,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,sharesOutstanding,shortRatio,totalAssets,totalCash,totalCashPerShare,totalDebt,totalRevenue,trailingEPS,trailingAnnualDividendRate,trailingAnnualDividendYield,trailingPE
KBR,2022-07-22 00:00:00,0.5268792505147789,-0.47312074948522115,358804.76960056444,-322195.2303994356,36609.53920112882,24145752.081832226,42484600.0,24145752.081832226,0.5683412832375079,0.06576409015208173,24145752.081832226,42484600.0,0.5683412832375079,0.03288204507604087,17.28424378481323,42.709999084472656,56.939998626708984,56.939998626708984,-0.5897436239438448,8.580001831054688,1.5535966729169308,50.5099983215332,43.99955287711948,47.76700000127157,51.53444712542366,47.520005788803104,3.8113786684907525,0.9193263202772184,0.4042623233771029,error,error,error,SP400,MDYG,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
TTEK,2022-07-22 00:00:00,0.474267634552166,-0.5257323654478341,82569.9951755321,-91530.00482446792,-8960.009648935826,8284198.717248435,12920500.0,8284198.717248435,0.6411670382143443,0.0842399117838303,8284198.717248435,12920500.0,0.6411670382143443,0.04211995589191515,15.222405262238537,144.77000427246094,192.91000366210938,192.91000366210938,-3.4564126777696,27.759994506835938,2.0794154110173646,144.8800048828125,118.76792744365453,132.04135051727295,145.31477359089135,153.293662443161,18.204086568023403,0.7884351425509867,0.4771264693502185,error,error,error,SP400,MDYG,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
AMED,2022-07-22 00:00:00,0.9540796764518696,-0.04592032354813032,402335.3995597534,-19364.600440246555,382970.79911950685,2732539.0052802586,9414400.0,2732539.0052802586,0.2902509990312987,0.04614868688133612,2732539.0052802586,9414400.0,0.2902509990312987,0.02307434344066806,12.578949419628435,264.32000732421875,264.32000732421875,264.32000732421875,-13.447995069527368,29.710006713867188,1.6092997064599581,131.13999938964844,106.56999042968756,117.23603336334229,127.90207629699701,144.14943732261656,21.13554735947171,0.5277070621791106,0.47748347847212563,error,error,error,SP400,MDYG,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
PFGC,2022-07-22 00:00:00,0.32812586923523196,-0.6718741307647681,279956.9916314999,-573243.0083685002,-293286.01673700026,20637753.85436052,45983900.0,20637753.85436052,0.4488039042873815,0.07458067898442447,20637753.85436052,45983900.0,0.4488039042873815,0.037290339492212235,12.035393359213323,58.130001068115234,58.130001068115234,58.130001068115234,-1.6097022012528357,13.604999542236328,1.6123624228306488,50.83000183105469,37.800727571399975,44.51446671803793,51.228205864675886,46.94296253681183,3.953617040742633,0.16628160891839727,0.4468254957973531,1.1620177265335738,Consumer Defensive,VDC,SP400,MDYG,Performance Food Group Company,1.45735,1.589,150.392,,,,,732000000,0.01669,,error,14.367284,-1000574976,0.111260004,3562100000,1.04365,Food Distribution,,,,,7215343104,282100000,0.00686,0,0.43,2.226953,0.16456479,0.00155,0.644,0.01936,0.025810001,0.747,303.321,155002000,4.63,,13700000,0.088,4819299840,43845001216,error,0,0,101.859955
LSCC,2022-07-22 00:00:00,0.3273382183434876,-0.6726617816565125,471006.9623744443,-967893.0376255558,-496886.07525111147,23789855.044556677,47264500.0,23789855.044556677,0.5033345332026505,0.08991813638532603,23789855.044556677,47264500.0,0.5033345332026505,0.044959068192663015,11.195395132428278,58.380001068115234,85.44999694824219,85.44999694824219,-3.588161936164544,16.049999237060547,1.873280141970358,57.22999954223633,43.54380482838126,49.812699947357174,56.08159506633309,60.56726243495941,11.436170751080454,0.9088489359498273,0.451913038082389,2.3056782865228764,Technology,VGT,SP400,MDYG,Lattice Semiconductor Corporati,1.133248,3.02,43.661,,,1,0.918,146080992,0.26554,,error,30.223404,125365752,0.63959,321675000,1.0536599,Semiconductors,,,971308800,2:1,7819057664,181556000,0.21881,0,2.13,18.544388,14.213212,0.20575,2.128,0.10682999,0.27839002,0.301,4.019,137611008,1.52,,122989000,0.894,184056000,550126016,error,0,0,73.792206
NGVT,2022-07-22 00:00:00,0.09524019597666548,-0.9047598040233346,10800.238223753866,-102599.76177624615,-91799.52355249228,1144168.4078803684,4040200.0,1144168.4078803684,0.2831959823474997,0.055024089271373616,1144168.4078803684,4040200.0,0.2831959823474997,0.027512044635686808,10.293527293138968,88.58000183105469,88.58000183105469,88.58000183105469,-5.264543468664399,14.439998626708984,0.8675014568197553,63.2400016784668,58.24892390488506,65.82474981307983,73.4005757212746,68.81152516365051,6.188637624533833,0.21872084177768047,0.4731754280678281,error,error,error,SP400,MDYG,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
LIN,2022-07-22 00:00:00,0.23855781392475806,-0.761442186075242,287152.04062123125,-916547.9593787687,-629395.9187575374,22448689.401242428,69962300.0,22448689.401242428,0.32086837341314434,0.06505634640413305,22448689.401242428,69962300.0,0.32086837341314434,0.032528173202066524,9.864321965451152,305.7099914550781,352.17999267578125,352.17999267578125,-2.1058043289985275,72.8699951171875,1.8204903238525991,285.5400085449219,261.49564981863347,300.0389840189616,338.5823182192898,310.91594051361085,18.174620187350346,0.7268402519186832,0.36298804289694314,1.7122173956498514,Basic Materials,VAW,SP500,SPY,Linde plc,0.90196,0.845,37.071,4.68,0.0152,0.235,0.198,10368000000,0.32644,1654128000,error,27.915699,6152500224,0.42423,13250000000,0.81134003,Specialty Chemicals,error,,1071532800,2:1,147661963264,9616000000,0.1822,0.56060004,,3.3314831,4.64916,0.12657,0.649,0.043119997,0.09017,0.134,61.904,512555008,1.21,,4464000000,8.802,16455999488,31761000448,error,4.143,0.014509351,42.391113
BJ,2022-07-22 00:00:00,0.13592189861041154,-0.8640781013895884,238964.28994696453,-1519135.7100530353,-1280171.4201060708,17493485.623349626,49994800.0,17493485.623349626,0.3499061027016735,0.07897441347094189,17493485.623349626,49994800.0,0.3499061027016735,0.039487206735470945,8.861252330298575,50.93000030517578,74.08999633789062,74.08999633789062,0.5732841881370215,16.169998168945312,1.3870198818627333,69.45999908447266,52.920342513537875,62.16306007385254,71.40577763416721,63.2398623752594,3.9868455562742766,0.9726742194010982,0.3743647169824602,1.1620177265335738,Consumer Defensive,VDC,SP400,MDYG,"BJ's Wholesale Club Holdings, I",0.444166,0.801,430.578,,,0.39,0.378,843355008,0.04876,,error,18.838797,193844128,0.1817,3078690000,1.0381,Discount Stores,,,,,9320798208,626998016,0.03817,0,3.22,12.921663,0.53891414,0.02645,0.112,0.072,0.80649,0.162,128.096,135182000,2.51,,37952000,0.281,3105942016,17295515648,error,0,0,20.830814
CORT,2022-07-22 00:00:00,0.0634919914078501,-0.9365080085921499,29961.87074536446,-441938.12925463554,-411976.2585092711,3406571.18419402,15399000.0,3406571.18419402,0.22122028600519644,0.05205021582744401,3406571.18419402,15399000.0,0.22122028600519644,0.026025107913722006,8.50026392738052,25.5,25.68000030517578,25.68000030517578,0.45316152006323285,8.539999008178711,0.6799075011247937,26.90999984741211,17.00481779808628,22.867650019327797,28.730482240569316,21.568137485980987,2.62573470997175,0.26651298966674586,0.3799069940823494,1.7594236599693098,Healthcare,VHT,SP600,SLY,Corcept Therapeutics Incorporat,0.42699,6.782,0.691,,,0.111,-0.028,132714000,0.34904,,error,22.982906,139035008,0.98616,360697000,0.77866995,Biotechnology,,,,,2857089280,177716992,0.34612998,0,-0.67,7.004428,7.5141277,0.29415,6.528,0.1612,0.24351,0.179,3.366,106251000,23.75,,345527008,3.252,2816000,380228992,error,0,0,29.877777
ELF,2022-07-22 00:00:00,0.3551395038753057,-0.6448604961246943,239683.6511654438,-435216.3488345562,-195532.6976691124,4162317.0388304046,13392100.0,4162317.0388304046,0.31080390968036414,0.07371561654915941,4162317.0388304046,13392100.0,0.31080390968036414,0.036857808274579705,8.432511975887646,31.290000915527344,33.630001068115234,33.630001068115234,0.018009556044224963,11.660001754760742,1.0999825149487867,32.91999816894531,20.131275206267176,27.36917833646138,34.607081466655586,28.0820999956131,3.212255927551011,0.6543775710250774,0.43616151171891837,1.1620177265335738,Consumer Defensive,VDC,SP600,SLY,"e.l.f. Beauty, Inc.",2.010294,2.961,39.008,,,0.5,0.446,49913000,0.13146,,error,41.350002,32546750,0.63955003,206198000,0.99078006,Household & Personal Products,error,,,,1721198848,35351000,0.07486,0,4,5.852796,4.533157,0.05317,1.281,0.03656,0.07083,0.108,7.501,52031400,4.17,,32889000,0.631,119156000,379691008,error,,,97.008804
ALG,2022-07-22 00:00:00,0.6651396214000987,-0.3348603785999013,17626.199967102617,-8873.800032897385,8752.399934205232,206855.31864540672,824000.0,206855.31864540672,0.25103800806481397,0.06073955555707036,206855.31864540672,824000.0,0.25103800806481397,0.03036977777853518,8.266046919916654,160.7100067138672,160.7100067138672,160.7100067138672,-8.793106227725438,13.629997253417969,1.0550575628907797,120.76000213623047,110.23759683119113,115.81730018615721,121.3970035411233,136.79892164230347,14.489754934966749,0.25848317136463383,0.4663285033371977,error,error,error,SP600,SLY,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
MEDP,2022-07-22 00:00:00,0.4109955660333827,-0.5890044339666173,177303.4871868013,-254096.5128131987,-76793.0256263974,1408853.746187083,5509600.0,1408853.746187083,0.2557088983205828,0.06622398431339482,1408853.746187083,5509600.0,0.2557088983205828,0.03311199215669741,7.722546475321683,196.1199951171875,231.0,231.0,-4.754510790649674,36.58000183105469,1.0624091757749448,161.39999389648438,127.93670120501164,144.67915626525877,161.4216113255059,171.36664976119994,30.126183465003294,0.7615699913930276,0.4281969431976995,1.7594236599693098,Healthcare,VHT,SP400,MDYG,"Medpace Holdings, Inc.",1.430395,0.614,26.459,,,0.482,0.416,236356000,0.19479,,error,26.810595,197691008,0.61665,701287000,0.88716006,Diagnostics & Research,,,,,5355933696,252264000,0.17737,0,1.87,9.267602,4.414138,0.16471,0.531,0.09623,0.27302998,0.273,34.032,32065700,6.5,,82843000,2.462,160084000,1213358976,error,0,0,31.634468
UTL,2022-07-22 00:00:00,0.16617237889761,-0.8338276211023901,14008.331541068523,-70291.66845893148,-56283.33691786296,338244.00822292775,1275100.0,338244.00822292775,0.26526861283266234,0.07024424259620123,338244.00822292775,1275100.0,0.26526861283266234,0.03512212129810061,7.552750318842727,57.9900016784668,58.369998931884766,58.869998931884766,-1.7183908990957633,10.439998626708984,0.7657902919601728,52.43000030517578,51.87104773752201,56.229199899037674,60.587352060553336,49.02631441116333,5.62533118869271,0.3528293663902342,0.4852866655119548,1.4856120044696786,Utilities,VPU,SP600,SLY,UNITIL Corporation,0.544117,0.92,128.227,1.56,0.0291,0.01,0.066,136344000,0.28807,1652313600,error,20.92969,-14672500,0.34185,161800000,0.75956,Utilities—Diversified,error,,724291200,2:1,855833344,107800000,0.16236,0.62700003,3.88,1.9475847,1.808226,0.07627,0.503,0.03183,0.08619001,0.196,30.788,15973000,3.04,,6500000,0.407,575100032,473300000,error,1.52,0.028991034,23.144709
