,^GSPC,ES=F,NQ=F,YM=F,RTY=F,PA=F,LBS=F,UUP,ZO=F,SIL=F,CT=F,MGC=F,JPY=X,NG=F,DGS2,GC=F,HG=F,ZL=F,KE=F,DGS3MO,^IRX,ZS=F,KC=F,ZR=F,HO=F,ZC=F,RB=F,ZM=F,HE=F,CL=F,DGS10,BZ=F,ZB=F,LE=F,SB=F,CC=F,GF=F,SI=F,ZN=F,ZF=F,PL=F,EURUSD=X,OJ=F,ZT=F,AUDUSD=X,GBPUSD=X,BRLUSD=X,trending
^GSPC,1.0,0.9999614468181423,0.9907418856460768,0.9875657097608754,0.9029941447784631,0.874714269123573,0.8242436645239722,0.7616578867828419,0.7321183871229087,0.6844528027840449,0.6533599558932103,0.639298164120913,0.6215533366330174,0.5915703182346699,0.5705641367577416,0.5315495233225704,0.5252573204154029,0.5073680267710509,0.43787540638176475,0.3640756784552578,0.357459561625255,0.3530773947626179,0.3476774373915361,0.3039143489251095,0.29793715542231,0.2906949993524177,0.2725997613930976,0.2695885997187817,0.24544801959561646,0.19588873958224406,0.16681491972832033,0.10568796331041808,0.019485217971117245,0.010313456995417131,-0.0636703427834962,-0.11215757102850375,-0.11568550714219719,-0.12647983148245062,-0.3814762996505015,-0.5195639127280322,-0.5482476895502771,-0.5662360882557064,-0.5722175267130175,-0.5936137773415919,-0.6269307580639986,-0.6780804583727026,-0.7910966362704548,
ES=F,0.9999614468181423,1.0,0.9906017014128006,0.988049842148642,0.903853357148113,0.8746670352245332,0.8235586512753076,0.7619616977081465,0.7316673537223171,0.6821111440092057,0.653678741685811,0.6393798704785815,0.6230742026294717,0.5934899148262568,0.5731264499222831,0.5320112257535095,0.5251973381313153,0.5082018213843829,0.438790884018162,0.36703610799612224,0.3630408196860761,0.35443480154812185,0.348474280422237,0.306066892145619,0.30077441783675585,0.2916515626386931,0.2755702402157132,0.27190183562513914,0.24874684473901937,0.19822546841927438,0.16892927918326153,0.10842621772131018,0.015949382238454442,0.010932896789792977,-0.06354975237334565,-0.11496683345462662,-0.1145340991966821,-0.127166237774312,-0.38535311007237105,-0.5234008820637315,-0.5493942662664539,-0.5677885989778517,-0.5659966220808788,-0.5977014896843672,-0.6273641416702281,-0.6801681736401335,-0.7914192109857751,
NQ=F,0.9907418856460768,0.9906017014128006,1.0,0.9700543219993076,0.8484037266351178,0.9039239301528524,0.8307872144903344,0.7509696697773586,0.7572481871501218,0.6849683896535768,0.6628126623721595,0.653304011176674,0.5591267655885293,0.5839680382411737,0.49897205029601116,0.6110106383253363,0.5624110654445809,0.544478565480282,0.4691874399644427,0.2968575164327362,0.29258614193501375,0.38979228416363704,0.38608376323516325,0.3727221207643501,0.30904193559547455,0.33751295270177517,0.28286213312937175,0.2875872345185891,0.2666225410449808,0.21004249858759041,0.0832601075749751,0.12692016241526274,0.05960763143977578,-0.024269469386613524,-0.01540797323440953,-0.15496499544417075,-0.15381594124307138,-0.05052731768573225,-0.29562554725130313,-0.43292128539938995,-0.5102600840939017,-0.5348055469458286,-0.6884799498089001,-0.5257088522590438,-0.5875955048914556,-0.6639335007684815,-0.7670481359563537,
YM=F,0.9875657097608754,0.988049842148642,0.9700543219993076,1.0,0.9428408440205932,0.8669902996827182,0.7826435545617972,0.7565016974171175,0.6742475026024519,0.6035519222025573,0.6169164369172221,0.611444294739656,0.5990021789718292,0.5575119428778555,0.654209608407164,0.4915685263627542,0.48749262039563485,0.4399507206511066,0.37610196337481494,0.4932850211270763,0.48957659068556714,0.2889251187801541,0.2640095146166088,0.2518158633406624,0.2770892626455326,0.23886413275651208,0.24087161448227828,0.22844194151496794,0.18543631210090647,0.17269384705515461,0.22264895261864717,0.09166058921517574,-0.0174780192933493,-0.05901771347924271,-0.12714530765699658,-0.18774308560849917,-0.17343796794061875,-0.17124743213286622,-0.439143132874966,-0.5890747507847585,-0.5910591079099461,-0.5516998273528402,-0.545995028615945,-0.6768468241253577,-0.6415227461119037,-0.727862028561267,-0.7883607338485573,
RTY=F,0.9029941447784631,0.903853357148113,0.8484037266351178,0.9428408440205932,1.0,0.4293587782182797,0.7951292843010273,0.0957390250504079,0.8194172834544862,0.8311110796262275,0.796274088509118,0.5730764131757329,0.46766459085939477,0.6580816973338303,0.10726369258495445,0.5736560183219399,0.913461761785353,0.7839947317418482,0.6887572306383962,-0.2948117912219913,-0.2897656578167933,0.7692192472951145,0.8082826415489677,0.4654271778140402,0.6972384222657064,0.7428851837436337,0.7374960522659629,0.6790110713708057,0.7377867629229051,0.7933522251277564,0.22024497832975878,0.780928387938424,-0.369417496804343,0.7691770010245476,0.8709980269391113,0.4658646849370433,0.7478045650001488,0.8311110796262275,-0.27685388712790504,-0.20516960706069814,0.8156743817671159,-0.08878500088921608,-0.7271324912270077,-0.128773989351604,0.4518697030146433,0.3644825003870938,-0.378813748836908,
PA=F,0.874714269123573,0.8746670352245332,0.9039239301528524,0.8669902996827182,0.4293587782182797,1.0,0.738030885958193,0.7226998983748828,0.690574732157604,0.5976835006686252,0.5338469925138518,0.650693848987062,0.3840220122733087,0.45181908991713554,0.3731359309235349,0.7139449267514051,0.5163271852635813,0.474079760043849,0.44149820938725837,0.2642177247451449,0.25877564608234427,0.3477957066748375,0.30836157624115806,0.45556748669399116,0.27990120192169,0.32713000696785083,0.2249547254947259,0.2704814829675489,0.23107640961673437,0.1778527985036337,-0.1110840041397964,0.125822926160136,0.16548629409713164,-0.15330710517122537,-0.05649703932987231,-0.28702527681900847,-0.25761628527966063,0.0307558152490127,-0.08906545858688425,-0.25540309582248877,-0.4286137186055347,-0.43512347062160983,-0.3346497061858236,-0.4024950153238711,-0.5150016609668945,-0.6550846368876118,-0.6614172715156076,
LBS=F,0.8242436645239722,0.8235586512753076,0.8307872144903344,0.7826435545617972,0.7951292843010273,0.738030885958193,1.0,0.4222210581413482,0.8229531673548566,0.7825445747328301,0.771035683935151,0.5876302707583797,0.33478336162053013,0.561986321652254,0.37754371989267793,0.6441753358479806,0.7506533581271113,0.7088004107854906,0.6337342993767883,0.10014393435864875,0.09681399109813453,0.6224752676662939,0.5741421964689339,0.482361264855721,0.5042546745246648,0.5407915300577523,0.49627380227017104,0.5623472463241657,0.44070547954221206,0.4642505300758753,0.14752824794443142,0.390232392607455,-0.13895969098441208,0.17758334741957407,0.2102356792226976,-0.0906063161591126,-0.06221926420673854,0.2303026090177343,-0.30212037356874083,-0.35847339566877773,-0.14735906339231047,-0.24184394209466503,-0.4224329213075098,-0.4030084235830671,-0.2436147995013843,-0.3512671261883235,-0.4575452137291216,
UUP,0.7616578867828419,0.7619616977081465,0.7509696697773586,0.7565016974171175,0.0957390250504079,0.7226998983748828,0.4222210581413482,1.0,0.37686662226270695,0.15378484847951507,0.2849611883025756,0.4754648629100353,0.7352108144975563,0.32701216777710496,0.5132662505924924,0.2892968262705694,0.03688354680246223,0.20583082193679747,0.15393540809624645,0.38227152570812023,0.37162773360669416,0.006939274947465794,0.05028616993451216,0.07049193537811423,-0.040859656523954985,0.03687882588924782,-0.07661180205407196,-0.11621210300310006,-0.051122390693399355,-0.21407051779751832,-0.010493014867881434,-0.28871832888315113,0.32014048600024353,-0.1603316087626033,-0.28713509324795505,-0.1015118721058093,-0.1609119165597761,-0.4193390890981835,-0.21007812215157598,-0.4168846627551266,-0.7871798049153558,-0.9057834635093277,0.7397100424281933,-0.5291477204766616,-0.8487993252172055,-0.8317126055075867,-0.8763955755556496,
ZO=F,0.7321183871229087,0.7316673537223171,0.7572481871501218,0.6742475026024519,0.8194172834544862,0.690574732157604,0.8229531673548566,0.37686662226270695,1.0,0.7969033495752417,0.8703057032163269,0.566777774940499,0.2818239390717624,0.8081715128255132,0.30583592729234826,0.754159964519519,0.8837542673970162,0.8883438492223075,0.8656516472581329,0.014225890031827034,0.008174804169500845,0.8270991046625852,0.7506221407133571,0.7187208990152886,0.7661408264672621,0.7810701705367056,0.7411170920313976,0.6693614270283575,0.7108546367618042,0.6986516120454909,0.20713368487596995,0.6459198060455458,-0.33869509824037686,0.29991475368958487,0.3917922818381574,-0.18163911115498874,0.0840841421477708,0.4147603649503699,-0.2998461855323756,-0.30033646105198497,0.07330431407724244,-0.13145169384817817,0.08908548297281306,-0.3300244192808287,-0.04154111463442736,-0.21382656659121232,-0.2740428016313612,
SIL=F,0.6844528027840449,0.6821111440092057,0.6849683896535768,0.6035519222025573,0.8311110796262275,0.5976835006686252,0.7825445747328301,0.15378484847951507,0.7969033495752417,1.0,0.7512366215056934,0.7781608601940433,0.09020390058148901,0.6366429655198059,0.041411376391726554,0.7788286944822668,0.8326987035657205,0.8104856121588788,0.7469927592377333,-0.20404731263264184,-0.2067784156701209,0.8347699063067757,0.7393630055609556,0.6202573689957389,0.6861085601622312,0.7486690303547896,0.6981599022159227,0.7381407486975606,0.6403498765796375,0.7243452798791216,0.005574377902462903,0.6921325707735256,-0.19163405270464928,0.19088305267148184,0.6797220266573801,-0.11660166602197315,-0.008765976690789552,0.9999998641663529,-0.06980025485956122,-0.04771803356000929,0.40152119276213805,0.089781666411723,-0.32930539518388496,-0.06521867056379362,0.22453180371664877,-0.11164220396872514,-0.178567565794263,
