,Date,buy_volume_pct,sell_volume_pct,daily_buy_vol,daily_sell_vol,net_daily_vol,20td_trend_vol,20td_tot_daily_vol,20td_trend_vol_factor,20td_tvf_rng_div_2,20td_tvf_vel,50td_trend_vol,50td_tot_daily_vol,50td_trend_vol_factor,50td_tvf_rng_div_4,50td_tvf_vel,MIN_Lookback_One_Year,MIN_Lookback_2_Months,MIN_Lookback_1_Months,risk_trend_factor,risk_per_share,volume_factor,Adj Close,50tdBOLD,50tdMA-TP,50tdBOLU,200tdSMA,200tdSDev,adf_50td,tau_50td,tau_50td_p,hurst_50td,sector_50td_tvf_vel,sector_20td_tvf_vel,sector_risk_trend_factor,Sector,Sector Symbol,Market Index,Index Symbol,shortName,beta,currentRatio,debtToEquity,dividendRate,dividendYield,earningsGrowth,earningsQuarterlyGrowth,ebitda,ebitdaMargins,exDividendDate,forwardEPS,forwardPE,freeCashflow,grossMargins,grossProfits,heldPercentInstitutions,industry,lastDividendDate,lastDividendValue,lastSplitDate,lastSplitFactor,marketCap,operatingCashflow,operatingMargins,payoutRatio,pegRatio,priceToBook,priceToSalesTrailing12Months,profitMargins,quickRatio,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,sharesOutstanding,shortRatio,totalAssets,totalCash,totalCashPerShare,totalDebt,totalRevenue,trailingEPS,trailingAnnualDividendRate,trailingAnnualDividendYield,trailingPE
MEDP,2022-08-01 00:00:00,0.556729379461392,-0.44327062053860805,117748.26375608442,-93751.7362439156,23996.527512168817,2313010.2489252337,6610100.0,0.34992061374642347,0.05581697442857936,6.26907168166495,2313010.2489252337,6610100.0,0.34992061374642347,0.02790848721428968,12.5381433633299,196.1199951171875,231.0,231.0,-3.956754922696745,39.08000183105469,1.240286400118807,167.8300018310547,128.30127524369453,147.84760620117189,167.39393715864924,170.9522996520996,29.96451266949403,0.6190491902748255,0.6261224489795918,1.40043043581425e-10,,2.5050381494801273,1.2525190747400636,-6.073836237710818,Healthcare,VHT,SP400,MDYG,"Medpace Holdings, Inc.",1.430395,0.374,142.434,,,0.377,0.236,254459008,0.19783,,error,29.669706,226388624,0.61981,701287000,0.91226995,Diagnostics & Research,error,,,,5843354624,286121984,0.18115,0,1.85,6.4730473,4.542857,0.1627,0.305,0.10457,0.36873,0.262,36.965,35939200,7.86,,42551000,1.373,403447008,1286273024,error,,,33.662525
CI,2022-08-01 00:00:00,0.2672226505010863,-0.7327773494989137,383357.6144088584,-1051242.3855911416,-667884.7711822833,8843696.068996174,40733800.0,0.21710952744394518,0.04751805313053893,4.568990376089569,8843696.068996174,40733800.0,0.21710952744394518,0.023759026565269466,9.137980752179137,269.9700012207031,273.5799865722656,273.5799865722656,0.07342580890221614,42.21998596191406,1.0767962231036141,273.4100036621094,245.77949573601006,264.38438537597654,282.989275015943,238.42468338012696,22.209203850950075,0.4325030351064618,0.44653061224489793,4.7490879854420274e-06,,2.5050381494801273,1.2525190747400636,-6.073836237710818,Healthcare,VHT,SP500,SPY,Cigna Corporation,0.745849,0.811,73.102,4.48,0.0163,0.115,0.019,10101999616,0.05708,1662422400,error,10.754358,2813374976,0.13013,23159000000,0.90958,Healthcare Plans,1654560000,1.12,1181001600,3:1,86120579072,8128000000,0.04689,0.2557,1.05,1.8770617,0.48658994,0.030439999,0.485,0.03405,0.11532,0.066,535.481,317272992,3.52,,5154999808,16.248,33746999296,176987996160,error,4.12,0.015068944,16.849161
ECPG,2022-08-01 00:00:00,0.41304492048854596,-0.586955079511454,160344.03813365355,-227855.96186634645,-67511.9237326929,2214281.022454091,8977200.0,0.24665608680369056,0.060728534527302064,4.061617635327591,2214281.022454091,8977200.0,0.24665608680369056,0.030364267263651032,8.123235270655181,49.7400016784668,72.66999816894531,72.66999816894531,1.0757494401948708,17.69000244140625,1.2547864686983605,71.37000274658203,52.58545907310412,61.3678667195638,70.15027436602348,61.18090007781982,4.554315624208603,0.9730976103688675,0.5232653061224489,8.236306231845578e-08,,1.23108783263325,0.615543916316625,-4.9083379915323055,Financial Services,VFH,SP600,SLY,Encore Capital Group Inc,1.249467,13.365,237.148,,,1.155,0.857,780368000,0.45976,,error,7.167002,544964608,1,1614499000,1.22812,Mortgage Finance,,,,,1729229824,288464000,0.43007,0,0.4,1.3924125,1.0187857,0.25445998,13.251,0.097229995,0.3423,0.199,59.677,24259500,8.07,,173336992,7.145,2955751936,1697344000,error,0,0,4.9198895
SCI,2022-08-01 00:00:00,0.9145310849407253,-0.08546891505927462,923493.4895731445,-86306.51042685552,837186.9791462889,5876896.829724923,17235100.0,0.34098420257062173,0.08694807554521582,3.9216992490339697,5876896.829724923,17235100.0,0.34098420257062173,0.04347403777260791,7.843398498067939,63.31999969482422,72.06999969482422,72.06999969482422,1.4532677504108924,12.09000015258789,0.9312021986882899,75.01000213623047,64.7083599191363,69.44040028889974,74.17244065866318,66.6258943939209,3.5864558427306146,0.40681922399005654,0.38285714285714284,8.741020572207161e-05,,2.6628172793183427,1.3314086396591713,-6.379992321824127,Consumer Cyclical,VCR,SP400,MDYG,Service Corporation Internation,0.702426,0.592,218.534,1,0.013300001,0.008,-0.041,1436120064,0.34377,1655164800,error,21.239193,699347392,0.31073,1303614000,0.87067,Personal Services,1655164800,0.25,841708800,2:1,11698842624,955174976,0.2777,0.19450001,1.76,6.3655205,2.8003976,0.18996,0.52,0.04795,0.42988998,0.032,25.258,158736000,4.35,,300556000,1.893,4026807040,4177564928,error,0.92,0.012265031,15.581394
FIZZ,2022-08-01 00:00:00,0.6612891813486167,-0.3387108186513833,75585.35342814689,-38714.64657185311,36870.70685629378,813259.3032618606,2779900.0,0.2925498410956727,0.07747855905965369,3.775881284400598,813259.3032618606,2779900.0,0.2925498410956727,0.038739279529826844,7.551762568801196,64.66999816894531,64.66999816894531,64.66999816894531,-2.709333292643229,11.25,0.2852680655101807,54.5099983215332,43.99194058603961,48.382533289591464,52.77312599314332,47.48227283477783,4.390676584726223,0.4082466722089424,0.3400084287989989,0.0005011403935071629,,1.6728171414817883,0.8364085707408941,-2.675496275223296,Consumer Defensive,VDC,SP600,SLY,National Beverage Corp.,0.843763,1.889,25.579,,,-0.142,-0.122,226400000,0.19894,1639094400,error,28.287958,79962000,0.36714,417805000,0.25263,Beverages—Non-Alcoholic,error,,1613952000,2:1,5042198528,133133000,0.18265,0,1.06,11.160916,4.4307036,0.13929,0.975,0.25347,0.53242,0.089,12.194,93322200,12.36,,48050000,0.515,61246000,1138013056,error,,,30.016666
ALG,2022-08-01 00:00:00,0.8144049707293362,-0.18559502927066382,29807.221928693703,-6792.778071306296,23014.443857387407,115117.2154634023,675200.0,0.17049350631428067,0.04523933648761067,3.7687004176326138,115117.2154634023,675200.0,0.17049350631428067,0.022619668243805336,7.5374008352652275,160.7100067138672,160.7100067138672,160.7100067138672,-4.176418263824356,21.87999725341797,0.880772338224556,130.25,108.85870539005943,117.05326629638672,125.24782720271402,136.08486301422118,14.405642395344719,0.8500052166005727,0.3289795918367347,0.000748856143492369,,error,error,error,error,error,SP600,SLY,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
LIN,2022-08-01 00:00:00,0.415791967490905,-0.584208032509095,518866.7962319004,-729033.2037680997,-210166.40753619926,13920427.566463983,43608300.0,0.3192150936052078,0.0857113949474623,3.724301696418242,13920427.566463983,43608300.0,0.3192150936052078,0.04285569747373115,7.448603392836484,310.19000244140625,352.17999267578125,352.17999267578125,-1.5690952858777354,72.8699951171875,1.1740779126592094,300.07000732421875,260.02981352373314,298.40332275390625,336.77683198407937,310.8994078063965,18.214610985204494,0.7043698020208381,-0.4791836734693878,9.099676988602529e-07,,1.922783159470211,0.9613915797351055,-3.3616982784728884,Basic Materials,VAW,SP500,SPY,Linde plc,0.896551,0.737,39.091,4.68,0.0155,-0.538,-0.558,10552000512,0.32334,1661990400,error,28.841087,6205624832,0.41676998,13250000000,0.82225,Specialty Chemicals,error,,1071532800,2:1,152556879872,9921999872,0.18541999,0.6464,,3.4419198,4.674783,0.10880999,0.558,0.04662,0.083450004,0.115,64.165,512555008,1.22,,3655000064,7.334,16042999808,32633999360,error,4.143,0.013806779,43.796352
PII,2022-08-01 00:00:00,0.4161669876033907,-0.5838330123966092,237007.09944013102,-332492.90055986895,-95485.80111973794,4068822.922553185,12664300.0,0.3212828914786593,0.09044182336150064,3.552370789722748,4068822.922553185,12664300.0,0.3212828914786593,0.04522091168075032,7.104741579445496,135.5800018310547,135.5800018310547,135.5800018310547,-2.3884620087151154,23.400001525878906,0.8372306129045298,116.94999694824219,95.4584167018326,105.75275634765624,116.04709599347989,110.26528865814208,7.500569741906924,0.4813438304530106,0.5869387755102041,1.8062916174202528e-09,,2.6628172793183427,1.3314086396591713,-6.379992321824127,Consumer Cyclical,VCR,SP400,MDYG,Polaris Inc.,1.540229,1.225,198.407,2.56,0.0218,,,851600000,0.10115,1661904000,error,11.590213,-310124992,0.22405,1996500000,0.94858,Recreational Vehicles,error,,1315872000,2:1,6899520512,41100000,0.07226,0.3697,0.77,5.695251,0.8195081,0.03168,0.265,0.07789,0.38444,0.077,139.044,60681800,7.48,,319600000,5.366,2130099968,8419100160,error,2.51,0.021462163,11.893305
NSP,2022-08-01 00:00:00,0.8317756676155861,-0.16822433238441395,181243.9179734362,-36656.0820265638,144587.83594687242,776058.700126603,2646700.0,0.29321747841712437,0.08277403944288966,3.54238454943873,776058.700126603,2646700.0,0.29321747841712437,0.04138701972144483,7.08476909887746,101.16000366210938,129.32000732421875,129.32000732421875,-1.1158818579463672,23.990005493164062,0.5981036271315996,111.01000213623047,89.36832472756923,98.7855332438151,108.20274176006096,104.56564533233643,9.725258653007465,0.8970889167281677,0.5520621121730285,1.5598998065886053e-08,,2.5921174150621997,1.2960587075310999,-3.533772315789867,Industrials,VIS,SP400,MDYG,"Insperity, Inc.",1.372924,1.113,1270.631,2.08,0.019,0.132,0.129,217684000,0.041350003,1654646400,error,20.804972,308412512,0.16231,820102000,0.90748,Staffing & Employment Services,1654646400,0.52,1513641600,2:1,4168293376,317031008,0.03569,0.53099996,1.57,122.67192,0.79183817,0.02508,0.994,0.063319996,2.4542,0.226,136.911,38308000,5.72,,609264000,15.904,431519008,5264072192,error,1.8,0.016214754,32.097343
ARNC,2022-08-01 00:00:00,0.7758618421701684,-0.2241381578298316,919473.8691558666,-265626.13084413344,653847.7383117331,3581847.19627049,16603400.0,0.21572974187639218,0.06231548554734584,3.4618961881069805,3581847.19627049,16603400.0,0.21572974187639218,0.03115774277367292,6.923792376213961,37.02000045776367,37.02000045776367,37.02000045776367,-3.0414747232366914,6.510000228881836,0.8760838609616055,30.420000076293945,26.025923990291187,28.205133336385092,30.384342682478998,29.086950006484987,2.825590915039502,0.14147892138644536,0.324878229428719,0.0008949541544854327,,2.5921174150621997,1.2960587075310999,-3.533772315789867,Industrials,VIS,SP600,SLY,Arconic Corporation,1.74008,1.45,116.528,,,-0.152,-0.192,571000000,0.0712,,error,9.743055,-189124992,0.11496,931000000,0.93445,Metal Fabrication,error,,1477958400,1334:1000,2988025088,-216000000,0.04002,0,0.91,1.9105331,0.3725717,-0.05075,0.63,0.030079998,-0.26680002,0.308,74.328,106487000,3.43,,210000000,1.985,1819000064,8019999744,error,0.12,0.003944773,error
AMED,2022-08-01 00:00:00,0.8102262335493619,-0.18977376645063815,481598.4732217407,-112801.52677825931,368796.94644348137,2318164.427611723,9489600.0,0.2442847356697567,0.07089649446899954,3.4456532371508657,2318164.427611723,9489600.0,0.2442847356697567,0.03544824723449977,6.891306474301731,264.1000061035156,264.1000061035156,264.1000061035156,-13.755971649782365,29.710006713867188,1.6317104889174896,127.87000274658203,106.4456882448589,118.06459991455078,129.68351158424267,143.73589984893798,21.245767052429603,0.19254727539239447,0.27603105608651424,0.004692461449245013,,2.5050381494801273,1.2525190747400636,-6.073836237710818,Healthcare,VHT,SP400,MDYG,Amedisys Inc,0.898254,0.924,54.051,,,-0.626,-0.631,237391008,0.107130006,,error,20.3479,112791128,0.43929002,993756000,0.97723,Medical Care Facilities,error,,1165276800,4:3,3947172608,172963008,0.093210004,0,7.01,4.358642,1.7812561,0.063319996,0.777,0.0717,0.14623,-0.011,68.039,32602400,3.02,,26566000,0.819,561587968,2215949056,error,,,18.18414
PRLB,2022-08-01 00:00:00,0.899225379289135,-0.10077462071086495,179035.7730164668,-20064.22698353321,158971.54603293358,848388.0804894135,2756100.0,0.30782195148558233,0.08938187083660452,3.4438969402229174,848388.0804894135,2756100.0,0.30782195148558233,0.04469093541830226,6.887793880445835,82.9800033569336,82.9800033569336,82.9800033569336,-13.72753092075126,7.119998931884766,0.3791027434383692,50.400001525878906,44.693598751331,47.36526682535808,50.03693489938515,51.58374996185303,6.659650153739933,0.05143504838637116,0.155165386557508,0.11197494709802124,,error,error,error,error,error,SP600,SLY,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
