,SYMBOL,exp_return,discounted_return,qtr_return,sell_date,stop_loss_price,days_delta,disc_rtn,qtr_rtn,outer_cv_avg_abs_err_n11,outer_cv_std_n11,mean_revert_flag,yhat_upper,yhat_lower,200tdSMA,200tdSDev,50tdMA-TP,50tdBOLU,200td_lower,50tdBOLD,200td_upper,20td_tot_daily_vol,20td_trend_vol,20td_trend_vol_factor,20td_tvf_rng_div_2,20td_tvf_vel,50td_tot_daily_vol,50td_trend_vol,50td_trend_vol_factor,50td_tvf_rng_div_4,50td_tvf_vel,Adj Close,Date,Index Symbol,MIN_Lookback_1_Months,MIN_Lookback_2_Months,MIN_Lookback_One_Year,Market Index,Sector,Sector Symbol,adf,beta,buy_volume_pct,currentRatio,daily_buy_vol,daily_sell_vol,debtToEquity,dividendRate,dividendYield,earningsGrowth,earningsQuarterlyGrowth,ebitda,ebitdaMargins,exDividendDate,forwardEPS,forwardPE,freeCashflow,grossMargins,grossProfits,heldPercentInstitutions,hurst,industry,lastDividendDate,lastDividendValue,lastSplitDate,lastSplitFactor,marketCap,net_daily_vol,operatingCashflow,operatingMargins,payoutRatio,pegRatio,priceToBook,priceToSalesTrailing12Months,profitMargins,quickRatio,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,risk_per_share,risk_trend_factor,sector_50td_tvf_vel,sell_volume_pct,sharesOutstanding,shortName,shortRatio,totalAssets,totalCash,totalCashPerShare,totalDebt,totalRevenue,trailingAnnualDividendRate,trailingAnnualDividendYield,trailingEPS,trailingPE,volume_factor,outer_cv_avg_abs_err_n11_ratio,outer_cv_std_n11_ratio
RRC,RRC,0.47688822143571635,0.0046529022557273425,1.5327664025039909,2022-10-18,32.397874799923876,84,0.0046529022557273425,1.5327664025039909,14.434365222808985,24.156570403793452,False,64.30875389850893,34.150112039217774,25.199562480449675,5.074969584263008,29.33911663373311,36.580891055909255,15.049623311923659,22.097342211556963,35.34950164897569,90950700.0,18184247.405410152,0.19993521111338508,0.11906970378691027,1.679144272259159,90950700.0,18184247.405410152,0.19993521111338508,0.059534851893455136,3.358288544518318,31.829999923706055,2022-07-25,MDYG,37.439998626708984,34.61000061035156,17.469999313354492,SP400,Energy,VDE,0.7918025889748361,2.124019,0.9783553036276789,0.246,4688180.779453474,-103719.22054652568,162.685,,,,,458860992,0.114250004,1576108800,error,8.720548,838692352,0.57877,1937478000,0.86654997,0.4584024586910765,Oil & Gas E&P,error,,1133740800,3:2,8269275136,4584461.558906948,1090109952,0.02264,0,0.28,6.470827,2.0589178,-0.017970001,0.238,0.00892,-0.04423,0.637,16.483,14.069997787475586,0.4243071897294344,1.6319304402815538,-0.021644696372321144,259795008,Range Resources Corporation,3.02,,112931000,0.453,2603130112,4016321024,0.02,0.0006729475,error,error,1.081573369586926,0.453483042959692,0.7589246139395164
CEIX,CEIX,0.26609479200421005,0.0028127244517692773,1.2948662465164984,2022-10-18,58.69312631119347,84,0.0028127244517692773,1.2948662465164984,51.51822225303176,76.40500865889932,False,103.50531606290781,57.64594644985587,36.086875014305114,12.169671848766912,52.07244326273601,58.89715827181839,11.74753131677129,45.24772825365363,60.42621871183894,16305700.0,3866253.7883898644,0.2371105679848068,0.14780406942686014,1.6042221902566722,16305700.0,3866253.7883898644,0.2371105679848068,0.07390203471343007,3.2084443805133445,60.689998626708984,2022-07-25,SLY,59.380001068115234,55.2599983215332,20.940000534057617,SP600,Energy,VDE,0.9614737579364364,1.96859,0.983945012323406,0.842,522179.6180400316,-8520.381959968397,95.981,,,,,241890000,0.16404,,error,3.1107123,252373632,0.3951,422536000,0.82543,0.5195709085029617,Thermal Coal,,,,,2112891904,513659.23608006316,375780000,0.01441,0,,3.161102,1.4329063,0.00221,0.658,0.0050700004,0.0052,0.616,42.718,20.55999755859375,2.261186842261507,1.6319304402815538,-0.016054987676593926,34814500,CONSOL Energy Inc.,2,,222906000,6.403,641545984,1474550016,0,0,error,758.625,1.7005778410013916,0.8488749945424973,1.258939040826973
VG,VG,0.1965522616980283,0.006429305041751654,1.803271870036063,2022-08-23,21.80996234396459,28,0.006429305041751654,1.803271870036063,8.887521599422724,7.307918344402818,False,31.623346784136434,20.006675776672164,19.323962523937226,1.6909354198427902,18.775841585795085,21.14738592100987,15.942091684251645,16.4042972505803,22.705833363622805,103715673.0,19766059.158270206,0.19057928841931351,0.1797415218622256,1.0602963992115033,103715673.0,19766059.158270206,0.19057928841931351,0.0898707609311128,2.1205927984230066,20.989999771118164,2022-07-20,SLY,20.920000076293945,20.920000076293945,15.71500015258789,SP600,Communication Services,VOX,0.8205238417279548,0.596424,0.5,0.752,13156998.0,-13156998.0,89.717,,,,,85939000,0.06277,,error,67.70968,146816752,0.52211,714506000,0.94828004,0.49422945699510235,Telecom Services,,,,,5385656320,0.0,152264000,-0.00556,0,13.12,9.358003,3.933657,-0.03012,0.544,-0.00342,-0.07023,0.095,5.417,5.489999771118164,0.986338658275722,1.1682935413237368,-0.5,256582000,Vonage Holdings Corp.,3.96,,15719000,0.061,516140992,1369122048,0,0,error,error,1.5715562344465466,0.42341694599024166,0.3481619068170917
ECPG,ECPG,0.17341268984261116,0.0045794920282384854,1.5224966212252242,2022-08-30,65.52005317103355,35,0.0045794920282384854,1.5224966212252242,85.47330408522242,91.26624502767864,False,98.20201519033212,64.67228700790567,60.70557510375976,4.495413713173913,60.10840003967285,66.36488663111264,51.714747677411935,53.851913448233056,69.69640253010759,7635900.0,1227998.9489923548,0.16081915019740367,0.08558183839290615,1.8791270813683985,7635900.0,1227998.9489923548,0.16081915019740367,0.04279091919645307,3.758254162736797,68.23999786376953,2022-07-25,SLY,72.66999816894531,72.66999816894531,49.7400016784668,SP600,Financial Services,VFH,0.822812765378099,1.249467,0.14934778623836395,13.365,39905.728482890845,-227294.27151710915,237.148,,,1.155,0.857,780368000,0.45976,,error,6.862173,544964608,1,1614499000,1.2235199,0.4248222316729359,Mortgage Finance,,,,,1654740480,-187388.5430342183,288464000,0.43007,0,0.38,1.3331901,0.9748999,0.25445998,13.251,0.097229995,0.3423,0.199,59.677,14.510002136230469,0.664368997636518,0.9103335326015097,-0.850652213761636,24259500,Encore Capital Group Inc,14.82,,173336992,7.145,2955751936,1697344000,0,0,error,4.5655956,1.1328737402587248,1.2525396653126586,1.337430361734146
OPCH,OPCH,0.16985655349896595,0.00203949431449435,1.2061607701323063,2022-10-11,28.818502734988584,77,0.00203949431449435,1.2061607701323063,16.908469704724826,14.723394649392665,False,49.2295806074569,28.815301358914674,26.931849989891052,2.1896742309502857,28.88914999961853,32.059003896283606,22.55250152799048,25.719296102953457,31.311198451791626,18003100.0,4582068.078839073,0.254515504487509,0.14384843324716756,1.7693310851025241,18003100.0,4582068.078839073,0.254515504487509,0.07192421662358378,3.5386621702050483,32.34000015258789,2022-07-25,MDYG,31.079999923706055,30.700000762939453,22.690000534057617,SP400,Healthcare,VHT,0.8771606897661364,1.599322,0.6,1.586,441720.0,-294480.0,94.913,,,,,281059008,0.07818,,error,28.327433,150870000,0.22670999,779606000,0.82047,0.3763632201928249,Medical Care Facilities,,,1580688000,1:4,5763464192,147240.0,222870000,0.059520002,0,3.54,4.7170644,1.6031055,0.048130002,1.106,0.04847,0.1545,0.206,19.985,7.1399993896484375,1.7577031246326884,1.43112209056733,-0.4,180052000,"Option Care Health, Inc.",3.95,,147008000,0.816,1159617024,3595186944,0,0,error,32.999996,1.0964927975791803,0.5228345585945147,0.45526884910093235
KBR,KBR,0.1517827254524308,0.0016836888878679623,1.1673884064928954,2022-10-18,49.37738380051669,84,0.0016836888878679623,1.1673884064928954,53.27412335119034,47.84288032884548,False,71.66279086949102,49.48820687419966,47.56666588783264,3.79684045132865,47.8939999961853,51.62275178783159,39.972984985175344,44.16524820453901,55.16034679048994,25305200.0,6836111.099960368,0.27014649558036957,0.14909739382856915,1.8118793940220148,25305200.0,6836111.099960368,0.27014649558036957,0.07454869691428458,3.6237587880440296,51.029998779296875,2022-07-25,MDYG,56.939998626708984,56.939998626708984,42.709999084472656,SP400,error,error,0.9240377109813385,error,0.9043471049707262,error,615679.5090640704,-65120.49093592954,error,error,error,error,error,error,error,error,error,error,error,error,error,error,0.4041355729276512,error,error,error,error,error,error,550559.0181281408,error,error,error,error,error,error,error,error,error,error,error,error,8.580001831054688,-0.40792532087021316,error,-0.09565289502927371,error,error,error,error,error,error,error,error,error,error,error,error,1.506772007628857,1.0439765750651735,0.9375442185637594
ROG,ROG,0.13703598652054416,0.0015300367503352508,1.1510284006251918,2022-10-18,277.3327927676357,84,0.0015300367503352508,1.1510284006251918,1219.6513218765401,934.1600644626166,False,376.249030765323,252.40394938373782,262.61496273040774,22.334922800543822,261.2796826171875,267.4164996369992,217.9451171293201,255.14286559737582,307.28480833149536,2854300.0,907170.0374418183,0.3178257497256134,0.26080956830381646,1.2186123070277042,2854300.0,907170.0374418183,0.3178257497256134,0.13040478415190823,2.4372246140554084,268.95001220703125,2022-07-25,SLY,274.510009765625,274.510009765625,206.1300048828125,SP600,Technology,VGT,0.7479731073406213,1.559313,0.7605694341763665,3.577,144127.90777642143,-45372.09222357856,18.536,,,-0.476,-0.468,157290000,0.16524,694915200,error,32.838833,-18924624,0.36426,350839000,0.98637,0.4793077797276896,Electronic Components,error,,959644800,2:1,5037460480,98755.81555284286,74119000,0.11935,0,0.19,4.5823183,5.2920785,0.09824,2.449,0.049390003,0.08665,0.083,50.773,16.92999267578125,3.053752780471626,1.7216037579656762,-0.2394305658236336,18730100,Rogers Corporation,9.99,,182144000,9.687,207138000,951886976,,,error,50.535515,0.9454082204364773,4.53486248938216,3.4733594425105383
NSP,NSP,0.12476836040954402,0.001400707606729501,1.1374340962989036,2022-10-18,88.69521208604466,84,0.001400707606729501,1.1374340962989036,517.5700687963896,436.69831416885637,False,145.82292367480164,93.07991738103766,104.6560956478119,9.881028473643998,97.69833337148032,105.27700702937886,84.89403870052391,90.11965971358177,124.41815259509988,2569600.0,721989.0866938134,0.2809733369761105,0.13196543086267243,2.1291434820419037,2569600.0,721989.0866938134,0.2809733369761105,0.06598271543133621,4.2582869640838075,103.83000183105469,2022-07-25,MDYG,129.32000732421875,129.32000732421875,95.77999877929688,SP400,error,error,0.3191537239403664,error,0.37254911738306573,error,29990.203949336792,-50509.79605066321,error,error,error,error,error,error,error,error,error,error,error,error,error,error,0.47756606609191243,error,error,error,error,error,error,-20519.592101326416,error,error,error,error,error,error,error,error,error,error,error,error,18.400001525878906,-2.3331524116555578,error,-0.6274508826169343,error,error,error,error,error,error,error,error,error,error,error,error,0.6268931606143089,4.984783392747555,4.205897201845599
PWR,PWR,0.09564458110021312,0.0010880063143843266,1.1052175213880586,2022-10-18,115.34114186633191,84,0.0010880063143843266,1.1052175213880586,219.00848640256456,198.12665273172473,False,168.3875029235589,128.2761837248979,117.41563507080077,9.989851944768077,123.62145862579345,136.579037687423,97.43593118126462,110.6638795641639,137.39533896033691,19963800.0,5968705.12490313,0.2989764035355559,0.2551742182408971,1.1716559987784791,19963800.0,5968705.12490313,0.2989764035355559,0.12758710912044854,2.3433119975569583,133.67999267578125,2022-07-25,SPY,140.0399932861328,140.0399932861328,101.95999908447266,SP500,Industrials,VIS,0.9902161783094197,1.102171,0.9647734025303907,1.512,756768.2569448384,-27631.74305516156,79.378,0.28,0.0021,-0.081,-0.057,1155425024,0.08113,1656547200,error,19.206896,463720384,0.14945,1953259000,0.96909,0.42478496767305196,Engineering & Construction,1656547200,0.07,955324800,3:2,19211016192,729136.5138896769,541867008,0.04433,0.057800002,1.35,3.74087,1.348884,0.03376,1.42,0.03658,0.102010004,0.467,100.524,25.600006103515625,0.7421870250256002,1.6132919069679976,-0.035226597469609336,143708992,"Quanta Services, Inc.",3.79,,238258000,1.658,4081605888,14242156544,0.26,0.0019540056,error,40.632217,0.8666058904288384,1.6383041472311677,1.4820965259344996
SCI,SCI,0.08700791605080412,0.002984046665128748,1.3153772382011697,2022-08-23,66.98154090070886,28,0.002984046665128748,1.3153772382011697,21.67645063469538,22.926365944313723,False,86.94383556270984,72.31023186675087,65.97539147377015,3.5262679397292604,68.74046402613322,72.754847267156,58.92285559431163,64.72608078511045,73.02792735322866,16540100.0,4042065.652328241,0.24437975902976652,0.16722734475533652,1.461362430811232,16540100.0,4042065.652328241,0.24437975902976652,0.08361367237766826,2.922724861622464,72.66999816894531,2022-07-25,MDYG,72.06999969482422,72.06999969482422,58.380001068115234,SP400,Consumer Cyclical,VCR,0.9328811269728764,0.702426,0.9824523831831993,0.592,768179.5184109436,-13720.481589056499,218.534,1,0.0138,0.008,-0.041,1436120064,0.34377,1655164800,error,20.942362,699347392,0.31073,1303614000,0.87344,0.36266870537479706,Personal Services,1655164800,0.25,841708800,2:1,11535344640,754459.036821887,955174976,0.2777,0.19450001,1.68,6.276559,2.7612605,0.18996,0.52,0.04795,0.42988998,0.032,25.258,9.880001068115234,1.5678129933671379,1.2132261461696012,-0.01754761681680074,158736000,Service Corporation Internation,3.88,,300556000,1.893,4026807040,4177564928,0.92,0.0127884345,error,15.363636,0.9171884895779718,0.29828610404394595,0.31548598489040613
