,^GSPC,ES=F,NQ=F,YM=F,RTY=F,PA=F,LBS=F,UUP,ZO=F,SIL=F,CT=F,MGC=F,JPY=X,NG=F,GC=F,HG=F,ZL=F,KE=F,^IRX,ZS=F,KC=F,ZR=F,HO=F,ZC=F,RB=F,ZM=F,HE=F,CL=F,BZ=F,ZB=F,LE=F,SB=F,CC=F,GF=F,SI=F,ZN=F,DTB3,ZF=F,PL=F,EURUSD=X,OJ=F,ZT=F,AUDUSD=X,GBPUSD=X,BRLUSD=X,B0=F,trending
^GSPC,1.0,0.9999614135648841,0.9906543211674017,0.9875509042737048,0.9029222764692597,0.8745287346249728,0.824261381461865,0.7610558202817385,0.7315718222702987,0.6850327948499162,0.6545526757143583,0.6400994428613632,0.6208002237628286,0.5866414859320842,0.5290168090954417,0.528887664199319,0.505856451954078,0.43684349692308994,0.35516514020372625,0.3526123253239214,0.34313111480728403,0.30108603822173513,0.2951860360159083,0.290339970824516,0.27176997084449445,0.27021200791171984,0.24063885675602237,0.1937803120507566,0.10590706546868553,0.020431543249153507,0.010239701394366032,-0.06432387393778638,-0.10914302840228085,-0.11618889185622078,-0.12754758927788584,-0.3803662701816538,-0.5157958577441683,-0.5182176991402624,-0.5485315587597557,-0.5661825048550365,-0.5763698017296705,-0.5919291644970254,-0.6271414042933596,-0.677466159796735,-0.7916787205824962,,
ES=F,0.9999614135648841,1.0,0.9905154919716161,0.9880341976910014,0.9038366988231068,0.8743362394623415,0.8238223949286807,0.7613502110610241,0.7312036660636362,0.6828956536425054,0.6550027329765926,0.6401438512867234,0.6224332017873344,0.5888666082376957,0.5294658726544499,0.5286963613867116,0.50659863234427,0.43793464809149224,0.3607826908989694,0.35369341154319334,0.34420735577929973,0.3033551204047967,0.2982164271677055,0.2912644187348339,0.2743527887277352,0.27222696933471113,0.24397363822618878,0.19614428060011016,0.10861222628245167,0.016647382220631845,0.010645217953137638,-0.06368928912502625,-0.11233974206861021,-0.11528896124314736,-0.12807395772650598,-0.3844726381527231,-0.5124399831569479,-0.5222346901823498,-0.5497152532714187,-0.5677779238791397,-0.571212624323471,-0.5961258375537468,-0.6275834935496238,-0.6795830128981328,-0.791983081596077,,
NQ=F,0.9906543211674017,0.9905154919716161,1.0,0.9699007593485155,0.848269542528381,0.9036976385772634,0.8312286317977076,0.7501317994888947,0.7570942403558928,0.6856849472905988,0.6643757759858223,0.6534217548756812,0.5579290556439293,0.5799805339356552,0.6092086932235087,0.5659550585490594,0.5433457812852072,0.4686205838577112,0.29000584999292434,0.3891727034554133,0.38272602848570625,0.37059697339524483,0.3069484147054464,0.3375040400650208,0.2817888803660373,0.2874263236096798,0.26236305404189936,0.20841085271245205,0.12716059364786803,0.06035003355026976,-0.02483548999430789,-0.014992467951717608,-0.15285374354632225,-0.15493967441708176,-0.05069168657793019,-0.29451128117179765,-0.6257390040466104,-0.43149837179399264,-0.5101227303489574,-0.5340349560373743,-0.6938499337493712,-0.523940345147326,-0.5876637714168658,-0.6632211080370992,-0.7672687368341293,,
YM=F,0.9875509042737048,0.9880341976910014,0.9699007593485155,1.0,0.9429078833033143,0.8666218174803039,0.7827574611582188,0.7560243286099297,0.6736014637246363,0.6041446799065824,0.6179486861231466,0.6124891844420769,0.5985262937808921,0.5526556059692235,0.48877683139433764,0.4906911574976919,0.4380876688867908,0.3750676629941696,0.4878320460560031,0.28803863298588284,0.259486838529028,0.24887428878711862,0.27435903332341666,0.23823934299015864,0.23948219355794437,0.22889361303687014,0.18042061425017641,0.17042006943295787,0.09167714111270102,-0.016779324673599175,-0.05927821987777186,-0.1277570166709961,-0.18502063807595415,-0.17408431311733674,-0.17247167503648858,-0.43835924362746875,-0.38376959850678366,-0.58808510004488,-0.5915745121293143,-0.5519361434600807,-0.5501343657283229,-0.6755715266922052,-0.6419435445945355,-0.7273924215344565,-0.7890904874238978,,
RTY=F,0.9029222764692597,0.9038366988231068,0.848269542528381,0.9429078833033143,1.0,0.4283717811865935,0.7957512925769735,0.09282451077788918,0.8195855966936642,0.831616691966343,0.7963171574198092,0.5725884994251994,0.4674925879035699,0.6598727772141726,0.5731648248510095,0.913621459845311,0.783687938106708,0.6885031177568515,-0.29255637032851395,0.7689158457979829,0.8080918177294235,0.4646169510712426,0.6969127391871569,0.7426923314138645,0.7373952324919003,0.6787382351223376,0.7391212415171546,0.7931597616582293,0.7808310039679508,-0.3687534598836952,0.7691072653084642,0.8708588251311368,0.46662308555056303,0.7501635997235037,0.831616691966343,-0.27610123159272576,-0.29645577271739515,-0.2042473766788237,0.8165251959963817,-0.08610589676980795,-0.7322443209740049,-0.12730527941966466,0.45264925121516636,0.3681748022202729,-0.37773298792305576,,
PA=F,0.8745287346249728,0.8743362394623415,0.9036976385772634,0.8666218174803039,0.4283717811865935,1.0,0.7383215647894443,0.7223150434356874,0.6902786345760393,0.5981470637749805,0.5342911720460796,0.6516220218555705,0.3826728015528584,0.4474868816866244,0.7120738468827202,0.5185671280349863,0.472471973989051,0.4405106779928298,0.2561894009793717,0.3467032343818838,0.30459908603478025,0.4532777452570711,0.27729848578397537,0.3265270065939254,0.22304380350897984,0.2698605066655968,0.22662216078118155,0.17563325467494814,0.12500957070517624,0.16712489937697805,-0.15425483532956652,-0.05746058119812507,-0.2849214687104993,-0.2589518231495883,0.03001186125551589,-0.0873797913247936,-0.703778808514439,-0.2536309272610817,-0.428804399739638,-0.4340671415754968,-0.33453551688366523,-0.4004941580247327,-0.515816468573956,-0.654381800482831,-0.6620265401524948,,
LBS=F,0.824261381461865,0.8238223949286807,0.8312286317977076,0.7827574611582188,0.7957512925769735,0.7383215647894443,1.0,0.4218163658724895,0.82286538829202,0.782542819197642,0.7726652267066477,0.5874048979235772,0.33447593169555856,0.5634277087409565,0.6436993823382813,0.7537998314288916,0.7092045129634401,0.6339528018291921,0.09599806660703523,0.6232335191639311,0.5726867540659781,0.4828146788427718,0.5042899278593262,0.5414880967493081,0.49768383292034696,0.5628213897310521,0.44061685460594086,0.4644807969067839,0.3920375136104083,-0.13948782841908874,0.17781510233122566,0.21182572994771734,-0.08980448526359328,-0.06226258956992799,0.2305341625131199,-0.3020904842544025,-0.4845932355838572,-0.35822016747851243,-0.14700594003706643,-0.2419894416429043,-0.4290441417417766,-0.40279873392330284,-0.24281676489078155,-0.35107340702550055,-0.457428936808555,,
UUP,0.7610558202817385,0.7613502110610241,0.7501317994888947,0.7560243286099297,0.09282451077788918,0.7223150434356874,0.4218163658724895,1.0,0.3759020844517798,0.15341132548903827,0.2855254245604459,0.47532917252546114,0.7341385278229781,0.3180051522273096,0.28638792043870664,0.03929629888211869,0.20342145286198304,0.15216485239964844,0.36849701206745655,0.0052644487494781685,0.04524800917115928,0.06603675969062613,-0.045123860799356666,0.036044531280556555,-0.07931347922708129,-0.11670037108992683,-0.058675733319597786,-0.2176607454594153,-0.29088934713501685,0.32248106132596144,-0.1612112824439602,-0.28877814556707704,-0.09826578378628925,-0.16222876249372223,-0.4205816022345824,-0.20801611111577256,-0.2973756187202183,-0.414688993515756,-0.7878596860542743,-0.9050900336858694,0.7502813103304179,-0.5265475906187147,-0.8502544435120961,-0.8314493782243755,-0.8771516575367752,,
ZO=F,0.7315718222702987,0.7312036660636362,0.7570942403558928,0.6736014637246363,0.8195855966936642,0.6902786345760393,0.82286538829202,0.3759020844517798,1.0,0.7969815327431327,0.8714411990164455,0.5662134715892599,0.2807814828732865,0.8122697208058655,0.7537961657901517,0.8861419241781455,0.8887435418942119,0.8657705490657052,0.00649525232781478,0.8275642773892216,0.7493194373296501,0.7192750529713654,0.7662787119182798,0.7817166322854276,0.742457958708823,0.6687037012746144,0.7114591734272597,0.6989265491101708,0.6472742551138437,-0.3389045463492759,0.29964813218085723,0.3933873736460288,-0.1810062152019547,0.08353953826176817,0.4152813487068582,-0.2992313517470971,-0.42987424333232294,-0.2995519582479025,0.0741074709953043,-0.13029345298948988,0.08309051856979069,-0.3292350776778955,-0.04038969326034306,-0.21288842305961256,-0.2733343066415298,,
SIL=F,0.6850327948499162,0.6828956536425054,0.6856849472905988,0.6041446799065824,0.831616691966343,0.5981470637749805,0.782542819197642,0.15341132548903827,0.7969815327431327,1.0,0.751359589159394,0.7787228199214155,0.09004931019291149,0.6413438334715341,0.7793955264468012,0.8327806833762245,0.8112384204920505,0.7472790647892781,-0.20773276976862987,0.8357046129815698,0.739878098429214,0.6215556510934962,0.6868811151088001,0.748934774649623,0.699496502323649,0.7391597739782944,0.6425184691534687,0.724925921265179,0.6928840516418611,-0.19156052530155399,0.19076140611305467,0.6797746991509741,-0.11646576403754466,-0.00898971821911443,0.9999998641641313,-0.0696384951109076,-0.5611018707772559,-0.04750363336497774,0.4017919103184588,0.09033301027159324,-0.34319849615224995,-0.06497883872904892,0.2247519304256089,-0.11147333998759534,-0.17847841540281917,,
